"GEOID","NAME","percent_asian","percent_black","percent_white","percent_other","percent_latinx"
"48201100000","Census Tract 1000, Harris County, Texas",0.0752,0.2121,0.6352,0.0775,0.163
"48201210100","Census Tract 2101, Harris County, Texas",0.0011,0.5564,0.4095,0.033,0.2665
"48201210400","Census Tract 2104, Harris County, Texas",0,0.1773,0.6076,0.2151,0.7318
"48201210500","Census Tract 2105, Harris County, Texas",0,0.1181,0.6148,0.2671,0.8326
"48201210600","Census Tract 2106, Harris County, Texas",0,0.0167,0.7721,0.2112,0.8078
"48201210700","Census Tract 2107, Harris County, Texas",0.0033,0.1362,0.5649,0.2956,0.8137
"48201210800","Census Tract 2108, Harris County, Texas",0,0.3277,0.4911,0.1813,0.6253
"48201210900","Census Tract 2109, Harris County, Texas",0,0.6985,0.1447,0.1568,0.2371
"48201211000","Census Tract 2110, Harris County, Texas",0.0131,0.5319,0.3268,0.1282,0.4409
"48201211100","Census Tract 2111, Harris County, Texas",0.0079,0.3848,0.51,0.0973,0.5872
"48201211200","Census Tract 2112, Harris County, Texas",0,0.6834,0.2338,0.0828,0.2908
"48201211300","Census Tract 2113, Harris County, Texas",0,0.5839,0.1692,0.2469,0.3835
"48201211400","Census Tract 2114, Harris County, Texas",0.0121,0.4491,0.308,0.2308,0.4308
"48201211500","Census Tract 2115, Harris County, Texas",0,0.0423,0.6371,0.3206,0.9415
"48201211600","Census Tract 2116, Harris County, Texas",0,0.2034,0.4051,0.3915,0.749
"48201211700","Census Tract 2117, Harris County, Texas",0.029,0.5101,0.4003,0.0606,0.4343
"48201211900","Census Tract 2119, Harris County, Texas",0,0.0024,0.6877,0.3099,0.9761
"48201212300","Census Tract 2123, Harris County, Texas",0.0016,0.0385,0.6013,0.3586,0.8669
"48201212400","Census Tract 2124, Harris County, Texas",0,0.056,0.5127,0.4313,0.9144
"48201212500","Census Tract 2125, Harris County, Texas",0,0.5241,0.4442,0.0317,0.4227
"48201220100","Census Tract 2201, Harris County, Texas",0,0.4728,0.3595,0.1677,0.5234
"48201220200","Census Tract 2202, Harris County, Texas",0,0.0287,0.8458,0.1255,0.8995
"48201220300","Census Tract 2203, Harris County, Texas",0.0149,0.0219,0.8467,0.1165,0.9078
"48201220400","Census Tract 2204, Harris County, Texas",0,0.0576,0.8707,0.0717,0.8843
"48201220500","Census Tract 2205, Harris County, Texas",0.0305,0.1715,0.7382,0.0598,0.706
"48201220600","Census Tract 2206, Harris County, Texas",0,0.1643,0.7183,0.1173,0.8065
"48201220700","Census Tract 2207, Harris County, Texas",0,0.151,0.8145,0.0346,0.7964
"48201220800","Census Tract 2208, Harris County, Texas",0,0.4488,0.5512,0,0.5334
"48201220900","Census Tract 2209, Harris County, Texas",0,0.1744,0.8023,0.0234,0.7134
"48201221000","Census Tract 2210, Harris County, Texas",0,0.0916,0.8726,0.0358,0.8249
"48201221100","Census Tract 2211, Harris County, Texas",0,0.007,0.9299,0.0631,0.9042
"48201221200","Census Tract 2212, Harris County, Texas",0,0.0434,0.8988,0.0578,0.9181
"48201221300","Census Tract 2213, Harris County, Texas",0.0119,0.0069,0.867,0.1142,0.9445
"48201221400","Census Tract 2214, Harris County, Texas",0,0.0217,0.9526,0.0257,0.9162
"48201221500","Census Tract 2215, Harris County, Texas",0.0061,0.1337,0.7986,0.0616,0.812
"48201221600","Census Tract 2216, Harris County, Texas",0.0015,0.0133,0.9147,0.0705,0.9317
"48201221700","Census Tract 2217, Harris County, Texas",0,0,0.9581,0.0419,0.9523
"48201221800","Census Tract 2218, Harris County, Texas",0.0132,0,0.9213,0.0655,0.9352
"48201221900","Census Tract 2219, Harris County, Texas",0,0,0.9977,0.0023,0.9668
"48201222000","Census Tract 2220, Harris County, Texas",0,0.0761,0.8144,0.1096,0.838
"48201222100","Census Tract 2221, Harris County, Texas",0,9e-04,0.9633,0.0358,0.9437
"48201222200","Census Tract 2222, Harris County, Texas",0.0025,0.0607,0.8551,0.0817,0.8191
"48201222300","Census Tract 2223, Harris County, Texas",0.0083,0.0085,0.9454,0.0377,0.9375
"48201222401","Census Tract 2224.01, Harris County, Texas",0.0105,0.0012,0.9582,0.0301,0.9176
"48201222402","Census Tract 2224.02, Harris County, Texas",0.0026,0.0213,0.9055,0.0706,0.8786
"48201222501","Census Tract 2225.01, Harris County, Texas",0.025,0.0589,0.8902,0.0258,0.928
"48201222502","Census Tract 2225.02, Harris County, Texas",0.0292,0.024,0.854,0.0928,0.8436
"48201222503","Census Tract 2225.03, Harris County, Texas",0.0048,0.0493,0.8965,0.0494,0.9078
"48201222600","Census Tract 2226, Harris County, Texas",0.0369,0.1914,0.7193,0.0524,0.7487
"48201222700","Census Tract 2227, Harris County, Texas",0.0115,0.7327,0.1624,0.0935,0.2414
"48201222800","Census Tract 2228, Harris County, Texas",0.0294,0.0035,0.9521,0.015,0.8915
"48201222900","Census Tract 2229, Harris County, Texas",0.0017,0.0952,0.8483,0.0547,0.8546
"48201223001","Census Tract 2230.01, Harris County, Texas",0.0017,0.1136,0.8594,0.0254,0.8449
"48201223002","Census Tract 2230.02, Harris County, Texas",0.0101,0.098,0.8495,0.0424,0.8599
"48201223100","Census Tract 2231, Harris County, Texas",0.0052,0.0285,0.6879,0.2784,0.7882
"48201230100","Census Tract 2301, Harris County, Texas",0.0016,0.6884,0.2156,0.0944,0.2807
"48201230200","Census Tract 2302, Harris County, Texas",0,0.7584,0.2143,0.0273,0.2095
"48201230300","Census Tract 2303, Harris County, Texas",0.0069,0.6654,0.2715,0.0561,0.311
"48201230400","Census Tract 2304, Harris County, Texas",0.0295,0.4595,0.5047,0.0063,0.4791
"48201230500","Census Tract 2305, Harris County, Texas",0.0272,0.0975,0.8264,0.0489,0.8346
"48201230600","Census Tract 2306, Harris County, Texas",0,0.5627,0.3988,0.0385,0.4362
"48201230700","Census Tract 2307, Harris County, Texas",0.0025,0.641,0.3,0.0565,0.337
"48201230800","Census Tract 2308, Harris County, Texas",0,0.5926,0.2896,0.1178,0.4104
"48201230900","Census Tract 2309, Harris County, Texas",0,0.7387,0.1919,0.0694,0.2481
"48201231000","Census Tract 2310, Harris County, Texas",0,0.5213,0.4109,0.0678,0.4065
"48201231100","Census Tract 2311, Harris County, Texas",0,0.2655,0.6305,0.104,0.6615
"48201231200","Census Tract 2312, Harris County, Texas",0,0.7064,0.2729,0.0207,0.2395
"48201231300","Census Tract 2313, Harris County, Texas",0,0.6517,0.2947,0.0536,0.3436
"48201231400","Census Tract 2314, Harris County, Texas",0,0.8347,0.0575,0.1079,0.1569
"48201231500","Census Tract 2315, Harris County, Texas",0,0.874,0.116,0.01,0.1407
"48201231600","Census Tract 2316, Harris County, Texas",0,0.6657,0.3137,0.0206,0.3251
"48201231700","Census Tract 2317, Harris County, Texas",0.0041,0.0596,0.9099,0.0264,0.9047
"48201231800","Census Tract 2318, Harris County, Texas",0,0.2918,0.6629,0.0453,0.6765
"48201231900","Census Tract 2319, Harris County, Texas",0,0.6464,0.3264,0.0272,0.3443
"48201232000","Census Tract 2320, Harris County, Texas",0,0.4023,0.5577,0.04,0.5903
"48201232100","Census Tract 2321, Harris County, Texas",0,0.2156,0.7136,0.0708,0.7248
"48201232200","Census Tract 2322, Harris County, Texas",0.0506,0.2733,0.5649,0.1111,0.3661
"48201232301","Census Tract 2323.01, Harris County, Texas",0.0021,0.3337,0.6231,0.0411,0.5463
"48201232302","Census Tract 2323.02, Harris County, Texas",0.0067,0.3258,0.5797,0.0879,0.6095
