collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
LVNV FUNDING LLC,33,28,5,0.12,0.15,0.051,27677,26712,965,0.056,0.12,0.0034,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.43,0.60
MIDLAND CREDIT MANAGEMENT INC,28,18,10,0.10,0.098,0.10,31446,11424,20022,0.063,0.053,0.072,0.0,0.0,0.0,0.0,0.0,0.0,0.68,0.50,1.0
PORTFOLIO RECOVERY ASSOCIATES LLC,23,14,9,0.082,0.077,0.092,28816,13480,15336,0.058,0.062,0.055,0.0,0.0,0.0,0.0,0.0,0.0,0.57,0.36,0.89
CAPITAL ONE BANK (USA) NA,16,14,2,0.057,0.077,0.020,21795,20346,1449,0.044,0.094,0.0052,0.0,0.0,0.0,0.0,0.0,0.0,0.69,0.64,1.0
DISCOVER BANK,15,12,3,0.053,0.066,0.031,13208,13208,0,0.027,0.061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.42,0.67
ONEMAIN FINANCIAL GROUP LLC,11,6,5,0.039,0.033,0.051,49548,6814,42734,0.10,0.032,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.17,1.0
CROWN ASSET MANAGEMENT LLC,9,3,6,0.032,0.016,0.061,2530,0,2530,0.0051,0.0,0.0090,0.22,0.0,0.33,0.0,0.0,0.0,0.78,0.33,1.0
BANK OF AMERICA NA,9,6,3,0.032,0.033,0.031,20219,15025,5194,0.041,0.070,0.019,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.50,1.0
JEFFERSON CAPITAL SYSTEMS LLC,8,2,6,0.028,0.011,0.061,1914,1075,839,0.0039,0.0050,0.0030,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
CAVALRY SPV I LLC,8,4,4,0.028,0.022,0.041,17822,2147,15675,0.036,0.0099,0.056,0.13,0.0,0.25,0.0,0.0,0.0,0.63,0.25,1.0
GMG MOTORS INC,8,4,4,0.028,0.022,0.041,24317,4205,20112,0.049,0.019,0.072,0.13,0.25,0.0,0.0,0.0,0.0,0.75,0.50,1.0
CITIBANK NA,5,2,3,0.018,0.011,0.031,27018,0,27018,0.054,0.0,0.097,0.20,0.0,0.33,0.0,0.0,0.0,0.80,0.50,1.0
SYNCHRONY BANK,5,4,1,0.018,0.022,0.010,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40,0.25,1.0
UNIFUND CCR LLC,5,4,1,0.018,0.022,0.010,2880,2880,0,0.0058,0.013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.60,0.50,1.0
MARINER FINANCE LLC,4,2,2,0.014,0.011,0.020,6885,0,6885,0.014,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.50,0.0,1.0
