collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
portfolio recovery associates llc,47,5,42,19.5%,14.7%,20.3%,0,0,0,0%,0%,0%,4.3%,0.0%,4.8%,14.9%,0.0%,16.7%,100.0%,100.0%,100.0%
capital region medical center,33,1,32,13.7%,2.9%,15.5%,0,0,0,0%,0%,0%,0.0%,0.0%,0.0%,27.3%,100.0%,25.0%,100.0%,100.0%,100.0%
midland credit management inc,33,6,27,13.7%,17.6%,13.0%,0,0,0,0%,0%,0%,3.0%,0.0%,3.7%,42.4%,66.7%,37.0%,93.9%,100.0%,92.6%
lvnv funding llc,31,5,26,12.9%,14.7%,12.6%,0,0,0,0%,0%,0%,6.5%,20.0%,3.8%,29.0%,0.0%,34.6%,100.0%,100.0%,100.0%
cavalry spv i llc,9,2,7,3.7%,5.9%,3.4%,0,0,0,0%,0%,0%,11.1%,0.0%,14.3%,33.3%,0.0%,42.9%,100.0%,100.0%,100.0%
midland funding llc,8,0,8,3.3%,0.0%,3.9%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,25.0%,0%,25.0%,100.0%,0%,100.0%
citibank na,8,3,5,3.3%,8.8%,2.4%,0,0,0,0%,0%,0%,12.5%,0.0%,20.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%
four seasons lakesites poa inc,8,2,6,3.3%,5.9%,2.9%,0,0,0,0%,0%,0%,12.5%,0.0%,16.7%,12.5%,0.0%,16.7%,87.5%,100.0%,83.3%
consumer adjustment company inc,7,3,4,2.9%,8.8%,1.9%,0,0,0,0%,0%,0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%
capital one bank (usa) na,4,0,4,1.7%,0.0%,1.9%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,75.0%,0%,75.0%,100.0%,0%,100.0%
absolute resolutions investments llc,3,1,2,1.2%,2.9%,1.0%,0,0,0,0%,0%,0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,66.7%,0.0%,100.0%
cardinal loans llc d/b/a cash n go,2,0,2,0.8%,0.0%,1.0%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,50.0%,0%,50.0%,100.0%,0%,100.0%
four seasons lakesites poa,2,0,2,0.8%,0.0%,1.0%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,50.0%,0%,50.0%,100.0%,0%,100.0%
clear recovery inc,2,0,2,0.8%,0.0%,1.0%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
jefferson capital systems llc,2,0,2,0.8%,0.0%,1.0%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
world acceptance corp of mo dba world finance corp,2,0,2,0.8%,0.0%,1.0%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,100.0%,0%,100.0%,100.0%,0%,100.0%
crmc d/b/a crpacrmc,2,0,2,0.8%,0.0%,1.0%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,50.0%,0%,50.0%,100.0%,0%,100.0%
midland credit management inc a corporation,2,1,1,0.8%,2.9%,0.5%,0,0,0,0%,0%,0%,0.0%,0.0%,0.0%,50.0%,0.0%,100.0%,100.0%,100.0%,100.0%
the central trust bank,1,0,1,0.4%,0.0%,0.5%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
carver & michael llc,1,0,1,0.4%,0.0%,0.5%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,100.0%,0%,100.0%,100.0%,0%,100.0%
hannibal regional hospital,1,0,1,0.4%,0.0%,0.5%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
the family law group llc,1,0,1,0.4%,0.0%,0.5%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,100.0%,0%,100.0%,100.0%,0%,100.0%
genesis health clubs llc,1,0,1,0.4%,0.0%,0.5%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
cach llc,1,0,1,0.4%,0.0%,0.5%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
bank of america,1,0,1,0.4%,0.0%,0.5%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,100.0%,0%,100.0%,100.0%,0%,100.0%
