collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
LVNV FUNDING LLC,75,16,59,0.22,0.36,0.20,0,0,0,0.0,0.0,0.0,0.013,0.0,0.017,0.35,0.19,0.39,1.0,1.0,1.0
PORTFOLIO RECOVERY ASSOCIATES LLC,55,2,53,0.16,0.044,0.18,0,0,0,0.0,0.0,0.0,0.073,0.0,0.075,0.11,0.50,0.094,1.0,1.0,1.0
MIDLAND CREDIT MANAGEMENT INC,54,10,44,0.16,0.22,0.15,0,0,0,0.0,0.0,0.0,0.019,0.0,0.023,0.31,0.30,0.32,1.0,1.0,1.0
CAVALRY SPV I LLC,19,2,17,0.055,0.044,0.057,0,0,0,0.0,0.0,0.0,0.11,0.0,0.12,0.16,0.0,0.18,1.0,1.0,1.0
MIDLAND FUNDING LLC,16,2,14,0.047,0.044,0.047,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.0,0.50,1.0,1.0,1.0
MIDLAND CREDIT MGT,15,0,15,0.044,0.0,0.050,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.40,0.0,0.40,1.0,0.0,1.0
CITIBANK NA,15,6,9,0.044,0.13,0.030,0,0,0,0.0,0.0,0.0,0.20,0.17,0.22,0.067,0.0,0.11,1.0,1.0,1.0
CAPITAL ONE BANK (USA) NA,11,0,11,0.032,0.0,0.037,0,0,0,0.0,0.0,0.0,0.091,0.0,0.091,0.091,0.0,0.091,1.0,0.0,1.0
BANK OF AMERICA NA,9,1,8,0.026,0.022,0.027,0,0,0,0.0,0.0,0.0,0.22,0.0,0.25,0.11,0.0,0.13,1.0,1.0,1.0
JEFFERSON CAPITAL SYSTEMS LLC,7,1,6,0.020,0.022,0.020,0,0,0,0.0,0.0,0.0,0.14,0.0,0.17,0.43,1.0,0.33,1.0,1.0,1.0
LESTER E COX MEDICAL CENTERS,7,0,7,0.020,0.0,0.023,0,0,0,0.0,0.0,0.0,0.14,0.0,0.14,0.29,0.0,0.29,1.0,0.0,1.0
WAKEFIELD & ASSOCIATES INC,5,0,5,0.015,0.0,0.017,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.40,0.0,0.40,1.0,0.0,1.0
MM FINANCE LLC,4,1,3,0.012,0.022,0.010,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
ABSOLUTE RESOLUTIONS INVESTMENTS LLC,4,0,4,0.012,0.0,0.013,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,1.0,0.0,1.0
SECOND ROUND SUB LLC,3,0,3,0.0087,0.0,0.010,0,0,0,0.0,0.0,0.0,0.33,0.0,0.33,0.0,0.0,0.0,1.0,0.0,1.0
CREDIT CORP SOLUTIONS INC,3,0,3,0.0087,0.0,0.010,0,0,0,0.0,0.0,0.0,0.33,0.0,0.33,0.0,0.0,0.0,1.0,0.0,1.0
GENESIS HEALTH CLUBS INC,2,0,2,0.0058,0.0,0.0067,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.50,0.0,0.50,1.0,0.0,1.0
TD BANK USA NA,2,1,1,0.0058,0.022,0.0034,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
KIRKSVILLE MISSOURI HOSPITAL COMPANY LLC D/B/A NORTHEAST REG,2,0,2,0.0058,0.0,0.0067,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.50,0.0,0.50,1.0,0.0,1.0
ONE MAIN FINANCIAL GROUP LLC,2,0,2,0.0058,0.0,0.0067,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.50,0.0,0.50,1.0,0.0,1.0
