collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
LVNV FUNDING LLC,28,17,11,0.26,0.31,0.21,0,0,0,0.0,0.0,0.0,0.14,0.12,0.18,0.39,0.24,0.64,0.82,0.71,1.0
MIDLAND CREDIT MANAGEMENT INC,18,12,6,0.17,0.22,0.11,0,0,0,0.0,0.0,0.0,0.056,0.0,0.17,0.11,0.083,0.17,0.72,0.67,0.83
PORTFOLIO RECOVERY ASSOC LLC,6,0,6,0.056,0.0,0.11,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.83,0.0,0.83,1.0,0.0,1.0
PORTFOLIO RECOVERY ASSOCIATES LLC,6,4,2,0.056,0.074,0.038,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.50,0.75,0.0,1.0,1.0,1.0
CAVALRY SPV I LLC,5,3,2,0.047,0.056,0.038,0,0,0,0.0,0.0,0.0,0.20,0.33,0.0,0.20,0.0,0.50,0.80,0.67,1.0
CAPITAL ONE BANK (USA) NA,4,3,1,0.037,0.056,0.019,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.33,0.0,1.0,1.0,1.0
MIDLAND FUNDING LLC,4,0,4,0.037,0.0,0.075,0,0,0,0.0,0.0,0.0,0.25,0.0,0.25,0.25,0.0,0.25,1.0,0.0,1.0
JEFFERSON CAPITAL SYSTEMS LLC,4,4,0,0.037,0.074,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.50,0.50,0.0,1.0,1.0,0.0
CITIBANK NA,3,1,2,0.028,0.019,0.038,0,0,0,0.0,0.0,0.0,0.33,0.0,0.50,0.67,1.0,0.50,1.0,1.0,1.0
BANK OF AMERICA NA,3,0,3,0.028,0.0,0.057,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.33,1.0,0.0,1.0
COMMUNITY MEMORIAL HOSPITAL DISTRICT,2,0,2,0.019,0.0,0.038,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
