collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
lvnv funding llc,35,6,29,31.3%,37.5%,30.2%,0,0,0,0%,0%,0%,5.7%,0.0%,6.9%,42.9%,16.7%,48.3%,97.1%,83.3%,100.0%
midland credit management inc,16,3,13,14.3%,18.8%,13.5%,0,0,0,0%,0%,0%,0.0%,0.0%,0.0%,37.5%,33.3%,38.5%,93.8%,66.7%,100.0%
southeast missouri hospital association,7,1,6,6.3%,6.3%,6.3%,0,0,0,0%,0%,0%,14.3%,0.0%,16.7%,57.1%,100.0%,50.0%,100.0%,100.0%,100.0%
portfolio recovery associates llc,7,2,5,6.3%,12.5%,5.2%,0,0,0,0%,0%,0%,0.0%,0.0%,0.0%,42.9%,0.0%,60.0%,100.0%,100.0%,100.0%
credit bureau service llc,5,0,5,4.5%,0.0%,5.2%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,40.0%,0%,40.0%,100.0%,0%,100.0%
portfolio recovery associates llc - california,3,2,1,2.7%,12.5%,1.0%,0,0,0,0%,0%,0%,0.0%,0.0%,0.0%,33.3%,50.0%,0.0%,100.0%,100.0%,100.0%
cash link usa,2,0,2,1.8%,0.0%,2.1%,0,0,0,0%,0%,0%,50.0%,0%,50.0%,50.0%,0%,50.0%,100.0%,0%,100.0%
bank of america na - 707 n 2nd st,2,0,2,1.8%,0.0%,2.1%,0,0,0,0%,0%,0%,50.0%,0%,50.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
portfolio recovery associates llc - treena st san diego ca,2,0,2,1.8%,0.0%,2.1%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,50.0%,0%,50.0%,100.0%,0%,100.0%
second round sub llc,2,0,2,1.8%,0.0%,2.1%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,100.0%,0%,100.0%,100.0%,0%,100.0%
capital one bank (usa) 707 st louis,2,0,2,1.8%,0.0%,2.1%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,0.0%,0%,0.0%,50.0%,0%,50.0%
cavalry spv i llc,2,0,2,1.8%,0.0%,2.1%,0,0,0,0%,0%,0%,50.0%,0%,50.0%,50.0%,0%,50.0%,100.0%,0%,100.0%
jefferson capital systems llc,2,0,2,1.8%,0.0%,2.1%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,100.0%,0%,100.0%,100.0%,0%,100.0%
poplar bluff regional medical center,2,0,2,1.8%,0.0%,2.1%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,50.0%,0%,50.0%,100.0%,0%,100.0%
midland funding llc - des moines iowa,2,0,2,1.8%,0.0%,2.1%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,100.0%,0%,100.0%,100.0%,0%,100.0%
world acceptance corp of mo - camera ave st louis,2,0,2,1.8%,0.0%,2.1%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,50.0%,0%,50.0%,100.0%,0%,100.0%
citibank na - st louis,2,0,2,1.8%,0.0%,2.1%,0,0,0,0%,0%,0%,100.0%,0%,100.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
barclays bank delaware - st louis,1,0,1,0.9%,0.0%,1.0%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,100.0%,0%,100.0%,100.0%,0%,100.0%
student loan solutions llc - iowa,1,0,1,0.9%,0.0%,1.0%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
jp morgan chase bank na,1,0,1,0.9%,0.0%,1.0%,0,0,0,0%,0%,0%,100.0%,0%,100.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
poplar bluff regional medical center llc dba poplar bluff,1,0,1,0.9%,0.0%,1.0%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
st louis university d/b/a slucare,1,0,1,0.9%,0.0%,1.0%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
midland funding llc,1,0,1,0.9%,0.0%,1.0%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,100.0%,0%,100.0%,100.0%,0%,100.0%
