collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
HARRISON COUNTY COMMUNITY HOSPITAL,92,34,58,41.3%,32.7%,48.7%,0,0,0,0.0%,0.0%,0.0%,2.2%,2.9%,1.7%,34.8%,23.5%,41.4%,70.7%,32.4%,93.1%
MIDWESTERN HEALTH MANAGEMENT INC,35,16,19,15.7%,15.4%,16.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,57.1%,50.0%,63.2%,80.0%,56.3%,100.0%
LVNV FUNDING LLC,18,10,8,8.1%,9.6%,6.7%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,11.1%,0.0%,25.0%,50.0%,10.0%,100.0%
HCCH MED GROUP,16,14,2,7.2%,13.5%,1.7%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,62.5%,57.1%,100.0%,62.5%,57.1%,100.0%
PORTFOLIO RECOVERY ASSOCIATES LLC,8,4,4,3.6%,3.8%,3.4%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,12.5%,25.0%,0.0%,87.5%,75.0%,100.0%
MIDLAND CREDIT MANAGEMENT INC,7,2,5,3.1%,1.9%,4.2%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,57.1%,50.0%,60.0%,85.7%,50.0%,100.0%
REV NOEL T ADAMS MEM AMBULANCE DIST,6,0,6,2.7%,0.0%,5.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,66.7%,0.0%,66.7%,100.0%,0.0%,100.0%
MIDWESTERN HEALTH MANAGEMENT INC D/B/A NORTHWEST FIN. SVC.,5,3,2,2.2%,2.9%,1.7%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,40.0%,33.3%,50.0%,100.0%,100.0%,100.0%
JEFFERSON CAPITAL SYSTEMS LLC,4,4,0,1.8%,3.8%,0.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,25.0%,25.0%,0.0%,50.0%,50.0%,0.0%
CAPITAL ONE BANK (USA) NA,3,2,1,1.3%,1.9%,0.8%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,33.3%,50.0%,0.0%,100.0%,100.0%,100.0%
MIDLAND FUNDING LLC,3,2,1,1.3%,1.9%,0.8%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,66.7%,50.0%,100.0%,66.7%,50.0%,100.0%
WAKEFIELD & ASSOCIATES INC,2,0,2,0.9%,0.0%,1.7%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%
CROWN ASSET MANAGEMENT LLC,2,1,1,0.9%,1.0%,0.8%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,50.0%,100.0%,0.0%,100.0%,100.0%,100.0%
BANK OF AMERICA NA,2,1,1,0.9%,1.0%,0.8%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,50.0%,0.0%,100.0%,50.0%,0.0%,100.0%
JPMORGAN CHASE BANK NA,2,2,0,0.9%,1.9%,0.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,0.0%
CLEAR RECOVERY INC,2,2,0,0.9%,1.9%,0.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,50.0%,50.0%,0.0%
NOVUS AG LLC,2,2,0,0.9%,1.9%,0.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
GENESIS HEALTH CLUBS LLC,1,0,1,0.4%,0.0%,0.8%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%
ABSOLUTE RESOLUTIONS INVESTMENTS LLC,1,0,1,0.4%,0.0%,0.8%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
UNIVERSITY OF KANSAS HEALTH SYSTEM,1,0,1,0.4%,0.0%,0.8%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%
YOUNGS RENTALS LLC,1,0,1,0.4%,0.0%,0.8%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%
NORTHWEST HOSPITAL LLC,1,0,1,0.4%,0.0%,0.8%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
CACH LLC,1,0,1,0.4%,0.0%,0.8%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
CITIBANK N .A.,1,0,1,0.4%,0.0%,0.8%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
CAPITAL ONE N. A.,1,1,0,0.4%,1.0%,0.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,0.0%
B&B CAPITAL LLC D/B/A VIT-A-ZINE FARM SUPPLY,1,1,0,0.4%,1.0%,0.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%
COMMERCE BANK,1,0,1,0.4%,0.0%,0.8%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
VELOCITY INVESTMENTS LLC,1,0,1,0.4%,0.0%,0.8%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
CITIBANK NA,1,1,0,0.4%,1.0%,0.0%,0,0,0,0.0%,0.0%,0.0%,100.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
PETROCHOICE,1,1,0,0.4%,1.0%,0.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
ECKARDS HOME IMPROVEMENT,1,1,0,0.4%,1.0%,0.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%S INVESTMENTS LLC,3,1,2,0.5%,0.3%,0.7%,11911,0,11911,1.2%,0.0%,1.9%,33.3%,100.0%,0.0%,0.0%,0.0%,0.0%,66.7%,0.0%,100.0%
CAVALRY SPV ILLC,3,0,3,0.5%,0.0%,1.0%,2526,0,2526,0.2%,0.0%,0.4%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,33.3%,0.0%,33.3%
CREDIT CORP SOLUTIONS INC,3,2,1,0.5%,0.6%,0.3%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
