collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
lvnv funding llc,41,7,34,22.9%,29.2%,21.9%,0,0,0,0%,0%,0%,2.4%,14.3%,0.0%,31.7%,28.6%,32.4%,100.0%,100.0%,100.0%
midland credit management inc,31,3,28,17.3%,12.5%,18.1%,0,0,0,0%,0%,0%,6.5%,0.0%,7.1%,45.2%,66.7%,42.9%,100.0%,100.0%,100.0%
portfolio recovery associates llc,30,0,30,16.8%,0.0%,19.4%,0,0,0,0%,0%,0%,3.3%,0%,3.3%,30.0%,0%,30.0%,100.0%,0%,100.0%
cavalry spv i llc,11,1,10,6.1%,4.2%,6.5%,0,0,0,0%,0%,0%,0.0%,0.0%,0.0%,45.5%,0.0%,50.0%,90.9%,100.0%,90.0%
midland funding llc,9,0,9,5.0%,0.0%,5.8%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,11.1%,0%,11.1%,100.0%,0%,100.0%
capital one bank (usa) na,6,0,6,3.4%,0.0%,3.9%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,16.7%,0%,16.7%,100.0%,0%,100.0%
absolute resolutions investments llc,6,3,3,3.4%,12.5%,1.9%,0,0,0,0%,0%,0%,16.7%,0.0%,33.3%,33.3%,66.7%,0.0%,100.0%,100.0%,100.0%
wakefield & associates inc,5,1,4,2.8%,4.2%,2.6%,0,0,0,0%,0%,0%,0.0%,0.0%,0.0%,20.0%,0.0%,25.0%,100.0%,100.0%,100.0%
jp morgan chase bank na,4,1,3,2.2%,4.2%,1.9%,0,0,0,0%,0%,0%,0.0%,0.0%,0.0%,75.0%,0.0%,100.0%,100.0%,100.0%,100.0%
jefferson capital systems llc,4,1,3,2.2%,4.2%,1.9%,0,0,0,0%,0%,0%,0.0%,0.0%,0.0%,25.0%,0.0%,33.3%,100.0%,100.0%,100.0%
consumer adjustment company inc,2,1,1,1.1%,4.2%,0.6%,0,0,0,0%,0%,0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%
bank of america na,2,0,2,1.1%,0.0%,1.3%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
citibank na,2,1,1,1.1%,4.2%,0.6%,0,0,0,0%,0%,0%,50.0%,0.0%,100.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%
cash link usa,2,0,2,1.1%,0.0%,1.3%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
jefferson capital systems llc chicago il,2,0,2,1.1%,0.0%,1.3%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
farmers produce exchange of lebanon,1,0,1,0.6%,0.0%,0.6%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
166 auto auction,1,0,1,0.6%,0.0%,0.6%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,100.0%,0%,100.0%,100.0%,0%,100.0%
consumer adjustment co inc,1,0,1,0.6%,0.0%,0.6%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
ozark central ambulance district,1,0,1,0.6%,0.0%,0.6%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
united auto credit corporation,1,0,1,0.6%,0.0%,0.6%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
portfolio recovery,1,0,1,0.6%,0.0%,0.6%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
midland credit management inc petitioner,1,0,1,0.6%,0.0%,0.6%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,100.0%,0%,100.0%,100.0%,0%,100.0%
discover bank,1,0,1,0.6%,0.0%,0.6%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
