collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
kirksville missouri hospital company,25,0,25,34.2%,0.0%,55.6%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,20.0%,0%,20.0%,100.0%,0%,100.0%
kirksville mo hospital company llc d/b/a northeast regional,11,11,0,15.1%,39.3%,0.0%,0,0,0,0%,0%,0%,0.0%,0.0%,0%,18.2%,18.2%,0%,81.8%,81.8%,0%
bank of america na,7,3,4,9.6%,10.7%,8.9%,0,0,0,0%,0%,0%,42.9%,0.0%,75.0%,14.3%,0.0%,25.0%,57.1%,0.0%,100.0%
portfolio recovery associates llc,6,1,5,8.2%,3.6%,11.1%,0,0,0,0%,0%,0%,16.7%,0.0%,20.0%,0.0%,0.0%,0.0%,83.3%,0.0%,100.0%
lvnv funding llc,5,4,1,6.8%,14.3%,2.2%,0,0,0,0%,0%,0%,0.0%,0.0%,0.0%,40.0%,25.0%,100.0%,40.0%,25.0%,100.0%
midland credit mangement,3,0,3,4.1%,0.0%,6.7%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,33.3%,0%,33.3%,100.0%,0%,100.0%
midland credit management inc,2,1,1,2.7%,3.6%,2.2%,0,0,0,0%,0%,0%,0.0%,0.0%,0.0%,50.0%,100.0%,0.0%,100.0%,100.0%,100.0%
midland funding llc,2,1,1,2.7%,3.6%,2.2%,0,0,0,0%,0%,0%,0.0%,0.0%,0.0%,50.0%,0.0%,100.0%,50.0%,0.0%,100.0%
kirksville missouri hospital company l.l.c,2,2,0,2.7%,7.1%,0.0%,0,0,0,0%,0%,0%,0.0%,0.0%,0%,50.0%,50.0%,0%,100.0%,100.0%,0%
citibank na,2,2,0,2.7%,7.1%,0.0%,0,0,0,0%,0%,0%,0.0%,0.0%,0%,0.0%,0.0%,0%,50.0%,50.0%,0%
city of hobart,1,1,0,1.4%,3.6%,0.0%,0,0,0,0%,0%,0%,0.0%,0.0%,0%,0.0%,0.0%,0%,100.0%,100.0%,0%
jefferson capital systems llc,1,0,1,1.4%,0.0%,2.2%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
cavalry spv i llc,1,0,1,1.4%,0.0%,2.2%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
kirksville missouri hospital company petitioner,1,0,1,1.4%,0.0%,2.2%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
wakefield & associates inc,1,0,1,1.4%,0.0%,2.2%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,100.0%,0%,100.0%,100.0%,0%,100.0%
