collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
LVNV FUNDING LLC,495,327,168,0.21,0.25,0.15,0,0,0,0.0,0.0,0.0,0.095,0.10,0.083,0.31,0.27,0.39,0.81,0.72,0.98
PORTFOLIO RECOVERY ASSOCIATES LLC,290,113,177,0.12,0.087,0.16,0,0,0,0.0,0.0,0.0,0.076,0.071,0.079,0.25,0.24,0.26,0.87,0.70,0.98
MIDLAND CREDIT MANAGEMENT INC,220,97,123,0.092,0.075,0.11,0,0,0,0.0,0.0,0.0,0.082,0.041,0.11,0.32,0.32,0.33,0.85,0.70,0.96
CAVALRY SPV I LLC,136,70,66,0.057,0.054,0.061,0,0,0,0.0,0.0,0.0,0.088,0.10,0.076,0.32,0.29,0.35,0.88,0.79,0.98
CAPITAL ONE BANK (USA) NA,122,85,37,0.051,0.066,0.034,0,0,0,0.0,0.0,0.0,0.074,0.024,0.19,0.26,0.26,0.27,0.85,0.79,1.0
DISCOVER BANK,121,82,39,0.051,0.063,0.036,0,0,0,0.0,0.0,0.0,0.074,0.085,0.051,0.31,0.33,0.28,0.83,0.77,0.97
MIDLAND FUNDING LLC,70,12,58,0.029,0.0093,0.053,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.17,0.38,0.97,0.83,1.0
BANK OF AMERICA NA,67,25,42,0.028,0.019,0.039,0,0,0,0.0,0.0,0.0,0.19,0.16,0.21,0.27,0.32,0.24,0.84,0.72,0.90
JEFFERSON CAPITAL SYSTEMS LLC,64,44,20,0.027,0.034,0.018,0,0,0,0.0,0.0,0.0,0.047,0.023,0.10,0.23,0.23,0.25,0.78,0.68,1.0
CITIBANK NA,64,31,33,0.027,0.024,0.030,0,0,0,0.0,0.0,0.0,0.22,0.26,0.18,0.25,0.19,0.30,0.88,0.74,1.0
MIDLAND CREDIT MANAGEMENT INC A CORP,59,24,35,0.025,0.019,0.032,0,0,0,0.0,0.0,0.0,0.068,0.13,0.029,0.31,0.17,0.40,0.97,0.92,1.0
