collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
hannibal regional hospital,7,0,7,12.5%,0.0%,14.3%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,42.9%,0%,42.9%,100.0%,0%,100.0%
moberly hospital company llc,7,1,6,12.5%,14.3%,12.2%,0,0,0,0%,0%,0%,0.0%,0.0%,0.0%,14.3%,0.0%,16.7%,100.0%,100.0%,100.0%
lvnv funding llc,7,1,6,12.5%,14.3%,12.2%,0,0,0,0%,0%,0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%
kirksville missouri hospital company llc,5,1,4,8.9%,14.3%,8.2%,0,0,0,0%,0%,0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%
midland funding llc,5,0,5,8.9%,0.0%,10.2%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
hannibal clinic operations llc,4,0,4,7.1%,0.0%,8.2%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,75.0%,0%,75.0%,100.0%,0%,100.0%
midland credit management inc,4,0,4,7.1%,0.0%,8.2%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
portfolio recovery associates llc,4,0,4,7.1%,0.0%,8.2%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
wakefield & associates inc,2,0,2,3.6%,0.0%,4.1%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
moberly hospital company llc d/b/a moberly regional med,1,0,1,1.8%,0.0%,2.0%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
cavalry spv i llc,1,0,1,1.8%,0.0%,2.0%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,100.0%,0%,100.0%,100.0%,0%,100.0%
bank of america,1,0,1,1.8%,0.0%,2.0%,0,0,0,0%,0%,0%,100.0%,0%,100.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
td bank usa na,1,0,1,1.8%,0.0%,2.0%,0,0,0,0%,0%,0%,100.0%,0%,100.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
wakefield and associates inc,1,0,1,1.8%,0.0%,2.0%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
kirksville mo hospital,1,0,1,1.8%,0.0%,2.0%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
jefferson capital systems llc,1,0,1,1.8%,0.0%,2.0%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
moberly hospital co llc dba moberly regional medical,1,1,0,1.8%,14.3%,0.0%,0,0,0,0%,0%,0%,0.0%,0.0%,0%,0.0%,0.0%,0%,100.0%,100.0%,0%
citibank n a,1,1,0,1.8%,14.3%,0.0%,0,0,0,0%,0%,0%,0.0%,0.0%,0%,0.0%,0.0%,0%,100.0%,100.0%,0%
together credit union f/k/a anheuser-busch employees credit,1,1,0,1.8%,14.3%,0.0%,0,0,0,0%,0%,0%,0.0%,0.0%,0%,0.0%,0.0%,0%,100.0%,100.0%,0%
ncb management services inc,1,1,0,1.8%,14.3%,0.0%,0,0,0,0%,0%,0%,0.0%,0.0%,0%,0.0%,0.0%,0%,100.0%,100.0%,0%0%,40.0%,0.0%,66.7%
forum credit union,10,4,6,1.1%,0.8%,1.4%,67102,45396,21706,3.7%,7.5%,1.8%,10.0%,25.0%,0.0%,0.0%,0.0%,0.0%,70.0%,75.0%,66.7%
sac finance,9,0,9,1.0%,0.0%,2.1%,75543,0,75543,4.2%,0.0%,6.3%,0.0%,0%,0.0%,0.0%,0%,0.0%,88.9%,0%,88.9%
absolute resolutions investments llc,9,0,9,1.0%,0.0%,2.1%,17421,0,17421,1.0%,0.0%,1.5%,0.0%,0%,0.0%,0.0%,0%,0.0%,55.6%,0%,55.6%
joe's auto sales inc,7,3,4,0.8%,0.6%,0.9%,7375,0,7375,0.4%,0.0%,0.6%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%
cavalry spv i llc as assignee of citibank na,7,2,5,0.8%,0.4%,1.2%,27258,15520,11738,1.5%,2.6%,1.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,85.7%,50.0%,100.0%
new world collections inc,7,2,5,0.8%,0.4%,1.2%,19913,12624,7290,1.1%,2.1%,0.6%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,85.7%,100.0%,80.0%
world finance company of indiana llc,7,7,0,0.8%,1.5%,0.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%,0.0%,0%
td bank usa na,6,3,3,0.7%,0.6%,0.7%,1458,0,1458,0.1%,0.0%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,50.0%,0.0%,100.0%
creditmax inc,6,4,2,0.7%,0.8%,0.5%,24880,21459,3421,1.4%,3.5%,0.3%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,66.7%,75.0%,50.0%
dnf associates llc,5,3,2,0.5%,0.6%,0.5%,4995,1977,3018,0.3%,0.3%,0.3%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,80.0%,66.7%,100.0%
harvester financial credit union,5,2,3,0.5%,0.4%,0.7%,38901,11041,27860,2.2%,1.8%,2.3%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,80.0%,50.0%,100.0%
cavalry spv illc,5,1,4,0.5%,0.2%,0.9%,19298,0,19298,1.1%,0.0%,1.6%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,40.0%,0.0%,50.0%
wells fargo bank na,5,5,0,0.5%,1.0%,0.0%,0,0,0,0.0%,0.0%,0.0%,40.0%,40.0%,0%,0.0%,0.0%,0%,0.0%,0.0%,0%
credit acceptance corporation,5,5,0,0.5%,1.0%,0.0%,10293,10293,0,0.6%,1.7%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,20.0%,20.0%,0%
credit acceptance corp.,4,3,1,0.4%,0.6%,0.2%,0,0,0,0.0%,0.0%,0.0%,25.0%,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
teachers credit union,4,3,1,0.4%,0.6%,0.2%,13175,0,13175,0.7%,0.0%,1.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,25.0%,0.0%,100.0%
the morris plan company of terre haute inc,3,0,3,0.3%,0.0%,0.7%,0,0,0,0.0%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%,66.7%,0%,66.7%
portfolio recovery associatesllc,3,0,3,0.3%,0.0%,0.7%,0,0,0,0.0%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%,33.3%,0%,33.3%
td bank usa na as successor in interest to target national bank,3,2,1,0.3%,0.4%,0.2%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
credit corp solutions inc,3,2,1,0.3%,0.4%,0.2%,3276,3276,0,0.2%,0.5%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,66.7%,100.0%,0.0%
financial center first credit union,3,2,1,0.3%,0.4%,0.2%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,33.3%,0.0%,100.0%
jh met subsidiary b liquidating trust,3,2,1,0.3%,0.4%,0.2%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
ford motor credit company llc,3,2,1,0.3%,0.4%,0.2%,22712,9998,12715,1.3%,1.6%,1.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,66.7%,50.0%,100.0%
foursight capital llc,3,1,2,0.3%,0.2%,0.5%,18297,0,18297,1.0%,0.0%,1.5%,33.3%,100.0%,0.0%,0.0%,0.0%,0.0%,33.3%,0.0%,50.0%
gmg motors inc,3,2,1,0.3%,0.4%,0.2%,30646,15022,15625,1.7%,2.5%,1.3%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%
u.s. bank national association,3,3,0,0.3%,0.6%,0.0%,9577,9577,0,0.5%,1.6%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,33.3%,33.3%,0%
velocity investments llc,3,3,0,0.3%,0.6%,0.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,33.3%,33.3%,0%
honda federal credit union,3,3,0,0.3%,0.6%,0.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,33.3%,33.3%,0%
goldman sachs bank usa,3,3,0,0.3%,0.6%,0.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%,0.0%,0%
american express national bank,3,3,0,0.3%,0.6%,0.0%,0,0,0,0.0%,0.0%,0.0%,33.3%,33.3%,0%,0.0%,0.0%,0%,33.3%,33.3%,0%
capital one na,3,3,0,0.3%,0.6%,0.0%,13145,13145,0,0.7%,2.2%,0.0%,33.3%,33.3%,0%,0.0%,0.0%,0%,100.0%,100.0%,0%
kitch acceptance corp.,2,1,1,0.2%,0.2%,0.2%,7476,7476,0,0.4%,1.2%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
barclays bank delaware,2,0,2,0.2%,0.0%,0.5%,0,0,0,0.0%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%,50.0%,0%,50.0%
no plaintiff found,2,1,1,0.2%,0.2%,0.2%,0,0,0,0.0%,0.0%,0.0%,50.0%,0.0%,100.0%,0.0%,0.0%,0.0%,50.0%,0.0%,100.0%
