collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
midwestern health management inc,47,23,24,40.5%,33.8%,50.0%,0,0,0,0%,0%,0%,2.1%,4.3%,0.0%,34.0%,30.4%,37.5%,83.0%,65.2%,100.0%
lvnv funding llc,23,14,9,19.8%,20.6%,18.8%,0,0,0,0%,0%,0%,8.7%,7.1%,11.1%,34.8%,35.7%,33.3%,69.6%,50.0%,100.0%
midland funding llc,8,4,4,6.9%,5.9%,8.3%,0,0,0,0%,0%,0%,0.0%,0.0%,0.0%,50.0%,25.0%,75.0%,87.5%,75.0%,100.0%
portfolio recovery associates llc,6,5,1,5.2%,7.4%,2.1%,0,0,0,0%,0%,0%,16.7%,20.0%,0.0%,50.0%,40.0%,100.0%,66.7%,60.0%,100.0%
citibank na,4,4,0,3.4%,5.9%,0.0%,0,0,0,0%,0%,0%,75.0%,75.0%,0%,0.0%,0.0%,0%,50.0%,50.0%,0%
capital one bank (usa) na,3,3,0,2.6%,4.4%,0.0%,0,0,0,0%,0%,0%,0.0%,0.0%,0%,33.3%,33.3%,0%,33.3%,33.3%,0%
midland credit manag,3,2,1,2.6%,2.9%,2.1%,0,0,0,0%,0%,0%,0.0%,0.0%,0.0%,33.3%,0.0%,100.0%,33.3%,0.0%,100.0%
cavalry spv i llc - st louis,2,1,1,1.7%,1.5%,2.1%,0,0,0,0%,0%,0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,50.0%,0.0%,100.0%
bank of america na,2,0,2,1.7%,0.0%,4.2%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,50.0%,0%,50.0%,100.0%,0%,100.0%
cavalry spv i llc,2,1,1,1.7%,1.5%,2.1%,0,0,0,0%,0%,0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
jpmorgan chase bank - chicago il,2,2,0,1.7%,2.9%,0.0%,0,0,0,0%,0%,0%,0.0%,0.0%,0%,50.0%,50.0%,0%,100.0%,100.0%,0%
absolute resolutions investments llc,2,1,1,1.7%,1.5%,2.1%,0,0,0,0%,0%,0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%
td bank usa na - st louis,2,2,0,1.7%,2.9%,0.0%,0,0,0,0%,0%,0%,0.0%,0.0%,0%,0.0%,0.0%,0%,50.0%,50.0%,0%
midland credit management inc,1,0,1,0.9%,0.0%,2.1%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,100.0%,0%,100.0%,100.0%,0%,100.0%
wells fargo bank na,1,0,1,0.9%,0.0%,2.1%,0,0,0,0%,0%,0%,100.0%,0%,100.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
cks prime investments llc,1,0,1,0.9%,0.0%,2.1%,0,0,0,0%,0%,0%,100.0%,0%,100.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
clear recovery inc,1,0,1,0.9%,0.0%,2.1%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,100.0%,0%,100.0%,100.0%,0%,100.0%
jefferson capital systems llc,1,1,0,0.9%,1.5%,0.0%,0,0,0,0%,0%,0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%,0.0%,0%
crown asset management llc,1,1,0,0.9%,1.5%,0.0%,0,0,0,0%,0%,0%,100.0%,100.0%,0%,0.0%,0.0%,0%,100.0%,100.0%,0%
midland credit management inc-ia,1,1,0,0.9%,1.5%,0.0%,0,0,0,0%,0%,0%,0.0%,0.0%,0%,0.0%,0.0%,0%,100.0%,100.0%,0%
mm finance llc,1,1,0,0.9%,1.5%,0.0%,0,0,0,0%,0%,0%,0.0%,0.0%,0%,0.0%,0.0%,0%,100.0%,100.0%,0%
second round sub llc petitioner,1,1,0,0.9%,1.5%,0.0%,0,0,0,0%,0%,0%,100.0%,100.0%,0%,0.0%,0.0%,0%,0.0%,0.0%,0%
pyod llc,1,1,0,0.9%,1.5%,0.0%,0,0,0,0%,0%,0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%,0.0%,0%
