collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
MIDWESTERN HEALTH MANAGEMENT INC,49,6,43,0.37,0.23,0.41,0,0,0,0.0,0.0,0.0,0.020,0.0,0.023,0.53,0.50,0.53,0.98,1.0,0.98
LVNV FUNDING LLC,18,8,10,0.14,0.31,0.094,0,0,0,0.0,0.0,0.0,0.056,0.13,0.0,0.44,0.50,0.40,0.94,0.88,1.0
MIDLAND CREDIT MANAGEMENT INC,12,1,11,0.091,0.038,0.10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,1.0,0.27,1.0,1.0,1.0
PORTFOLIO RECOVERY ASSOCIATES LLC,10,1,9,0.076,0.038,0.085,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.10,0.0,0.11,1.0,1.0,1.0
MM FINANCE LLC,6,2,4,0.045,0.077,0.038,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.83,1.0,0.75
WAKEFIELD & ASSOCIATES INC,3,0,3,0.023,0.0,0.028,0,0,0,0.0,0.0,0.0,0.33,0.0,0.33,0.0,0.0,0.0,1.0,0.0,1.0
CITIBANK NA,3,0,3,0.023,0.0,0.028,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.67
JP MORGAN CHASE BANK NA,3,0,3,0.023,0.0,0.028,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
KEARNEY TRUST COMPANY,2,0,2,0.015,0.0,0.019,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
CAVALRY SPV I LLC,2,0,2,0.015,0.0,0.019,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
CLEAR RECOVERY INC,2,0,2,0.015,0.0,0.019,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
MIDLAND FUNDING LLC,2,0,2,0.015,0.0,0.019,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
WAKEFIELD &ASSOCIATE INC,2,0,2,0.015,0.0,0.019,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
HARRISON COUNTY COMMUNITY HOSPITAL,2,1,1,0.015,0.038,0.0094,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.50,1.0,0.0,1.0,1.0,1.0
GENESIS HEALTH CLUBS LLC,1,0,1,0.0076,0.0,0.0094,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
