collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
LVNV FUNDING LLC,91,62,29,0.13,0.17,0.082,32375,24048,8327,0.021,0.039,0.0092,0.011,0.016,0.0,0.0,0.0,0.0,0.34,0.39,0.24
MIDLAND CREDIT MANAGEMENT INC,67,36,31,0.094,0.10,0.087,57265,7616,49648,0.038,0.012,0.055,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.22,0.68
PORTFOLIO RECOVERY ASSOCIATES LLC,64,24,40,0.090,0.068,0.11,68268,23977,44290,0.045,0.039,0.049,0.031,0.042,0.025,0.0,0.0,0.0,0.55,0.54,0.55
CLINTON COUNTY EMERGENCY MEDICAL SERVICES,36,5,31,0.051,0.014,0.087,22069,3991,18078,0.015,0.0065,0.020,0.0,0.0,0.0,0.0,0.0,0.0,0.81,0.80,0.81
DISCOVER BANK,31,23,8,0.044,0.065,0.023,48049,20819,27229,0.032,0.034,0.030,0.097,0.087,0.13,0.0,0.0,0.0,0.26,0.22,0.38
CAPITAL ONE BANK (USA) NA,31,20,11,0.044,0.056,0.031,58475,50476,7999,0.039,0.082,0.0089,0.0,0.0,0.0,0.0,0.0,0.0,0.74,0.85,0.55
JEFFERSON CAPITAL SYSTEMS LLC,28,7,21,0.039,0.020,0.059,15661,960,14701,0.010,0.0016,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.50,0.14,0.62
SAC FINANCE INC,26,17,9,0.037,0.048,0.025,179459,81557,97901,0.12,0.13,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.62,0.47,0.89
MARINER FINANCE LLC SUCCESSOR IN INTEREST TO PERSONAL FINANCE COMPANY LLC,24,10,14,0.034,0.028,0.039,98851,39724,59127,0.065,0.065,0.065,0.042,0.0,0.071,0.0,0.0,0.0,0.88,0.80,0.93
ONEMAIN FINANCIAL GROUP LLC,22,10,12,0.031,0.028,0.034,91238,23135,68104,0.060,0.038,0.075,0.045,0.0,0.083,0.0,0.0,0.0,0.59,0.20,0.92
PORTFILIO RECOVERY ASSOCIATES LLC,21,21,0,0.030,0.059,0.0,5303,5303,0,0.0035,0.0087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.24,0.0
CITIBANK NA,20,7,13,0.028,0.020,0.037,73559,9708,63851,0.049,0.016,0.071,0.15,0.0,0.23,0.0,0.0,0.0,0.80,0.57,0.92
MIDLAND FUNDING LLC,15,6,9,0.021,0.017,0.025,9546,5722,3824,0.0063,0.0094,0.0042,0.067,0.0,0.11,0.0,0.0,0.0,0.40,0.33,0.44
