collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
BOTHWELL REGIONAL HEALTH CENTER,227,172,55,0.23,0.28,0.16,0,0,0,0.0,0.0,0.0,0.022,0.029,0.0,0.41,0.40,0.42,0.88,0.84,1.0
BOTHWELL REGIONAL HEALTH CENTER PETITIONER,196,180,16,0.20,0.29,0.045,0,0,0,0.0,0.0,0.0,0.036,0.033,0.063,0.51,0.50,0.56,0.97,0.97,1.0
LVNV FUNDING LLC,150,90,60,0.15,0.14,0.17,0,0,0,0.0,0.0,0.0,0.11,0.12,0.083,0.39,0.42,0.33,0.93,0.89,0.98
PORTFOLIO RECOVERY ASSOCIATES LLC,70,20,50,0.072,0.032,0.14,0,0,0,0.0,0.0,0.0,0.14,0.30,0.080,0.30,0.15,0.36,0.97,0.90,1.0
MIDLAND CREDIT MANAGEMENT INC,57,35,22,0.058,0.056,0.062,0,0,0,0.0,0.0,0.0,0.25,0.14,0.41,0.33,0.40,0.23,0.89,0.89,0.91
CAPITAL ONE BANK USA NA,25,16,9,0.026,0.026,0.025,0,0,0,0.0,0.0,0.0,0.16,0.13,0.22,0.32,0.38,0.22,0.96,0.94,1.0
MIDLAND FUNDING LLC,24,1,23,0.025,0.0016,0.065,0,0,0,0.0,0.0,0.0,0.083,0.0,0.087,0.33,1.0,0.30,1.0,1.0,1.0
JEFFERSON CAPITAL SYSTEMS LLC,24,16,8,0.025,0.026,0.023,0,0,0,0.0,0.0,0.0,0.13,0.063,0.25,0.33,0.25,0.50,0.79,0.69,1.0
CAVALRY SPV I LLC,19,6,13,0.019,0.0096,0.037,0,0,0,0.0,0.0,0.0,0.053,0.0,0.077,0.32,0.17,0.38,0.84,0.83,0.85
MIDLAND CREDIT MGMT,19,1,18,0.019,0.0016,0.051,0,0,0,0.0,0.0,0.0,0.11,0.0,0.11,0.47,0.0,0.50,1.0,1.0,1.0
CITIBANK,13,12,1,0.013,0.019,0.0028,0,0,0,0.0,0.0,0.0,0.15,0.17,0.0,0.23,0.17,1.0,0.85,0.83,1.0
BANK OF AMERICA NA,12,3,9,0.012,0.0048,0.025,0,0,0,0.0,0.0,0.0,0.25,0.0,0.33,0.17,0.0,0.22,1.0,1.0,1.0
JP MORGAN CHASE BANK NA,11,8,3,0.011,0.013,0.0085,0,0,0,0.0,0.0,0.0,0.36,0.25,0.67,0.27,0.38,0.0,1.0,1.0,1.0
CITIBANK NA,9,1,8,0.0092,0.0016,0.023,0,0,0,0.0,0.0,0.0,0.11,0.0,0.13,0.11,0.0,0.13,1.0,1.0,1.0
TD BANK USA NA,9,8,1,0.0092,0.013,0.0028,0,0,0,0.0,0.0,0.0,0.11,0.0,1.0,0.56,0.63,0.0,1.0,1.0,1.0
