collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
LVNV FUNDING LLC,75,52,23,0.14,0.19,0.091,25207,17996,7211,0.029,0.054,0.013,0.027,0.038,0.0,0.0,0.0,0.0,0.31,0.31,0.30
MIDLAND CREDIT MANAGEMENT INC,50,29,21,0.094,0.10,0.083,45459,24542,20917,0.052,0.074,0.038,0.020,0.0,0.048,0.0,0.0,0.0,0.54,0.38,0.76
PORTFOLIO RECOVERY ASSOCIATES LLC,41,13,28,0.077,0.047,0.11,63812,14341,49471,0.073,0.043,0.090,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.54,0.86
JEFFERSON CAPITAL SYSTEMS LLC,30,18,12,0.056,0.065,0.047,40711,23372,17339,0.046,0.071,0.032,0.0,0.0,0.0,0.0,0.0,0.0,0.50,0.44,0.58
CAPITAL ONE BANK (USA) NA,27,21,6,0.051,0.076,0.024,43572,35037,8534,0.050,0.11,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.57,0.67
DISCOVER BANK,20,15,5,0.038,0.054,0.020,50880,33308,17572,0.058,0.10,0.032,0.15,0.067,0.40,0.0,0.0,0.0,0.65,0.53,1.0
ONEMAIN FINANCIAL GROUP LLC,15,9,6,0.028,0.032,0.024,55745,26288,29458,0.063,0.079,0.054,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.22,0.83
CITIBANK NA,12,4,8,0.023,0.014,0.031,23230,3320,19910,0.026,0.010,0.036,0.17,0.25,0.13,0.0,0.0,0.0,0.67,0.50,0.75
CAVALRY SPV I LLC,12,6,6,0.023,0.022,0.024,61586,20663,40922,0.070,0.062,0.075,0.25,0.33,0.17,0.0,0.0,0.0,0.92,1.0,0.83
UNIFUND CCR LLC,11,1,10,0.021,0.0036,0.039,4918,0,4918,0.0056,0.0,0.0090,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.0,0.60
MARINER FINANCE LLC SUCCESSOR IN INTEREST TO PERSONAL FINANCE COMPANY LLC,11,10,1,0.021,0.036,0.0039,24316,22600,1716,0.028,0.068,0.0031,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.50,1.0
