collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
PORTFOLIO RECOVERY ASSOCIATES LLC,56,25,31,11.2%,9.2%,13.7%,46451,21467,24984,3.4%,3.9%,3.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,41.1%,44.0%,38.7%
LVNV FUNDING LLC,53,33,20,10.6%,12.1%,8.8%,23416,17945,5472,1.7%,3.3%,0.7%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,34.0%,33.3%,35.0%
MIDLAND CREDIT MANAGEMENT INC,49,31,18,9.8%,11.4%,8.0%,67990,46237,21754,4.9%,8.5%,2.6%,2.0%,0.0%,5.6%,0.0%,0.0%,0.0%,46.9%,45.2%,50.0%
CAPITAL ONE BANK (USA) NA,28,22,6,5.6%,8.1%,2.7%,50656,38349,12307,3.7%,7.0%,1.5%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,57.1%,50.0%,83.3%
DISCOVER BANK,25,15,10,5.0%,5.5%,4.4%,81628,49862,31766,5.9%,9.1%,3.8%,4.0%,0.0%,10.0%,0.0%,0.0%,0.0%,52.0%,53.3%,50.0%
JEFFERSON CAPITAL SYSTEMS LLC,20,8,12,4.0%,2.9%,5.3%,26394,12140,14254,1.9%,2.2%,1.7%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,50.0%,25.0%,66.7%
COMMUNITYWIDE FEDERAL CREDIT UNION,18,9,9,3.6%,3.3%,4.0%,95484,30912,64572,6.9%,5.7%,7.7%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,44.4%,22.2%,66.7%
CROWN ASSET MANAGEMENT LLC,14,8,6,2.8%,2.9%,2.7%,43594,35645,7950,3.1%,6.5%,0.9%,7.1%,12.5%,0.0%,0.0%,0.0%,0.0%,85.7%,75.0%,100.0%
SAC FINANCE INC,14,8,6,2.8%,2.9%,2.7%,149151,77063,72088,10.8%,14.1%,8.6%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,71.4%,62.5%,83.3%
ONEMAIN FINANCIAL GROUP LLC,11,6,5,2.2%,2.2%,2.2%,30827,8286,22541,2.2%,1.5%,2.7%,9.1%,0.0%,20.0%,0.0%,0.0%,0.0%,45.5%,16.7%,80.0%
SNOW & SAUERTEIG LLP,11,6,5,2.2%,2.2%,2.2%,29278,0,29278,2.1%,0.0%,3.5%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,36.4%,16.7%,60.0%
SYNCHRONY BANK,7,5,2,1.4%,1.8%,0.9%,20398,18366,2032,1.5%,3.4%,0.2%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,85.7%,80.0%,100.0%
TEACHERS CREDIT UNION,7,2,5,1.4%,0.7%,2.2%,30740,0,30740,2.2%,0.0%,3.7%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,42.9%,0.0%,60.0%
PRESTIGE FINANCIAL SERVICES,7,7,0,1.4%,2.6%,0.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,14.3%,14.3%,0.0%
BANK OF AMERICA NA,6,1,5,1.2%,0.4%,2.2%,33042,4688,28354,2.4%,0.9%,3.4%,16.7%,0.0%,20.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%
DNF ASSOCIATES LLC,6,5,1,1.2%,1.8%,0.4%,2189,1018,1171,0.2%,0.2%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,33.3%,20.0%,100.0%
CAVALRY SPV I LLC,6,4,2,1.2%,1.5%,0.9%,18721,10960,7761,1.4%,2.0%,0.9%,16.7%,0.0%,50.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%
PARTNERS 1ST FEDERAL CREDIT UNION,5,1,4,1.0%,0.4%,1.8%,42656,9541,33115,3.1%,1.7%,3.9%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,80.0%,100.0%,75.0%
MARINER FINANCE LLC SUCCESSOR IN INTEREST TO PERSONAL FINANCE COMPANY LLC,5,1,4,1.0%,0.4%,1.8%,14003,0,14003,1.0%,0.0%,1.7%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,80.0%,0.0%,100.0%
CREDIT ACCEPTANCE CORP.,5,3,2,1.0%,1.1%,0.9%,10239,0,10239,0.7%,0.0%,1.2%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,40.0%,0.0%,100.0%
CITIBANK NA,5,2,3,1.0%,0.7%,1.3%,19908,11711,8197,1.4%,2.1%,1.0%,20.0%,0.0%,33.3%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%
