collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
MIDLAND CREDIT MANAGEMENT INC,67,43,24,11.6%,13.6%,9.2%,49270,27177,22093,4.1%,7.1%,2.7%,3.0%,2.3%,4.2%,0.0%,0.0%,0.0%,38.8%,34.9%,45.8%
PORTFOLIO RECOVERY ASSOCIATES LLC,54,16,38,9.4%,5.1%,14.6%,66749,13385,53363,5.5%,3.5%,6.4%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,59.3%,31.3%,71.1%
LVNV FUNDING LLC,49,38,11,8.5%,12.0%,4.2%,26183,21860,4323,2.2%,5.7%,0.5%,2.0%,2.6%,0.0%,0.0%,0.0%,0.0%,36.7%,36.8%,36.4%
DISCOVER BANK,41,23,18,7.1%,7.3%,6.9%,132216,50749,81467,10.9%,13.2%,9.8%,4.9%,8.7%,0.0%,0.0%,0.0%,0.0%,48.8%,39.1%,61.1%
CITIBANK NA,32,10,22,5.5%,3.2%,8.4%,78299,14080,64219,6.4%,3.7%,7.7%,18.8%,10.0%,22.7%,0.0%,0.0%,0.0%,56.3%,40.0%,63.6%
CAPITAL ONE BANK (USA) NA,31,21,10,5.4%,6.6%,3.8%,43285,25278,18007,3.6%,6.6%,2.2%,3.2%,0.0%,10.0%,0.0%,0.0%,0.0%,48.4%,42.9%,60.0%
PROFESSIONAL & BUSINESS COLLECTIONS LLC,25,16,9,4.3%,5.1%,3.4%,74414,57142,17272,6.1%,14.8%,2.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,52.0%,37.5%,77.8%
HOOSIER ACCOUNTS SERVICE,22,8,14,3.8%,2.5%,5.4%,164417,0,164417,13.5%,0.0%,19.8%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,36.4%,0.0%,57.1%
MARINER FINANCE LLC SUCCESSOR IN INTEREST TO PERSONAL FINANCE COMPANY LLC,20,5,15,3.5%,1.6%,5.7%,63764,20990,42774,5.3%,5.4%,5.2%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,75.0%,60.0%,80.0%
ONEMAIN FINANCIAL GROUP LLC,16,7,9,2.8%,2.2%,3.4%,89514,20798,68716,7.4%,5.4%,8.3%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,56.3%,28.6%,77.8%
BANK OF AMERICA NA,15,8,7,2.6%,2.5%,2.7%,54309,23216,31093,4.5%,6.0%,3.8%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,60.0%,50.0%,71.4%
CROWN ASSET MANAGEMENT LLC,14,8,6,2.4%,2.5%,2.3%,10854,2523,8331,0.9%,0.7%,1.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,64.3%,37.5%,100.0%
JEFFERSON CAPITAL SYSTEMS LLC,13,5,8,2.3%,1.6%,3.1%,1273,0,1273,0.1%,0.0%,0.2%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,23.1%,40.0%,12.5%
CAVALRY SPV I LLC,10,5,5,1.7%,1.6%,1.9%,9858,7273,2584,0.8%,1.9%,0.3%,10.0%,0.0%,20.0%,0.0%,0.0%,0.0%,50.0%,40.0%,60.0%
DNF ASSOCIATES LLC,10,10,0,1.7%,3.2%,0.0%,2221,2221,0,0.2%,0.6%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,30.0%,30.0%,0.0%
CREDITONE LLC,9,9,0,1.6%,2.8%,0.0%,9810,9810,0,0.8%,2.5%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,33.3%,33.3%,0.0%
TD BANK USA NA,6,5,1,1.0%,1.6%,0.4%,1662,941,721,0.1%,0.2%,0.1%,16.7%,20.0%,0.0%,0.0%,0.0%,0.0%,50.0%,40.0%,100.0%
MIDLAND FUNDING LLC,6,0,6,1.0%,0.0%,2.3%,831,0,831,0.1%,0.0%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,33.3%,0.0%,33.3%
CRANE CREDIT UNION,5,2,3,0.9%,0.6%,1.1%,18511,5333,13178,1.5%,1.4%,1.6%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,80.0%,50.0%,100.0%
ABSOLUTE RESOLUTIONS INVESTMENTS LLC,5,2,3,0.9%,0.6%,1.1%,9663,1153,8510,0.8%,0.3%,1.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,80.0%,50.0%,100.0%
UNIFUND CCR LLC,5,1,4,0.9%,0.3%,1.5%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,40.0%,0.0%,50.0%
THE MORRIS PLAN COMPANY OF TERRE HAUTE INC,5,3,2,0.9%,0.9%,0.8%,33396,13619,19777,2.8%,3.5%,2.4%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,80.0%,66.7%,100.0%
GATEWAY FINANCIAL SOLUTIONS,5,5,0,0.9%,1.6%,0.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
CREDIT ACCEPTANCE CORP.,4,2,2,0.7%,0.6%,0.8%,9701,0,9701,0.8%,0.0%,1.2%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,50.0%,0.0%,100.0%
SAC FINANCE INC,4,1,3,0.7%,0.3%,1.1%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,25.0%,0.0%,33.3%
VELOCITY INVESTMENTS LLC,4,4,0,0.7%,1.3%,0.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,25.0%,25.0%,0.0%
SERVICE FINANCIAL COMPANY,3,0,3,0.5%,0.0%,1.1%,13180,0,13180,1.1%,0.0%,1.6%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,66.7%,0.0%,66.7%
CREDITMAX INC,3,1,2,0.5%,0.3%,0.8%,18868,9310,9558,1.6%,2.4%,1.2%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%
WORLD FINANCE COMPANY OF INDIANA LLC,3,3,0,0.5%,0.9%,0.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
AUTOVEST L.L.C OF INDIANA,3,3,0,0.5%,0.9%,0.0%,7719,7719,0,0.6%,2.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,33.3%,33.3%,0.0%
NO PLAINTIFF FOUND,2,0,2,0.3%,0.0%,0.8%,3569,0,3569,0.3%,0.0%,0.4%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
SYNCHRONY BANK,2,1,1,0.3%,0.3%,0.4%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,50.0%,0.0%,100.0%
PROFESSIONAL FINANCIAL SERVICES,2,1,1,0.3%,0.3%,0.4%,8968,0,8968,0.7%,0.0%,1.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,50.0%,0.0%,100.0%
CAVALRY SPV I LLC AS ASSIGNEE OF CITIBANK NA,2,1,1,0.3%,0.3%,0.4%,6032,0,6032,0.5%,0.0%,0.7%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,50.0%,0.0%,100.0%
CAVALRY SPV ILLC,2,1,1,0.3%,0.3%,0.4%,708,0,708,0.1%,0.0%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%
SECOND ROUND SUB LLC,2,1,1,0.3%,0.3%,0.4%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,50.0%,0.0%,100.0%
PCA ACQUISITIONS V LLC,2,2,0,0.3%,0.6%,0.0%,5847,5847,0,0.5%,1.5%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,50.0%,50.0%,0.0%
MIDLAND CREDIT MANAGEMENTINC,2,2,0,0.3%,0.6%,0.0%,5089,5089,0,0.4%,1.3%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,50.0%,50.0%,0.0%
AMERICAN EXPRESS NATIONAL BANK,2,2,0,0.3%,0.6%,0.0%,2694,2694,0,0.2%,0.7%,0.0%,50.0%,50.0%,0.0%,0.0%,0.0%,0.0%,50.0%,50.0%,0.0%
JH MET SUBSIDIARY B LIQUIDATING TRUST,2,2,0,0.3%,0.6%,0.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
CAPITAL ONE NA,2,2,0,0.3%,0.6%,0.0%,3937,3937,0,0.3%,1.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,0.0%
FIRST NATIONAL BANK OF OMAHA,2,2,0,0.3%,0.6%,0.0%,6299,6299,0,0.5%,1.6%,0.0%,50.0%,50.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,0.0%
CREDIT ACCEPTANCE CORPORATION,2,2,0,0.3%,0.6%,0.0%,10183,10183,0,0.8%,2.6%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,0.0%
FIFTH THIRD BANK,1,0,1,0.2%,0.0%,0.4%,7537,0,7537,0.6%,0.0%,0.9%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
BARCLAYS BANK DELAWARE,1,0,1,0.2%,0.0%,0.4%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
ONEMAIN FINANCIAL GROUP LLC SBM TO ONEMAIN FINANCIAL OF INDIANA INC,1,0,1,0.2%,0.0%,0.4%,3097,0,3097,0.3%,0.0%,0.4%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
TEACHERS CREDIT UNION,1,0,1,0.2%,0.0%,0.4%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
ANDREWS AUTO SALES INC,1,0,1,0.2%,0.0%,0.4%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
CREDIT ACCEPTANCE CORP,1,0,1,0.2%,0.0%,0.4%,11345,0,11345,0.9%,0.0%,1.4%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
MALEY & WERTZ INC,1,0,1,0.2%,0.0%,0.4%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
THE WATERS OF HUNTINGBURG LLC,1,0,1,0.2%,0.0%,0.4%,6080,0,6080,0.5%,0.0%,0.7%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
AVID ACCEPTANCE LLC,1,0,1,0.2%,0.0%,0.4%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
FARM BUREAU BANK,1,0,1,0.2%,0.0%,0.4%,10015,0,10015,0.8%,0.0%,1.2%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
INTERMEX WIRE TRANSFER LLC,1,0,1,0.2%,0.0%,0.4%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
WILLIAMS BROS HEALTH CARE PHARMACY INC,1,0,1,0.2%,0.0%,0.4%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
LENGACHER DEVELOPMENT LLC,1,0,1,0.2%,0.0%,0.4%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
D-PATRICK INC,1,0,1,0.2%,0.0%,0.4%,1998,0,1998,0.2%,0.0%,0.2%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
CARNEY JASPER LLC,1,0,1,0.2%,0.0%,0.4%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
MEDICAL & PROFESSIONAL COLLECTION SERVICES INC,1,0,1,0.2%,0.0%,0.4%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
GRINNELL SELECT INSURANCE COMPANY,1,0,1,0.2%,0.0%,0.4%,12245,0,12245,1.0%,0.0%,1.5%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
ONEMAIN FINANCIAL GROUP LLC SUCCESSOR BY MERGER TO ONEMAIN FINANCIAL OF IN INC,1,0,1,0.2%,0.0%,0.4%,10994,0,10994,0.9%,0.0%,1.3%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
MANISTEE ACQUISITIONS LLC,1,0,1,0.2%,0.0%,0.4%,866,0,866,0.1%,0.0%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
SECOND ROUND LP,1,0,1,0.2%,0.0%,0.4%,2305,0,2305,0.2%,0.0%,0.3%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
CATHEDRAL HEALTHCARE CENTER,1,0,1,0.2%,0.0%,0.4%,22252,0,22252,1.8%,0.0%,2.7%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
VELOCITY INVESTMENTS LLC ASSIGNEE OF LENDINGCLUB CORPORATION ASSIGNEE OF WEBBAN,1,0,1,0.2%,0.0%,0.4%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
CORONADO STUDENT LOAN TRUST,1,0,1,0.2%,0.0%,0.4%,42930,0,42930,3.5%,0.0%,5.2%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
DAVID AND ANGELA RAHMAN RENTALS,1,0,1,0.2%,0.0%,0.4%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
CVI SGP ACQUISITION TRUST,1,0,1,0.2%,0.0%,0.4%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
UNIFY FINANCIAL CREDIT UNION F.K.A WESTERN FEDERAL CREDIT UNION,1,0,1,0.2%,0.0%,0.4%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
TRUIST BANK,1,0,1,0.2%,0.0%,0.4%,22334,0,22334,1.8%,0.0%,2.7%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
FIRST PORTFOLIO VENTURES I LLC,1,0,1,0.2%,0.0%,0.4%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
NAVY FEDERAL CREDIT UNION,1,0,1,0.2%,0.0%,0.4%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
EVANSVILLE TEACHERS FEDERAL CREDIT UNION,1,1,0,0.2%,0.3%,0.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
