collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
WAKEFIELD & ASSOCIATES INC,19,11,8,0.16,0.22,0.12,0,0,0,0.0,0.0,0.0,0.11,0.091,0.13,0.53,0.64,0.38,1.0,1.0,1.0
CAPITAL REGION MEDICAL CENTER,19,1,18,0.16,0.020,0.28,0,0,0,0.0,0.0,0.0,0.053,0.0,0.056,0.21,0.0,0.22,1.0,1.0,1.0
PORTFOLIO RECOVERY ASSOCIATES LLC,11,2,9,0.095,0.039,0.14,0,0,0,0.0,0.0,0.0,0.091,0.0,0.11,0.18,0.50,0.11,1.0,1.0,1.0
LVNV FUNDING LLC,11,6,5,0.095,0.12,0.077,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.17,0.40,0.82,0.67,1.0
MIDLAND CREDIT MANAGEMENT INC,10,5,5,0.086,0.098,0.077,0,0,0,0.0,0.0,0.0,0.20,0.40,0.0,0.40,0.20,0.60,0.80,0.60,1.0
OZARK CENTRAL AMBULANCE DISTRIC,6,0,6,0.052,0.0,0.092,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.17,1.0,0.0,1.0
CONSUMER ADJUSTMENT CO INC,5,3,2,0.043,0.059,0.031,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.40,0.33,0.50,1.0,1.0,1.0
MIDLAND FUNDING LLC,4,2,2,0.034,0.039,0.031,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
JEFFERSON CAPITAL SYSTEMS LLC,4,3,1,0.034,0.059,0.015,0,0,0,0.0,0.0,0.0,0.25,0.33,0.0,0.25,0.33,0.0,1.0,1.0,1.0
CAVALRY SPV I LLC,2,2,0,0.017,0.039,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
CONSUMER ADJUSTMENT COMPANY INC,2,2,0,0.017,0.039,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
WAKEFIELD AND ASSOCIATES INC,2,2,0,0.017,0.039,0.0,0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
