collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
midland credit management inc,67,43,24,11.6%,13.6%,9.2%,49270,27177,22093,4.1%,7.1%,2.7%,3.0%,2.3%,4.2%,0.0%,0.0%,0.0%,38.8%,34.9%,45.8%
portfolio recovery associates llc,54,16,38,9.4%,5.1%,14.6%,66749,13385,53363,5.5%,3.5%,6.4%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,59.3%,31.3%,71.1%
lvnv funding llc,49,38,11,8.5%,12.0%,4.2%,26183,21860,4323,2.2%,5.7%,0.5%,2.0%,2.6%,0.0%,0.0%,0.0%,0.0%,36.7%,36.8%,36.4%
discover bank,41,23,18,7.1%,7.3%,6.9%,132216,50749,81467,10.9%,13.2%,9.8%,4.9%,8.7%,0.0%,0.0%,0.0%,0.0%,48.8%,39.1%,61.1%
citibank na,32,10,22,5.5%,3.2%,8.4%,78299,14080,64219,6.4%,3.7%,7.7%,18.8%,10.0%,22.7%,0.0%,0.0%,0.0%,56.3%,40.0%,63.6%
capital one bank (usa) na,31,21,10,5.4%,6.6%,3.8%,43285,25278,18007,3.6%,6.6%,2.2%,3.2%,0.0%,10.0%,0.0%,0.0%,0.0%,48.4%,42.9%,60.0%
professional & business collections llc,25,16,9,4.3%,5.1%,3.4%,74414,57142,17272,6.1%,14.8%,2.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,52.0%,37.5%,77.8%
hoosier accounts service,22,8,14,3.8%,2.5%,5.4%,164417,0,164417,13.5%,0.0%,19.8%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,36.4%,0.0%,57.1%
mariner finance llc successor in interest to personal finance company llc,20,5,15,3.5%,1.6%,5.7%,63764,20990,42774,5.3%,5.4%,5.2%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,75.0%,60.0%,80.0%
onemain financial group llc,16,7,9,2.8%,2.2%,3.4%,89514,20798,68716,7.4%,5.4%,8.3%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,56.3%,28.6%,77.8%
bank of america na,15,8,7,2.6%,2.5%,2.7%,54309,23216,31093,4.5%,6.0%,3.8%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,60.0%,50.0%,71.4%
crown asset management llc,14,8,6,2.4%,2.5%,2.3%,10854,2523,8331,0.9%,0.7%,1.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,64.3%,37.5%,100.0%
jefferson capital systems llc,13,5,8,2.3%,1.6%,3.1%,1273,0,1273,0.1%,0.0%,0.2%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,23.1%,40.0%,12.5%
cavalry spv i llc,10,5,5,1.7%,1.6%,1.9%,9858,7273,2584,0.8%,1.9%,0.3%,10.0%,0.0%,20.0%,0.0%,0.0%,0.0%,50.0%,40.0%,60.0%
dnf associates llc,10,10,0,1.7%,3.2%,0.0%,2221,2221,0,0.2%,0.6%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,30.0%,30.0%,0%
creditone llc,9,9,0,1.6%,2.8%,0.0%,9810,9810,0,0.8%,2.5%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,33.3%,33.3%,0%
td bank usa na,6,5,1,1.0%,1.6%,0.4%,1662,941,721,0.1%,0.2%,0.1%,16.7%,20.0%,0.0%,0.0%,0.0%,0.0%,50.0%,40.0%,100.0%
midland funding llc,6,0,6,1.0%,0.0%,2.3%,831,0,831,0.1%,0.0%,0.1%,0.0%,0%,0.0%,0.0%,0%,0.0%,33.3%,0%,33.3%
crane credit union,5,2,3,0.9%,0.6%,1.1%,18511,5333,13178,1.5%,1.4%,1.6%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,80.0%,50.0%,100.0%
absolute resolutions investments llc,5,2,3,0.9%,0.6%,1.1%,9663,1153,8510,0.8%,0.3%,1.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,80.0%,50.0%,100.0%
unifund ccr llc,5,1,4,0.9%,0.3%,1.5%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,40.0%,0.0%,50.0%
the morris plan company of terre haute inc,5,3,2,0.9%,0.9%,0.8%,33396,13619,19777,2.8%,3.5%,2.4%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,80.0%,66.7%,100.0%
gateway financial solutions,5,5,0,0.9%,1.6%,0.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%,0.0%,0%
credit acceptance corp.,4,2,2,0.7%,0.6%,0.8%,9701,0,9701,0.8%,0.0%,1.2%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,50.0%,0.0%,100.0%
sac finance inc,4,1,3,0.7%,0.3%,1.1%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,25.0%,0.0%,33.3%
velocity investments llc,4,4,0,0.7%,1.3%,0.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,25.0%,25.0%,0%
service financial company,3,0,3,0.5%,0.0%,1.1%,13180,0,13180,1.1%,0.0%,1.6%,0.0%,0%,0.0%,0.0%,0%,0.0%,66.7%,0%,66.7%
creditmax inc,3,1,2,0.5%,0.3%,0.8%,18868,9310,9558,1.6%,2.4%,1.2%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%
world finance company of indiana llc,3,3,0,0.5%,0.9%,0.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%,0.0%,0%
autovest l.l.c of indiana,3,3,0,0.5%,0.9%,0.0%,7719,7719,0,0.6%,2.0%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,33.3%,33.3%,0%
no plaintiff found,2,0,2,0.3%,0.0%,0.8%,3569,0,3569,0.3%,0.0%,0.4%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
synchrony bank,2,1,1,0.3%,0.3%,0.4%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,50.0%,0.0%,100.0%
professional financial services,2,1,1,0.3%,0.3%,0.4%,8968,0,8968,0.7%,0.0%,1.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,50.0%,0.0%,100.0%
cavalry spv i llc as assignee of citibank na,2,1,1,0.3%,0.3%,0.4%,6032,0,6032,0.5%,0.0%,0.7%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,50.0%,0.0%,100.0%
cavalry spv illc,2,1,1,0.3%,0.3%,0.4%,708,0,708,0.1%,0.0%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%
second round sub llc,2,1,1,0.3%,0.3%,0.4%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,50.0%,0.0%,100.0%
pca acquisitions v llc,2,2,0,0.3%,0.6%,0.0%,5847,5847,0,0.5%,1.5%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,50.0%,50.0%,0%
midland credit managementinc,2,2,0,0.3%,0.6%,0.0%,5089,5089,0,0.4%,1.3%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,50.0%,50.0%,0%
american express national bank,2,2,0,0.3%,0.6%,0.0%,2694,2694,0,0.2%,0.7%,0.0%,50.0%,50.0%,0%,0.0%,0.0%,0%,50.0%,50.0%,0%
jh met subsidiary b liquidating trust,2,2,0,0.3%,0.6%,0.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%,0.0%,0%
capital one na,2,2,0,0.3%,0.6%,0.0%,3937,3937,0,0.3%,1.0%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,100.0%,100.0%,0%
first national bank of omaha,2,2,0,0.3%,0.6%,0.0%,6299,6299,0,0.5%,1.6%,0.0%,50.0%,50.0%,0%,0.0%,0.0%,0%,100.0%,100.0%,0%
credit acceptance corporation,2,2,0,0.3%,0.6%,0.0%,10183,10183,0,0.8%,2.6%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,100.0%,100.0%,0%
fifth third bank,1,0,1,0.2%,0.0%,0.4%,7537,0,7537,0.6%,0.0%,0.9%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
barclays bank delaware,1,0,1,0.2%,0.0%,0.4%,0,0,0,0.0%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%
onemain financial group llc sbm to onemain financial of indiana inc,1,0,1,0.2%,0.0%,0.4%,3097,0,3097,0.3%,0.0%,0.4%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
teachers credit union,1,0,1,0.2%,0.0%,0.4%,0,0,0,0.0%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
andrews auto sales inc,1,0,1,0.2%,0.0%,0.4%,0,0,0,0.0%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
credit acceptance corp,1,0,1,0.2%,0.0%,0.4%,11345,0,11345,0.9%,0.0%,1.4%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
maley & wertz inc,1,0,1,0.2%,0.0%,0.4%,0,0,0,0.0%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
the waters of huntingburg llc,1,0,1,0.2%,0.0%,0.4%,6080,0,6080,0.5%,0.0%,0.7%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
avid acceptance llc,1,0,1,0.2%,0.0%,0.4%,0,0,0,0.0%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
farm bureau bank,1,0,1,0.2%,0.0%,0.4%,10015,0,10015,0.8%,0.0%,1.2%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
intermex wire transfer llc,1,0,1,0.2%,0.0%,0.4%,0,0,0,0.0%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
williams bros health care pharmacy inc,1,0,1,0.2%,0.0%,0.4%,0,0,0,0.0%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%
lengacher development llc,1,0,1,0.2%,0.0%,0.4%,0,0,0,0.0%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%
d-patrick inc,1,0,1,0.2%,0.0%,0.4%,1998,0,1998,0.2%,0.0%,0.2%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
carney jasper llc,1,0,1,0.2%,0.0%,0.4%,0,0,0,0.0%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
medical & professional collection services inc,1,0,1,0.2%,0.0%,0.4%,0,0,0,0.0%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%
grinnell select insurance company,1,0,1,0.2%,0.0%,0.4%,12245,0,12245,1.0%,0.0%,1.5%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
onemain financial group llc successor by merger to onemain financial of in inc,1,0,1,0.2%,0.0%,0.4%,10994,0,10994,0.9%,0.0%,1.3%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
manistee acquisitions llc,1,0,1,0.2%,0.0%,0.4%,866,0,866,0.1%,0.0%,0.1%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
second round lp,1,0,1,0.2%,0.0%,0.4%,2305,0,2305,0.2%,0.0%,0.3%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
cathedral healthcare center,1,0,1,0.2%,0.0%,0.4%,22252,0,22252,1.8%,0.0%,2.7%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
velocity investments llc assignee of lendingclub corporation assignee of webban,1,0,1,0.2%,0.0%,0.4%,0,0,0,0.0%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
coronado student loan trust,1,0,1,0.2%,0.0%,0.4%,42930,0,42930,3.5%,0.0%,5.2%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
david and angela rahman rentals,1,0,1,0.2%,0.0%,0.4%,0,0,0,0.0%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%
cvi sgp acquisition trust,1,0,1,0.2%,0.0%,0.4%,0,0,0,0.0%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%
unify financial credit union f.k.a western federal credit union,1,0,1,0.2%,0.0%,0.4%,0,0,0,0.0%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%
truist bank,1,0,1,0.2%,0.0%,0.4%,22334,0,22334,1.8%,0.0%,2.7%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
first portfolio ventures i llc,1,0,1,0.2%,0.0%,0.4%,0,0,0,0.0%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
navy federal credit union,1,0,1,0.2%,0.0%,0.4%,0,0,0,0.0%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%
evansville teachers federal credit union,1,1,0,0.2%,0.3%,0.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%,0.0%,0%
jhpde finance i llc,1,1,0,0.2%,0.3%,0.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%,0.0%,0%
td bank usa na as successor in interest to target national bank,1,1,0,0.2%,0.3%,0.0%,0,0,0,0.0%,0.0%,0.0%,100.0%,100.0%,0%,0.0%,0.0%,0%,0.0%,0.0%,0%
american express national bank fka aecb,1,1,0,0.2%,0.3%,0.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%,0.0%,0%
autovest llc of indiana of indiana,1,1,0,0.2%,0.3%,0.0%,7579,7579,0,0.6%,2.0%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,100.0%,100.0%,0%
westlake services llc dba westlake financial services,1,1,0,0.2%,0.3%,0.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%,0.0%,0%
ford motor credit company llc,1,1,0,0.2%,0.3%,0.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%,0.0%,0%
dnf associate llc,1,1,0,0.2%,0.3%,0.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%,0.0%,0%
dnf asssociates llc,1,1,0,0.2%,0.3%,0.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,100.0%,100.0%,0%
heritage acceptance corporation,1,1,0,0.2%,0.3%,0.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%,0.0%,0%
velocity investments llc as assignee of avant inc assignee of webbank,1,1,0,0.2%,0.3%,0.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%,0.0%,0%
diamond valley federal credit union,1,1,0,0.2%,0.3%,0.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%,0.0%,0%
accelerated inventory management llc,1,1,0,0.2%,0.3%,0.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%,0.0%,0%
