collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
MIDLAND CREDIT MANAGEMENT INC,35,7,28,15.2%,20.6%,14.2%,0,0,0,0.0%,0.0%,0.0%,2.9%,0.0%,3.6%,68.6%,71.4%,67.9%,91.4%,85.7%,92.9%
LVNV FUNDING,29,8,21,12.6%,23.5%,10.7%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,58.6%,62.5%,57.1%,96.6%,100.0%,95.2%
PORTFOLIO RECOVERY ASSOCIATES LLC,24,1,23,10.4%,2.9%,11.7%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,45.8%,100.0%,43.5%,95.8%,100.0%,95.7%
CAVALRY SPV I LLC,14,4,10,6.1%,11.8%,5.1%,0,0,0,0.0%,0.0%,0.0%,21.4%,25.0%,20.0%,57.1%,50.0%,60.0%,92.9%,75.0%,100.0%
LVNV FUNDING LLC,14,0,14,6.1%,0.0%,7.1%,0,0,0,0.0%,0.0%,0.0%,14.3%,0.0%,14.3%,50.0%,0.0%,50.0%,85.7%,0.0%,85.7%
JEFFERSON CAPITAL SYSTEMS LLC,13,3,10,5.6%,8.8%,5.1%,0,0,0,0.0%,0.0%,0.0%,7.7%,0.0%,10.0%,46.2%,33.3%,50.0%,84.6%,100.0%,80.0%
PORTFOLIO RECOVERY,9,0,9,3.9%,0.0%,4.6%,0,0,0,0.0%,0.0%,0.0%,22.2%,0.0%,22.2%,44.4%,0.0%,44.4%,100.0%,0.0%,100.0%
MIDLAND FUNDING LLC,7,0,7,3.0%,0.0%,3.6%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,57.1%,0.0%,57.1%,100.0%,0.0%,100.0%
BANK OF AMERICA NA,7,0,7,3.0%,0.0%,3.6%,0,0,0,0.0%,0.0%,0.0%,14.3%,0.0%,14.3%,57.1%,0.0%,57.1%,100.0%,0.0%,100.0%
MIDLAND CREDIT MANAGEMENT INC - ST LOUIS,7,1,6,3.0%,2.9%,3.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,57.1%,100.0%,50.0%,100.0%,100.0%,100.0%
MADISON MEDICAL CENTER,6,0,6,2.6%,0.0%,3.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,33.3%,0.0%,33.3%,100.0%,0.0%,100.0%
ABSOLUTE RESOLUTIONS INVESTMENTS LLC,6,1,5,2.6%,2.9%,2.5%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,66.7%,100.0%,60.0%,100.0%,100.0%,100.0%
JP MORGAN CHASE BANK NA - CHICAGO,6,3,3,2.6%,8.8%,1.5%,0,0,0,0.0%,0.0%,0.0%,33.3%,33.3%,33.3%,33.3%,0.0%,66.7%,100.0%,100.0%,100.0%
CAPITAL ONE BANK (USA) NA,4,0,4,1.7%,0.0%,2.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
LVNV FUNDING GREENVILLE SC SUITE 500,4,0,4,1.7%,0.0%,2.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,50.0%,0.0%,50.0%,100.0%,0.0%,100.0%
JP MORGAN CHASE BANK NA,4,3,1,1.7%,8.8%,0.5%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,75.0%,100.0%,0.0%,100.0%,100.0%,100.0%
WAKEFIELD & ASSOCIATES INC,3,0,3,1.3%,0.0%,1.5%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,66.7%,0.0%,66.7%,100.0%,0.0%,100.0%
CITIBANK NA,3,0,3,1.3%,0.0%,1.5%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,66.7%,0.0%,66.7%,100.0%,0.0%,100.0%
WASHINGTON UNIVERSITY PHYSICIANS NETWORK,2,0,2,0.9%,0.0%,1.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,50.0%,0.0%,50.0%
SAINT LOUIS UNIVERSITY,2,0,2,0.9%,0.0%,1.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,50.0%,0.0%,50.0%,100.0%,0.0%,100.0%
ONEMAIN FINANCIAL GROUP LLC,2,1,1,0.9%,2.9%,0.5%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,50.0%,0.0%,100.0%
CROWN ASSET MANAGEMENT LLC,2,0,2,0.9%,0.0%,1.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%
HARRIS & HARRIS,2,0,2,0.9%,0.0%,1.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%
SIMMONS BANK,1,0,1,0.4%,0.0%,0.5%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%
SOUTH COUNTY ANESTHESIA ASSOC,1,0,1,0.4%,0.0%,0.5%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%
MIDWEST ACCEPTANCE CORP,1,0,1,0.4%,0.0%,0.5%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%
BARCLAYS BANK DELAWARE,1,0,1,0.4%,0.0%,0.5%,0,0,0,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
UHG I LLC,1,0,1,0.4%,0.0%,0.5%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
CAVALRY SPV I LLC ASSIGNEE OF HSBC BANK NEVADA N. A.,1,0,1,0.4%,0.0%,0.5%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
DOCKINS BROADCAST GROUP LLC,1,0,1,0.4%,0.0%,0.5%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
UNICO BANK,1,0,1,0.4%,0.0%,0.5%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%
POPLAR BLUFF REGIONAL MEDICAL CENTER,1,0,1,0.4%,0.0%,0.5%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%
SECURITY CREDIT SERVICE LLC,1,0,1,0.4%,0.0%,0.5%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%
STE. GENEVIEVE COUNTY MEMORIAL HOSPITAL,1,0,1,0.4%,0.0%,0.5%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
ORTHOPEDIC ASSOCIATES LLC,1,0,1,0.4%,0.0%,0.5%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%
