collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
lvnv funding llc,50,20,30,20.0%,42.6%,14.8%,0,0,0,0%,0%,0%,2.0%,5.0%,0.0%,28.0%,10.0%,40.0%,82.0%,60.0%,96.7%
portfolio recovery associates llc,29,5,24,11.6%,10.6%,11.8%,0,0,0,0%,0%,0%,17.2%,60.0%,8.3%,17.2%,0.0%,20.8%,96.6%,80.0%,100.0%
midland credit management inc,25,9,16,10.0%,19.1%,7.9%,0,0,0,0%,0%,0%,8.0%,11.1%,6.3%,20.0%,0.0%,31.3%,84.0%,77.8%,87.5%
jefferson capital systems llc,18,2,16,7.2%,4.3%,7.9%,0,0,0,0%,0%,0%,5.6%,0.0%,6.3%,33.3%,50.0%,31.3%,94.4%,100.0%,93.8%
midland credit management inc - 974 73rd st w des moines ia,18,0,18,7.2%,0.0%,8.9%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,22.2%,0%,22.2%,100.0%,0%,100.0%
midland funding llc,16,0,16,6.4%,0.0%,7.9%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,43.8%,0%,43.8%,100.0%,0%,100.0%
cavalry spv i llc,15,1,14,6.0%,2.1%,6.9%,0,0,0,0%,0%,0%,6.7%,0.0%,7.1%,60.0%,0.0%,64.3%,100.0%,100.0%,100.0%
citibank na,11,2,9,4.4%,4.3%,4.4%,0,0,0,0%,0%,0%,18.2%,0.0%,22.2%,18.2%,0.0%,22.2%,100.0%,100.0%,100.0%
wakefield & associates inc,5,0,5,2.0%,0.0%,2.5%,0,0,0,0%,0%,0%,20.0%,0%,20.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
freeman health system,5,0,5,2.0%,0.0%,2.5%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,40.0%,0%,40.0%,80.0%,0%,80.0%
northwest arkansas hospitals llc,3,0,3,1.2%,0.0%,1.5%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
mm finance llc dba ez money check cashing,3,2,1,1.2%,4.3%,0.5%,0,0,0,0%,0%,0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%
credit corp solutions inc,3,1,2,1.2%,2.1%,1.0%,0,0,0,0%,0%,0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
jp morgan chase bank na,3,1,2,1.2%,2.1%,1.0%,0,0,0,0%,0%,0%,66.7%,100.0%,50.0%,0.0%,0.0%,0.0%,33.3%,100.0%,0.0%
velocity investments llc,2,0,2,0.8%,0.0%,1.0%,0,0,0,0%,0%,0%,50.0%,0%,50.0%,50.0%,0%,50.0%,100.0%,0%,100.0%
absolute resolutions investments llc,2,0,2,0.8%,0.0%,1.0%,0,0,0,0%,0%,0%,50.0%,0%,50.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
onemain financial group llc,2,1,1,0.8%,2.1%,0.5%,0,0,0,0%,0%,0%,0.0%,0.0%,0.0%,50.0%,100.0%,0.0%,100.0%,100.0%,100.0%
bank of america na,2,0,2,0.8%,0.0%,1.0%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
pedano o'shea mcgavic & hogenmiller llc,1,0,1,0.4%,0.0%,0.5%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,100.0%,0%,100.0%,100.0%,0%,100.0%
roberts & roberts llc,1,0,1,0.4%,0.0%,0.5%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,100.0%,0%,100.0%,100.0%,0%,100.0%
douglas haun & heidemann pc,1,0,1,0.4%,0.0%,0.5%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,100.0%,0%,100.0%,100.0%,0%,100.0%
lester e cox medical centers,1,0,1,0.4%,0.0%,0.5%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,100.0%,0%,100.0%,100.0%,0%,100.0%
lvnv funding - chicago il,1,0,1,0.4%,0.0%,0.5%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,100.0%,0%,100.0%,100.0%,0%,100.0%
cash link usa - kcmo,1,0,1,0.4%,0.0%,0.5%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
msw capital llc,1,0,1,0.4%,0.0%,0.5%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
nautilus insurance company,1,0,1,0.4%,0.0%,0.5%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
service 1 federal credit union,1,0,1,0.4%,0.0%,0.5%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
cavalry spv i llc petitioner,1,0,1,0.4%,0.0%,0.5%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
dnf associates llc,1,0,1,0.4%,0.0%,0.5%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
lacoba homes inc,1,0,1,0.4%,0.0%,0.5%,0,0,0,0%,0%,0%,100.0%,0%,100.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
midland funding llc - w des moines ia,1,0,1,0.4%,0.0%,0.5%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,100.0%,0%,100.0%,100.0%,0%,100.0%
capital one bank usa na,1,0,1,0.4%,0.0%,0.5%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
consumer adjustment company inc,1,0,1,0.4%,0.0%,0.5%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
stonebridge property owners assoc inc,1,0,1,0.4%,0.0%,0.5%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
