collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
MIDWESTERN HEALTH MANAGEMENT INC,71,6,65,0.25,0.14,0.27,0,0,0,0.0,0.0,0.0,0.014,0.0,0.015,0.46,0.33,0.48,0.99,0.83,1.0
WAKEFIELD & ASSOCIATES INC,38,3,35,0.14,0.068,0.15,0,0,0,0.0,0.0,0.0,0.079,0.33,0.057,0.32,0.33,0.31,0.95,0.67,0.97
LVNV FUNDING LLC,29,5,24,0.10,0.11,0.10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.20,0.46,0.93,0.80,0.96
MIDLAND CREDIT MANAGEMENT INC,23,4,19,0.082,0.091,0.080,0,0,0,0.0,0.0,0.0,0.043,0.0,0.053,0.30,0.0,0.37,0.91,1.0,0.89
PORTFOLIO RECOVERY ASSOCIATES LLC,18,2,16,0.064,0.045,0.068,0,0,0,0.0,0.0,0.0,0.056,0.0,0.063,0.28,0.0,0.31,0.94,1.0,0.94
MIDLAND FUNDING LLC,12,0,12,0.043,0.0,0.051,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.92,0.0,0.92
CITIBANK NA,8,4,4,0.028,0.091,0.017,0,0,0,0.0,0.0,0.0,0.13,0.25,0.0,0.25,0.50,0.0,0.88,0.75,1.0
CAVALRY SPV I LLC,7,0,7,0.025,0.0,0.030,0,0,0,0.0,0.0,0.0,0.29,0.0,0.29,0.14,0.0,0.14,1.0,0.0,1.0
MM FINANCE LLC,6,1,5,0.021,0.023,0.021,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.50,0.0,0.60,1.0,1.0,1.0
BANK OF AMERICA NA,6,1,5,0.021,0.023,0.021,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.40,1.0,1.0,1.0
PORTFOLIO RECOVERY,5,0,5,0.018,0.0,0.021,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.80,0.0,0.80,1.0,0.0,1.0
TD BANK USA NA,4,2,2,0.014,0.045,0.0084,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.50,1.0
CLEAR RECOVERY INC,4,2,2,0.014,0.045,0.0084,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.50,0.50,0.50,1.0,1.0,1.0
WAKEFIELD &ASSOCIATE INC,3,0,3,0.011,0.0,0.013,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.67,1.0,0.0,1.0
CASH LINK USA LLC,3,1,2,0.011,0.023,0.0084,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
JEFFERSON CAPITAL SYSTEMS LLC,3,0,3,0.011,0.0,0.013,0,0,0,0.0,0.0,0.0,0.33,0.0,0.33,0.33,0.0,0.33,1.0,0.0,1.0
CAPITAL ONE BANK (USA) NA,3,0,3,0.011,0.0,0.013,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.33
ONEMAIN FINANCIAL GROUP LLC,2,0,2,0.0071,0.0,0.0084,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.50,0.0,0.50,1.0,0.0,1.0
BARCLAYS BANK DELAWARE,2,0,2,0.0071,0.0,0.0084,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
MERCURY SURGERY CENTER LLC,2,0,2,0.0071,0.0,0.0084,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
