collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
lvnv funding llc,812,361,451,28.9%,42.7%,22.9%,85857,1467,84390,20.0%,10.7%,20.3%,0.1%,0.3%,0.0%,69.3%,64.0%,73.6%,89.3%,83.1%,94.2%
portfolio recovery associates llc,507,52,455,18.0%,6.2%,23.1%,116725,0,116725,27.2%,0.0%,28.1%,0.2%,0.0%,0.2%,73.0%,46.2%,76.0%,94.5%,73.1%,96.9%
midland funding llc,351,5,346,12.5%,0.6%,17.6%,51711,0,51711,12.0%,0.0%,12.4%,0.0%,0.0%,0.0%,82.9%,80.0%,82.9%,98.6%,100.0%,98.6%
midland credit management inc,243,167,76,8.6%,19.8%,3.9%,19459,0,19459,4.5%,0.0%,4.7%,0.0%,0.0%,0.0%,68.7%,61.1%,85.5%,86.0%,79.6%,100.0%
cavalry spv i llc,242,55,187,8.6%,6.5%,9.5%,58842,0,58842,13.7%,0.0%,14.1%,0.0%,0.0%,0.0%,73.6%,74.5%,73.3%,97.1%,92.7%,98.4%
jefferson capital systems llc,198,47,151,7.0%,5.6%,7.7%,28854,0,28854,6.7%,0.0%,6.9%,0.0%,0.0%,0.0%,70.2%,42.6%,78.8%,91.9%,74.5%,97.4%
unifund corporation,45,4,41,1.6%,0.5%,2.1%,29447,0,29447,6.9%,0.0%,7.1%,0.0%,0.0%,0.0%,71.1%,100.0%,68.3%,97.8%,100.0%,97.6%
crown asset management llc,42,38,4,1.5%,4.5%,0.2%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,59.5%,57.9%,75.0%,81.0%,78.9%,100.0%
credit management corporation,29,8,21,1.0%,0.9%,1.1%,720,0,720,0.2%,0.0%,0.2%,0.0%,0.0%,0.0%,72.4%,87.5%,66.7%,96.6%,87.5%,100.0%
second round sub llc assignee of comenity bank,24,0,24,0.9%,0.0%,1.2%,3434,0,3434,0.8%,0.0%,0.8%,4.2%,0%,4.2%,66.7%,0%,66.7%,87.5%,0%,87.5%
second round sub llc assignee of comenity capital bank,21,0,21,0.7%,0.0%,1.1%,1182,0,1182,0.3%,0.0%,0.3%,0.0%,0%,0.0%,76.2%,0%,76.2%,90.5%,0%,90.5%
unifund corp.,20,3,17,0.7%,0.4%,0.9%,824,0,824,0.2%,0.0%,0.2%,0.0%,0.0%,0.0%,85.0%,66.7%,88.2%,100.0%,100.0%,100.0%
second round sub llc,18,13,5,0.6%,1.5%,0.3%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,83.3%,76.9%,100.0%,88.9%,84.6%,100.0%
