collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
professional & business collections llc,75,37,38,11.2%,11.0%,11.5%,526932,119555,407378,27.0%,17.8%,31.8%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,60.0%,35.1%,84.2%
midland credit management inc,66,42,24,9.9%,12.5%,7.3%,42820,25713,17108,2.2%,3.8%,1.3%,1.5%,2.4%,0.0%,0.0%,0.0%,0.0%,33.3%,19.0%,58.3%
lvnv funding llc,57,36,21,8.5%,10.7%,6.3%,21964,12143,9821,1.1%,1.8%,0.8%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,28.1%,25.0%,33.3%
portfolio recovery associates llc,38,9,29,5.7%,2.7%,8.8%,42613,5829,36784,2.2%,0.9%,2.9%,2.6%,0.0%,3.4%,0.0%,0.0%,0.0%,71.1%,33.3%,82.8%
discover bank,38,29,9,5.7%,8.6%,2.7%,109218,64151,45068,5.6%,9.6%,3.5%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,44.7%,31.0%,88.9%
capital one bank (usa) na,34,28,6,5.1%,8.3%,1.8%,57938,43896,14042,3.0%,6.5%,1.1%,2.9%,0.0%,16.7%,0.0%,0.0%,0.0%,61.8%,60.7%,66.7%
jefferson capital systems llc,30,9,21,4.5%,2.7%,6.3%,77089,34779,42310,3.9%,5.2%,3.3%,16.7%,11.1%,19.0%,0.0%,0.0%,0.0%,66.7%,55.6%,71.4%
onemain financial group llc,21,9,12,3.1%,2.7%,3.6%,127132,41807,85325,6.5%,6.2%,6.7%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,81.0%,55.6%,100.0%
crown asset management llc,19,4,15,2.8%,1.2%,4.5%,37707,1928,35779,1.9%,0.3%,2.8%,10.5%,0.0%,13.3%,0.0%,0.0%,0.0%,78.9%,25.0%,93.3%
citibank na,16,7,9,2.4%,2.1%,2.7%,75181,35405,39776,3.8%,5.3%,3.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,87.5%,85.7%,88.9%
mariner finance llc successor in interest to personal finance company llc,16,6,10,2.4%,1.8%,3.0%,45793,13217,32575,2.3%,2.0%,2.5%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,75.0%,66.7%,80.0%
cavalry spv i llc,12,5,7,1.8%,1.5%,2.1%,22804,3229,19574,1.2%,0.5%,1.5%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,66.7%,20.0%,100.0%
the morris plan company of terre haute inc,11,2,9,1.6%,0.6%,2.7%,50255,0,50255,2.6%,0.0%,3.9%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,63.6%,0.0%,77.8%
unifund ccr llc,9,1,8,1.3%,0.3%,2.4%,10478,2677,7801,0.5%,0.4%,0.6%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,55.6%,100.0%,50.0%
second round sub llc,8,0,8,1.2%,0.0%,2.4%,5254,0,5254,0.3%,0.0%,0.4%,0.0%,0%,0.0%,0.0%,0%,0.0%,87.5%,0%,87.5%
evansville teachers federal credit union,8,1,7,1.2%,0.3%,2.1%,41936,11436,30500,2.1%,1.7%,2.4%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,87.5%,100.0%,85.7%
mariner finance llc,7,0,7,1.0%,0.0%,2.1%,28000,0,28000,1.4%,0.0%,2.2%,14.3%,0%,14.3%,0.0%,0%,0.0%,100.0%,0%,100.0%
synchrony bank,7,7,0,1.0%,2.1%,0.0%,11509,11509,0,0.6%,1.7%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,42.9%,42.9%,0%
midland funding llc,6,1,5,0.9%,0.3%,1.5%,6639,0,6639,0.3%,0.0%,0.5%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,66.7%,0.0%,80.0%
professional & business collections,6,1,5,0.9%,0.3%,1.5%,30276,0,30276,1.6%,0.0%,2.4%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,83.3%,0.0%,100.0%
creditmax inc,6,4,2,0.9%,1.2%,0.6%,44998,25868,19130,2.3%,3.9%,1.5%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%
bank of america na,6,2,4,0.9%,0.6%,1.2%,55147,2,55145,2.8%,0.0%,4.3%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,66.7%,50.0%,75.0%
hoosier accounts service,6,6,0,0.9%,1.8%,0.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%,0.0%,0%
first financial bank na,5,2,3,0.7%,0.6%,0.9%,7453,3707,3746,0.4%,0.6%,0.3%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,60.0%,50.0%,66.7%
sac finance inc,5,3,2,0.7%,0.9%,0.6%,15823,0,15823,0.8%,0.0%,1.2%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,40.0%,0.0%,100.0%
american express national bank,5,5,0,0.7%,1.5%,0.0%,27074,27074,0,1.4%,4.0%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,80.0%,80.0%,0%
world finance company of indiana llc,5,5,0,0.7%,1.5%,0.0%,1589,1589,0,0.1%,0.2%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,40.0%,40.0%,0%
cavalry spv i llc as assignee of citibank na,4,1,3,0.6%,0.3%,0.9%,18075,4081,13995,0.9%,0.6%,1.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%
credit acceptance corp.,4,2,2,0.6%,0.6%,0.6%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,50.0%,0.0%,100.0%
professional financial services,4,1,3,0.6%,0.3%,0.9%,7629,0,7629,0.4%,0.0%,0.6%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,50.0%,0.0%,66.7%
midland credit managementinc,4,0,4,0.6%,0.0%,1.2%,4077,0,4077,0.2%,0.0%,0.3%,0.0%,0%,0.0%,0.0%,0%,0.0%,25.0%,0%,25.0%
velocity investments llc,4,3,1,0.6%,0.9%,0.3%,11720,0,11720,0.6%,0.0%,0.9%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,50.0%,33.3%,100.0%
td bank usa na,4,4,0,0.6%,1.2%,0.0%,9080,9080,0,0.5%,1.4%,0.0%,25.0%,25.0%,0%,0.0%,0.0%,0%,25.0%,25.0%,0%
orthopaedic associates inc,3,2,1,0.4%,0.6%,0.3%,9130,9130,0,0.5%,1.4%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,66.7%,50.0%,100.0%
credit acceptance corporation,3,2,1,0.4%,0.6%,0.3%,13366,13366,0,0.7%,2.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,66.7%,100.0%,0.0%
heritage acceptance corporation,3,1,2,0.4%,0.3%,0.6%,12059,0,12059,0.6%,0.0%,0.9%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,66.7%,0.0%,100.0%
diamond valley federal credit union,3,0,3,0.4%,0.0%,0.9%,1764,0,1764,0.1%,0.0%,0.1%,0.0%,0%,0.0%,0.0%,0%,0.0%,66.7%,0%,66.7%
credit corp solutions inc,3,1,2,0.4%,0.3%,0.6%,12725,11439,1286,0.7%,1.7%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,66.7%,100.0%,50.0%
creditone llc,3,2,1,0.4%,0.6%,0.3%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
america's car-mart inc,3,3,0,0.4%,0.9%,0.0%,7744,7744,0,0.4%,1.2%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,33.3%,33.3%,0%
capital one na,3,3,0,0.4%,0.9%,0.0%,11068,11068,0,0.6%,1.7%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,66.7%,66.7%,0%
credit acceptance corporation.,2,1,1,0.3%,0.3%,0.3%,7412,7412,0,0.4%,1.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,50.0%,100.0%,0.0%
forum credit union,2,0,2,0.3%,0.0%,0.6%,18089,0,18089,0.9%,0.0%,1.4%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
regional acceptance corp,2,0,2,0.3%,0.0%,0.6%,5428,0,5428,0.3%,0.0%,0.4%,0.0%,0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%
andrews auto sales inc,2,0,2,0.3%,0.0%,0.6%,14891,0,14891,0.8%,0.0%,1.2%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
absolute resolutions investments llc,2,0,2,0.3%,0.0%,0.6%,5225,0,5225,0.3%,0.0%,0.4%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
prestige financial services,2,0,2,0.3%,0.0%,0.6%,12357,0,12357,0.6%,0.0%,1.0%,0.0%,0%,0.0%,0.0%,0%,0.0%,50.0%,0%,50.0%
galaxy international purchasing llc,2,0,2,0.3%,0.0%,0.6%,5867,0,5867,0.3%,0.0%,0.5%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
first portfolio ventures i llc,2,1,1,0.3%,0.3%,0.3%,2529,0,2529,0.1%,0.0%,0.2%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,50.0%,0.0%,100.0%
medical & professional collection services inc,2,1,1,0.3%,0.3%,0.3%,18107,18107,0,0.9%,2.7%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%
dunlap & nesmith llc,2,2,0,0.3%,0.6%,0.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%,0.0%,0%
new world collections inc,2,2,0,0.3%,0.6%,0.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,50.0%,50.0%,0%
the brooke jewelry shoppes llc,2,2,0,0.3%,0.6%,0.0%,18453,18453,0,0.9%,2.8%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,100.0%,100.0%,0%
cks prime investments llc,2,2,0,0.3%,0.6%,0.0%,0,0,0,0.0%,0.0%,0.0%,50.0%,50.0%,0%,0.0%,0.0%,0%,0.0%,0.0%,0%
first national bank of omaha,2,2,0,0.3%,0.6%,0.0%,6719,6719,0,0.3%,1.0%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,50.0%,50.0%,0%
gateway financial solutions,2,2,0,0.3%,0.6%,0.0%,16610,16610,0,0.9%,2.5%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,50.0%,50.0%,0%
farm bureau bank,2,2,0,0.3%,0.6%,0.0%,4456,4456,0,0.2%,0.7%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,50.0%,50.0%,0%
fifth third bank,2,2,0,0.3%,0.6%,0.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%,0.0%,0%
barclays bank delaware,1,0,1,0.1%,0.0%,0.3%,0,0,0,0.0%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
vanderbilt mortgage & finance inc,1,0,1,0.1%,0.0%,0.3%,0,0,0,0.0%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%
personal finance company llc,1,0,1,0.1%,0.0%,0.3%,0,0,0,0.0%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%
1st financial bank usa,1,0,1,0.1%,0.0%,0.3%,0,0,0,0.0%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%
city of hobart,1,0,1,0.1%,0.0%,0.3%,0,0,0,0.0%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
rent to own rentals llc,1,0,1,0.1%,0.0%,0.3%,5135,0,5135,0.3%,0.0%,0.4%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
first financial bank n/a,1,0,1,0.1%,0.0%,0.3%,6830,0,6830,0.3%,0.0%,0.5%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
republic bank,1,0,1,0.1%,0.0%,0.3%,1456,0,1456,0.1%,0.0%,0.1%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
john deere financial f.s.b. f/k/a fpc financial f.s.b.,1,0,1,0.1%,0.0%,0.3%,0,0,0,0.0%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%
midwest carpenters & millwrights fcu,1,0,1,0.1%,0.0%,0.3%,4325,0,4325,0.2%,0.0%,0.3%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
the heart hospital at deaconess gateway,1,0,1,0.1%,0.0%,0.3%,7351,0,7351,0.4%,0.0%,0.6%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
pavilion lakes apartments,1,0,1,0.1%,0.0%,0.3%,0,0,0,0.0%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
oakland city university,1,0,1,0.1%,0.0%,0.3%,3865,0,3865,0.2%,0.0%,0.3%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
nutrien ag solutions inc f/k/a crop production services inc.,1,0,1,0.1%,0.0%,0.3%,0,0,0,0.0%,0.0%,0.0%,100.0%,0%,100.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
grassy sprain group inc,1,0,1,0.1%,0.0%,0.3%,74018,0,74018,3.8%,0.0%,5.8%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
truist financial corporation,1,0,1,0.1%,0.0%,0.3%,0,0,0,0.0%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
princeton place apartments llc dba vail estates apartments,1,0,1,0.1%,0.0%,0.3%,1409,0,1409,0.1%,0.0%,0.1%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
second round lp,1,0,1,0.1%,0.0%,0.3%,1750,0,1750,0.1%,0.0%,0.1%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
grinnell mutual reinsurance company,1,0,1,0.1%,0.0%,0.3%,7635,0,7635,0.4%,0.0%,0.6%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
cavalry spv i llc as assignee of synchrony bank,1,0,1,0.1%,0.0%,0.3%,1186,0,1186,0.1%,0.0%,0.1%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
john deere financial f.s.b.,1,0,1,0.1%,0.0%,0.3%,0,0,0,0.0%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%
cvi sgp acquisition trust,1,0,1,0.1%,0.0%,0.3%,0,0,0,0.0%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%
cavalry spv illc,1,0,1,0.1%,0.0%,0.3%,5178,0,5178,0.3%,0.0%,0.4%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
autovest llc of indiana,1,0,1,0.1%,0.0%,0.3%,0,0,0,0.0%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%
heights finance corporation,1,0,1,0.1%,0.0%,0.3%,5495,0,5495,0.3%,0.0%,0.4%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
no plaintiff found,1,0,1,0.1%,0.0%,0.3%,0,0,0,0.0%,0.0%,0.0%,100.0%,0%,100.0%,0.0%,0%,0.0%,0.0%,0%,0.0%
greene cary tyrone,1,0,1,0.1%,0.0%,0.3%,0,0,0,0.0%,0.0%,0.0%,100.0%,0%,100.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
j koberstein construction,1,0,1,0.1%,0.0%,0.3%,0,0,0,0.0%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
park community credit union,1,0,1,0.1%,0.0%,0.3%,0,0,0,0.0%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%
indiana bell telephone co. d/b/a at&t indiana,1,0,1,0.1%,0.0%,0.3%,0,0,0,0.0%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%
northwood university,1,0,1,0.1%,0.0%,0.3%,2018,0,2018,0.1%,0.0%,0.2%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
uhg i llc,1,0,1,0.1%,0.0%,0.3%,0,0,0,0.0%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
state of indiana ex rel. indiana dept. of workforce development,1,1,0,0.1%,0.3%,0.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%,0.0%,0%
american express national bank fka fsb,1,1,0,0.1%,0.3%,0.0%,6899,6899,0,0.4%,1.0%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,100.0%,100.0%,0%
morley and associates inc,1,1,0,0.1%,0.3%,0.0%,0,0,0,0.0%,0.0%,0.0%,100.0%,100.0%,0%,0.0%,0.0%,0%,0.0%,0.0%,0%
fifth third bank na,1,1,0,0.1%,0.3%,0.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,100.0%,100.0%,0%
bureaus investment group portfolio n. 15 llc,1,1,0,0.1%,0.3%,0.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%,0.0%,0%
ally bank,1,1,0,0.1%,0.3%,0.0%,17330,17330,0,0.9%,2.6%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,100.0%,100.0%,0%
jh met subsidiary b liquidating trust,1,1,0,0.1%,0.3%,0.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%,0.0%,0%
jefferson capital systemsllc,1,1,0,0.1%,0.3%,0.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%,0.0%,0%
bitco general insurance,1,1,0,0.1%,0.3%,0.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%,0.0%,0%
ncb management services inc,1,1,0,0.1%,0.3%,0.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%,0.0%,0%
highland hills apartments,1,1,0,0.1%,0.3%,0.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%,0.0%,0%
velocity investments llc assignee of lendingclub corporation assignee of webban,1,1,0,0.1%,0.3%,0.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%,0.0%,0%
american express national bank fka aecb,1,1,0,0.1%,0.3%,0.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%,0.0%,0%
teachers credit union,1,1,0,0.1%,0.3%,0.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%,0.0%,0%
onemain financial services inc,1,1,0,0.1%,0.3%,0.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%,0.0%,0%
snap-on credit llc,1,1,0,0.1%,0.3%,0.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%,0.0%,0%
united auto credit corpora,1,1,0,0.1%,0.3%,0.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%,0.0%,0%
professional financial services inc,1,1,0,0.1%,0.3%,0.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%,0.0%,0%
autovest l.l.c of indiana,1,1,0,0.1%,0.3%,0.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%,0.0%,0%
central bank & trust co.,1,1,0,0.1%,0.3%,0.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%,0.0%,0%
professional & business collectionsllc,1,1,0,0.1%,0.3%,0.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%,0.0%,0%
