collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
lvnv funding llc,59,7,52,21.7%,33.3%,20.7%,0,0,0,0%,0%,0%,5.1%,0.0%,5.8%,47.5%,28.6%,50.0%,100.0%,100.0%,100.0%
midland credit management inc,55,3,52,20.2%,14.3%,20.7%,0,0,0,0%,0%,0%,1.8%,0.0%,1.9%,30.9%,33.3%,30.8%,100.0%,100.0%,100.0%
portfolio recovery associates llc,30,0,30,11.0%,0.0%,12.0%,0,0,0,0%,0%,0%,6.7%,0%,6.7%,43.3%,0%,43.3%,100.0%,0%,100.0%
midland funding llc,21,3,18,7.7%,14.3%,7.2%,0,0,0,0%,0%,0%,4.8%,0.0%,5.6%,42.9%,33.3%,44.4%,100.0%,100.0%,100.0%
cavalry spv i llc,13,1,12,4.8%,4.8%,4.8%,0,0,0,0%,0%,0%,7.7%,0.0%,8.3%,30.8%,0.0%,33.3%,100.0%,100.0%,100.0%
citibank na,11,1,10,4.0%,4.8%,4.0%,0,0,0,0%,0%,0%,27.3%,100.0%,20.0%,9.1%,0.0%,10.0%,100.0%,100.0%,100.0%
portfolio recovery assocaites llc,9,1,8,3.3%,4.8%,3.2%,0,0,0,0%,0%,0%,0.0%,0.0%,0.0%,44.4%,0.0%,50.0%,100.0%,100.0%,100.0%
bank of america na,9,2,7,3.3%,9.5%,2.8%,0,0,0,0%,0%,0%,33.3%,0.0%,42.9%,22.2%,0.0%,28.6%,100.0%,100.0%,100.0%
jefferson capital systems llc,7,0,7,2.6%,0.0%,2.8%,0,0,0,0%,0%,0%,14.3%,0%,14.3%,28.6%,0%,28.6%,100.0%,0%,100.0%
capital one bank (usa) na,7,0,7,2.6%,0.0%,2.8%,0,0,0,0%,0%,0%,14.3%,0%,14.3%,42.9%,0%,42.9%,100.0%,0%,100.0%
portfolio recovery,5,0,5,1.8%,0.0%,2.0%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,60.0%,0%,60.0%,100.0%,0%,100.0%
absolute resolutions investments llc,4,0,4,1.5%,0.0%,1.6%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,25.0%,0%,25.0%,100.0%,0%,100.0%
meek lumber yard llc,3,0,3,1.1%,0.0%,1.2%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,66.7%,0%,66.7%,100.0%,0%,100.0%
farmers produce exchange of lebanon,3,0,3,1.1%,0.0%,1.2%,0,0,0,0%,0%,0%,33.3%,0%,33.3%,33.3%,0%,33.3%,100.0%,0%,100.0%
consumer adjustment co inc,3,0,3,1.1%,0.0%,1.2%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,66.7%,0%,66.7%,100.0%,0%,100.0%
jp morgan chase bank na,2,1,1,0.7%,4.8%,0.4%,0,0,0,0%,0%,0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%
barclays bank delaware,2,0,2,0.7%,0.0%,0.8%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
velocity investments llc,2,0,2,0.7%,0.0%,0.8%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
absolute resolutions investments ll,2,0,2,0.7%,0.0%,0.8%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
lester e cox medical centers,2,0,2,0.7%,0.0%,0.8%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
zick voss politte & richardson pc,1,0,1,0.4%,0.0%,0.4%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
baylard billington dempsey & jensen pc,1,0,1,0.4%,0.0%,0.4%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,100.0%,0%,100.0%,100.0%,0%,100.0%
osage ambulance district,1,0,1,0.4%,0.0%,0.4%,0,0,0,0%,0%,0%,100.0%,0%,100.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
cavalry spv illc,1,0,1,0.4%,0.0%,0.4%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
wakefield & associates inc,1,0,1,0.4%,0.0%,0.4%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
calvary investments llc,1,0,1,0.4%,0.0%,0.4%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
cach llc,1,0,1,0.4%,0.0%,0.4%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,100.0%,0%,100.0%,100.0%,0%,100.0%
student loan solutions llc,1,0,1,0.4%,0.0%,0.4%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
consumer adjust ment company inc assignee of washington uni,1,0,1,0.4%,0.0%,0.4%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,100.0%,0%,100.0%,100.0%,0%,100.0%
msw capital llc,1,0,1,0.4%,0.0%,0.4%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
capital region medical center,1,0,1,0.4%,0.0%,0.4%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,100.0%,0%,100.0%,100.0%,0%,100.0%
credit corp solutions,1,0,1,0.4%,0.0%,0.4%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,100.0%,0%,100.0%,100.0%,0%,100.0%
greenstate credit union fka,1,0,1,0.4%,0.0%,0.4%,0,0,0,0%,0%,0%,100.0%,0%,100.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
world finance corp,1,0,1,0.4%,0.0%,0.4%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
