collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
MIDWESTERN HEALTH MANAGEMENT INC,26,1,25,27.7%,5.3%,33.3%,0,0,0,0.0%,0.0%,0.0%,7.7%,0.0%,8.0%,26.9%,0.0%,28.0%,96.2%,100.0%,96.0%
HARRISON COUNTY COMMUNITY HOSPITAL,16,6,10,17.0%,31.6%,13.3%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,37.5%,16.7%,50.0%,68.8%,16.7%,100.0%
LVNV FUNDING LLC,10,3,7,10.6%,15.8%,9.3%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,50.0%,0.0%,71.4%,100.0%,100.0%,100.0%
MIDLAND CREDIT MANAGEMENT INC,10,3,7,10.6%,15.8%,9.3%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,10.0%,0.0%,14.3%,90.0%,66.7%,100.0%
PORTFOLIO RECOVERY ASSOCIATES LLC,5,0,5,5.3%,0.0%,6.7%,0,0,0,0.0%,0.0%,0.0%,20.0%,0.0%,20.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
CAPITAL ONE BANK (USA) NA,4,0,4,4.3%,0.0%,5.3%,0,0,0,0.0%,0.0%,0.0%,50.0%,0.0%,50.0%,25.0%,0.0%,25.0%,100.0%,0.0%,100.0%
BANK OF AMERICA NA,3,0,3,3.2%,0.0%,4.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,33.3%,0.0%,33.3%,100.0%,0.0%,100.0%
WAKEFIELD & ASSOCIATES INC,2,0,2,2.1%,0.0%,2.7%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
HCCH MED GROUP,2,2,0,2.1%,10.5%,0.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
PROFESSIONAL INSTALLERS INC,1,0,1,1.1%,0.0%,1.3%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%
MIDWESTERN HEALTH MANAGEMENT INC - NO ADD,1,0,1,1.1%,0.0%,1.3%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
CARROLL COUNTY MEMORIAL HOSPITAL,1,0,1,1.1%,0.0%,1.3%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
MIDLAND FUNDING LLC - 50265,1,0,1,1.1%,0.0%,1.3%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%
SALOME YS INC,1,0,1,1.1%,0.0%,1.3%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
CACH LLC,1,0,1,1.1%,0.0%,1.3%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%
CREEKWOOD ORTHODONTICS,1,0,1,1.1%,0.0%,1.3%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%
CREDIT CORP SOLUTIONS INC,1,0,1,1.1%,0.0%,1.3%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%
CITIBANK NA - MORGAN & ASSOC.,1,0,1,1.1%,0.0%,1.3%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%
CREDIT BUREAU OF COLUMBIA D/B/A AMS A/A/O GENERAL JOHN J PER PETITIONER,1,1,0,1.1%,5.3%,0.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,0.0%
SECOND ROUND SU B LLC,1,0,1,1.1%,0.0%,1.3%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
MIDLAND FUNDING LLC,1,0,1,1.1%,0.0%,1.3%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
CBC INC D/B/A ACCOUNTS MANAGEMENT SERVICE,1,0,1,1.1%,0.0%,1.3%,0,0,0,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
