collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
MIDLAND CREDIT MANAGEMENT INC,110,68,42,0.12,0.12,0.10,140576,63463,77113,0.049,0.053,0.047,0.055,0.059,0.048,0.0,0.0,0.0,0.65,0.47,0.95
LVNV FUNDING LLC,106,72,34,0.11,0.13,0.085,86309,47331,38978,0.030,0.039,0.024,0.21,0.22,0.18,0.0,0.0,0.0,0.67,0.53,0.97
PORTFOLIO RECOVERY ASSOCIATES LLC,89,45,44,0.094,0.082,0.11,141219,70796,70423,0.049,0.059,0.043,0.090,0.11,0.068,0.0,0.0,0.0,0.70,0.53,0.86
CAPITAL ONE BANK (USA) NA,58,46,12,0.061,0.084,0.030,105067,82936,22131,0.037,0.069,0.013,0.10,0.11,0.083,0.0,0.0,0.0,0.60,0.50,1.0
DISCOVER BANK,52,37,15,0.055,0.068,0.037,241026,116775,124250,0.084,0.097,0.075,0.19,0.19,0.20,0.0,0.0,0.0,0.62,0.46,1.0
JEFFERSON CAPITAL SYSTEMS LLC,41,17,24,0.043,0.031,0.060,66431,10433,55998,0.023,0.0087,0.034,0.22,0.35,0.13,0.0,0.0,0.0,0.73,0.47,0.92
CITIBANK NA,38,18,20,0.040,0.033,0.050,124100,53840,70261,0.043,0.045,0.043,0.21,0.17,0.25,0.0,0.0,0.0,0.84,0.67,1.0
DRIVE NOW AUTO CREDIT COMPANY INC,33,20,13,0.035,0.037,0.032,309360,164915,144446,0.11,0.14,0.088,0.24,0.40,0.0,0.0,0.0,0.0,0.94,0.90,1.0
CAVALRY SPV I LLC,29,16,13,0.031,0.029,0.032,44206,15324,28881,0.015,0.013,0.017,0.069,0.063,0.077,0.0,0.0,0.0,0.76,0.56,1.0
MARINER FINANCE LLC SUCCESSOR IN INTEREST TO PERSONAL FINANCE COMPANY LLC,29,12,17,0.031,0.022,0.042,88843,22318,66525,0.031,0.019,0.040,0.21,0.33,0.12,0.0,0.0,0.0,0.66,0.42,0.82
SAC FINANCE INC,29,12,17,0.031,0.022,0.042,241504,77772,163731,0.085,0.065,0.099,0.17,0.17,0.18,0.0,0.0,0.0,0.76,0.50,0.94
CROWN ASSET MANAGEMENT LLC,21,9,12,0.022,0.016,0.030,26502,4843,21659,0.0093,0.0040,0.013,0.19,0.33,0.083,0.0,0.0,0.0,0.71,0.33,1.0
ONEMAIN FINANCIAL GROUP LLC,18,9,9,0.019,0.016,0.022,116086,53943,62144,0.041,0.045,0.038,0.056,0.11,0.0,0.0,0.0,0.0,0.67,0.56,0.78
COMMUNITYWIDE FEDERAL CREDIT UNION,14,5,9,0.015,0.0091,0.022,90103,23682,66421,0.032,0.020,0.040,0.071,0.0,0.11,0.0,0.0,0.0,0.64,0.20,0.89
SYNCHRONY BANK,12,11,1,0.013,0.020,0.0025,13223,10899,2324,0.0046,0.0091,0.0014,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.36,1.0
MIDLAND FUNDING LLC,11,2,9,0.012,0.0037,0.022,22394,1963,20431,0.0078,0.0016,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.82,0.0,1.0
CAVALRY SPV I LLC AS ASSIGNEE OF CITIBANK NA,10,7,3,0.011,0.013,0.0075,9244,1450,7793,0.0032,0.0012,0.0047,0.20,0.14,0.33,0.0,0.0,0.0,0.40,0.14,1.0
CREDIT ACCEPTANCE CORP.,10,6,4,0.011,0.011,0.010,44884,11739,33145,0.016,0.0098,0.020,0.10,0.17,0.0,0.0,0.0,0.0,0.60,0.33,1.0
MARINER FINANCE LLC,8,6,2,0.0084,0.011,0.0050,14199,8229,5970,0.0050,0.0068,0.0036,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.17,1.0
TD BANK USA NA,8,8,0,0.0084,0.015,0.0,11004,11004,0,0.0039,0.0092,0.0,0.50,0.50,0.0,0.0,0.0,0.0,0.63,0.63,0.0
UNIFUND CCR LLC,6,2,4,0.0063,0.0037,0.010,18608,2007,16601,0.0065,0.0017,0.010,0.33,0.50,0.25,0.0,0.0,0.0,0.83,0.50,1.0
BANK OF AMERICA NA,6,3,3,0.0063,0.0055,0.0075,44100,26441,17659,0.015,0.022,0.011,0.17,0.33,0.0,0.0,0.0,0.0,0.83,1.0,0.67
CREDIT ACCEPTANCE CORPORATION,5,3,2,0.0053,0.0055,0.0050,12231,6223,6009,0.0043,0.0052,0.0036,0.0,0.0,0.0,0.0,0.0,0.0,0.60,0.33,1.0
NEW WORLD COLLECTIONS INC,5,1,4,0.0053,0.0018,0.010,11203,1234,9969,0.0039,0.0010,0.0060,0.20,0.0,0.25,0.0,0.0,0.0,0.80,1.0,0.75
CREDIT CORP SOLUTIONS INC,5,2,3,0.0053,0.0037,0.0075,16561,11749,4812,0.0058,0.0098,0.0029,0.60,1.0,0.33,0.0,0.0,0.0,1.0,1.0,1.0
SECOND ROUND SUB LLC,5,1,4,0.0053,0.0018,0.010,15176,4069,11107,0.0053,0.0034,0.0067,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
AMERICAN EXPRESS NATIONAL BANK,5,4,1,0.0053,0.0073,0.0025,17048,11605,5443,0.0060,0.0097,0.0033,0.0,0.0,0.0,0.0,0.0,0.0,0.60,0.50,1.0
ALLY BANK,4,3,1,0.0042,0.0055,0.0025,43936,12263,31672,0.015,0.010,0.019,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
ABSOLUTE RESOLUTIONS,4,1,3,0.0042,0.0018,0.0075,12388,0,12388,0.0043,0.0,0.0075,0.25,0.0,0.33,0.0,0.0,0.0,0.75,0.0,1.0
CAPITAL ONE NA,4,4,0,0.0042,0.0073,0.0,3828,3828,0,0.0013,0.0032,0.0,0.50,0.50,0.0,0.0,0.0,0.0,0.50,0.50,0.0
SOLIDARITY COMMUNITY FEDERAL CREDIT UNION,3,0,3,0.0032,0.0,0.0075,40741,0,40741,0.014,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
DEPARTMENT STORES NATIONAL BANK,3,0,3,0.0032,0.0,0.0075,6343,0,6343,0.0022,0.0,0.0038,0.33,0.0,0.33,0.0,0.0,0.0,1.0,0.0,1.0
VELOCITY INVESTMENTS LLC,3,2,1,0.0032,0.0037,0.0025,34841,28840,6001,0.012,0.024,0.0036,0.33,0.50,0.0,0.0,0.0,0.0,0.67,0.50,1.0
