collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
LVNV FUNDING LLC,130,86,44,0.13,0.16,0.095,100824,56143,44681,0.033,0.056,0.022,0.0077,0.012,0.0,0.0,0.0,0.0,0.62,0.50,0.86
MIDLAND CREDIT MANAGEMENT INC,113,66,47,0.11,0.12,0.10,160888,63416,97472,0.053,0.063,0.048,0.035,0.045,0.021,0.0,0.0,0.0,0.64,0.50,0.83
PORTFOLIO RECOVERY ASSOCIATES LLC,76,29,47,0.076,0.054,0.10,90274,21603,68670,0.030,0.021,0.034,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.45,0.81
DISCOVER BANK,50,33,17,0.050,0.061,0.037,197951,120685,77265,0.066,0.12,0.038,0.14,0.15,0.12,0.0,0.0,0.0,0.64,0.55,0.82
CAPITAL ONE BANK (USA) NA,46,28,18,0.046,0.052,0.039,117470,72692,44778,0.039,0.072,0.022,0.065,0.0,0.17,0.0,0.0,0.0,0.80,0.71,0.94
COMMUNITYWIDE FEDERAL CREDIT UNION,44,19,25,0.044,0.035,0.054,239351,30499,208852,0.079,0.030,0.10,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.11,0.72
JEFFERSON CAPITAL SYSTEMS LLC,37,12,25,0.037,0.022,0.054,51753,0,51753,0.017,0.0,0.026,0.0,0.0,0.0,0.0,0.0,0.0,0.65,0.083,0.92
CITIBANK NA,35,20,15,0.035,0.037,0.033,101721,44938,56783,0.034,0.045,0.028,0.14,0.15,0.13,0.0,0.0,0.0,0.80,0.65,1.0
SAC FINANCE INC,27,14,13,0.027,0.026,0.028,266363,115511,150851,0.088,0.11,0.075,0.0,0.0,0.0,0.0,0.0,0.0,0.81,0.64,1.0
ONEMAIN FINANCIAL GROUP LLC,25,13,12,0.025,0.024,0.026,146235,77924,68311,0.048,0.077,0.034,0.0,0.0,0.0,0.0,0.0,0.0,0.80,0.62,1.0
CROWN ASSET MANAGEMENT LLC,21,17,4,0.021,0.031,0.0087,42432,13708,28723,0.014,0.014,0.014,0.0,0.0,0.0,0.0,0.0,0.0,0.62,0.53,1.0
CAVALRY SPV I LLC,18,9,9,0.018,0.017,0.020,23774,7510,16265,0.0079,0.0075,0.0081,0.056,0.11,0.0,0.0,0.0,0.0,0.72,0.56,0.89
GENERAL AUDIT CORPORATION,13,0,13,0.013,0.0,0.028,107813,0,107813,0.036,0.0,0.054,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0.0,0.85
