collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
LVNV FUNDING LLC,100,65,35,0.21,0.28,0.15,0,0,0,0.0,0.0,0.0,0.090,0.12,0.029,0.42,0.40,0.46,0.89,0.92,0.83
MIDLAND CREDIT MANAGEMENT INC,65,25,40,0.14,0.11,0.17,0,0,0,0.0,0.0,0.0,0.062,0.080,0.050,0.40,0.28,0.47,0.86,0.84,0.88
PORTFOLIO RECOVERY ASSOCIATES LLC,55,21,34,0.12,0.089,0.14,0,0,0,0.0,0.0,0.0,0.036,0.048,0.029,0.35,0.38,0.32,0.98,0.95,1.0
CAVALRY SPV I LLC,28,14,14,0.059,0.059,0.059,0,0,0,0.0,0.0,0.0,0.11,0.071,0.14,0.32,0.21,0.43,0.82,0.64,1.0
MIDLAND FUNDING LLC,13,2,11,0.028,0.0085,0.047,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.50,0.27,0.77,1.0,0.73
CITIBANK NA,13,7,6,0.028,0.030,0.025,0,0,0,0.0,0.0,0.0,0.15,0.0,0.33,0.15,0.29,0.0,0.77,0.71,0.83
CAPITAL ONE BANK USA NA,13,13,0,0.028,0.055,0.0,0,0,0,0.0,0.0,0.0,0.23,0.23,0.0,0.31,0.31,0.0,0.77,0.77,0.0
BANK OF AMERICA NA,11,4,7,0.023,0.017,0.030,0,0,0,0.0,0.0,0.0,0.091,0.25,0.0,0.45,0.25,0.57,0.82,1.0,0.71
PORTFOLIO RECOVER ASSOCIATES,10,0,10,0.021,0.0,0.042,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.40,0.0,0.40,1.0,0.0,1.0
JEFFERSON CAPITAL SYSTEMS LLC,7,3,4,0.015,0.013,0.017,0,0,0,0.0,0.0,0.0,0.14,0.0,0.25,0.14,0.0,0.25,0.71,0.67,0.75
JPMORGAN CHASE BANK NA,7,6,1,0.015,0.025,0.0042,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.33,0.0,1.0,1.0,1.0
TD BANK USA NA,6,4,2,0.013,0.017,0.0085,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.25,0.0,1.0,1.0,1.0
COURTESY LOANS OF MISSOURI INC,6,6,0,0.013,0.025,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.33,0.0,0.67,0.67,0.0
CLEAR RECOVERY INC,5,4,1,0.011,0.017,0.0042,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.80,1.0,0.0
CAPITAL ONE NA,5,5,0,0.011,0.021,0.0,0,0,0,0.0,0.0,0.0,0.40,0.40,0.0,0.0,0.0,0.0,0.40,0.40,0.0
CASS REGIONAL MEDICAL CENTER,4,0,4,0.0085,0.0,0.017,0,0,0,0.0,0.0,0.0,0.50,0.0,0.50,0.25,0.0,0.25,1.0,0.0,1.0
