collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
LVNV FUNDING LLC,44,5,39,0.20,0.17,0.20,0,0,0,0.0,0.0,0.0,0.023,0.0,0.026,0.41,0.40,0.41,0.86,0.60,0.90
SOUTHEAST MISSOURI HOSPITAL ASSOCIATION,21,5,16,0.094,0.17,0.082,0,0,0,0.0,0.0,0.0,0.14,0.0,0.19,0.24,0.20,0.25,0.81,0.60,0.88
PORTFOLIO RECOVERY ASSOCIATES LLC,20,2,18,0.089,0.067,0.093,0,0,0,0.0,0.0,0.0,0.050,0.50,0.0,0.30,0.50,0.28,1.0,1.0,1.0
MIDLAND CREDIT MANAGEMENT INC,18,1,17,0.080,0.033,0.088,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.50,1.0,0.47,0.78,1.0,0.76
MIDLAND FUNDING LLC,17,5,12,0.076,0.17,0.062,0,0,0,0.0,0.0,0.0,0.059,0.0,0.083,0.47,0.60,0.42,1.0,1.0,1.0
CITIBANK NA,7,1,6,0.031,0.033,0.031,0,0,0,0.0,0.0,0.0,0.14,0.0,0.17,0.29,0.0,0.33,1.0,1.0,1.0
KENNETT HMA LLC,6,0,6,0.027,0.0,0.031,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.17,0.83,0.0,0.83
POPLAR BLUFF REGIONAL MEDICAL CENTER LLC,6,1,5,0.027,0.033,0.026,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.20,0.83,1.0,0.80
CAVALRY SPV I LLC,6,0,6,0.027,0.0,0.031,0,0,0,0.0,0.0,0.0,0.33,0.0,0.33,0.50,0.0,0.50,1.0,0.0,1.0
LVNV FUNDING,4,0,4,0.018,0.0,0.021,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.50,0.0,0.50,1.0,0.0,1.0
POPLAR BLUFF REGIONAL MEDICAL CENTER,4,1,3,0.018,0.033,0.015,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.50,0.0,0.67,1.0,1.0,1.0
POPLAR BLUFF REGIONAL MEDICAL CENTER LLC D/B/A POPLAR BLUFF,4,0,4,0.018,0.0,0.021,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.50,0.0,0.50,1.0,0.0,1.0
JEFFERSON CAPITAL SYSTEM,4,3,1,0.018,0.10,0.0052,0,0,0,0.0,0.0,0.0,0.25,0.33,0.0,0.0,0.0,0.0,0.50,0.33,1.0
PORTFOLIO RECOVERY LLC,3,0,3,0.013,0.0,0.015,0,0,0,0.0,0.0,0.0,0.67,0.0,0.67,0.33,0.0,0.33,1.0,0.0,1.0
CACH LLC,3,0,3,0.013,0.0,0.015,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.67,1.0,0.0,1.0
CREDIT BUREAU SERVICES LLC AAO CRGI LLC,3,0,3,0.013,0.0,0.015,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.33,1.0,0.0,1.0
BANK OF AMERICA,2,0,2,0.0089,0.0,0.010,0,0,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
MIDLAND CREDIT MANAGEMENT,2,0,2,0.0089,0.0,0.010,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
A&E FUTURES LLC,2,0,2,0.0089,0.0,0.010,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
JEFFERSON CAPITAL SYSTEMS LLC,2,0,2,0.0089,0.0,0.010,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
CREDIT BUREAU SERVICES LLC,2,0,2,0.0089,0.0,0.010,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.50,0.0,0.50,1.0,0.0,1.0
POPLAR BLUFF REGIONAL MEDICAL C0ENTER,2,0,2,0.0089,0.0,0.010,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.50,0.0,0.50,1.0,0.0,1.0
CREDIT BUREAU SERVICES INC ASSIGNEE OF PEMISCOT MEMORIAL HOS,2,0,2,0.0089,0.0,0.010,0,0,0,0.0,0.0,0.0,0.50,0.0,0.50,0.50,0.0,0.50,1.0,0.0,1.0
NCB MANAGEMENT SERVICES INC,2,0,2,0.0089,0.0,0.010,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.50,0.0,0.50
PORTFOLIO RECOVERY ASSOCIATE LLC,2,0,2,0.0089,0.0,0.010,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.50,0.0,0.50,1.0,0.0,1.0
MO DELTA MEDICAL CENTER,2,0,2,0.0089,0.0,0.010,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
CASH LINK,2,2,0,0.0089,0.067,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BROOKWOOD LOANS OF MISSOURI,1,0,1,0.0045,0.0,0.0052,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
CAPITAL ONE BANK,1,0,1,0.0045,0.0,0.0052,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
CAPITAL ONE BANK (USA) NA,1,0,1,0.0045,0.0,0.0052,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
CBS LLC A/A/O PEMISCOT MEMORIAL HEALTH SYSTEMS,1,0,1,0.0045,0.0,0.0052,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
CBR LLC A/A/O CCPAS,1,0,1,0.0045,0.0,0.0052,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
SECOND ROUND SU B LLC,1,0,1,0.0045,0.0,0.0052,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
ST. FRANCIS MEDICAL CENTER,1,0,1,0.0045,0.0,0.0052,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
DYERSBURG HOSPITAL,1,0,1,0.0045,0.0,0.0052,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
CREDIT BUREAU SERV LLC AS ASSIGNEE OF CAPE CO PRIVATE AMBULA,1,0,1,0.0045,0.0,0.0052,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
VELOCITY INVESTMENTS LLC,1,0,1,0.0045,0.0,0.0052,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
SUN LOAN COMPANY MISSOURI INC A CORPORATION,1,0,1,0.0045,0.0,0.0052,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
WORLD ACCEPTANCE CORP OF MO D/B/A WORLD FINANCE CORP,1,0,1,0.0045,0.0,0.0052,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
CREDIT BUREAU SERVICES LLC AS ASSIGNEE OF CAPE RADIOLOGY,1,0,1,0.0045,0.0,0.0052,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
MM FINANCE LLC,1,0,1,0.0045,0.0,0.0052,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
CAVALRY SPV 1 LLC,1,0,1,0.0045,0.0,0.0052,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
CASH LINK USA,1,0,1,0.0045,0.0,0.0052,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
CREDIT BUREAU SERVICES LLC A/A/O CAPE RADIOLOGY GROUP,1,0,1,0.0045,0.0,0.0052,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
MISSOURI DELTA MEDICAL CENTER,1,0,1,0.0045,0.0,0.0052,0,0,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
CREDIT CORP SOLUTIONS INC A CORPORATION,1,0,1,0.0045,0.0,0.0052,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
POPLAR BLUFF REGIONAL MEDICAL CENTER LLC DBA POPLAR BLUFF RE,1,0,1,0.0045,0.0,0.0052,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
CBS LLC A/A/O CAPE RADIOLOGY GROUP PC,1,0,1,0.0045,0.0,0.0052,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
PROFESSIONAL CREDIT MANAGEMENT INC,1,0,1,0.0045,0.0,0.0052,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
CVI SGP ACQUISITION TRUST,1,0,1,0.0045,0.0,0.0052,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
CBS LLC AAOSCAD,1,0,1,0.0045,0.0,0.0052,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
PBRMC LLC D/B/A PBRMC,1,0,1,0.0045,0.0,0.0052,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
AMERICAN MULTISPECIALTY GROUP INC,1,0,1,0.0045,0.0,0.0052,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
PYOD LLC,1,1,0,0.0045,0.033,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
CREDIT BUREAU OF COLUMBIA INC,1,1,0,0.0045,0.033,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
CRISWELL CASKET COMPANY,1,0,1,0.0045,0.0,0.0052,0,0,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
CITIBANK (SOUTH DAKOTA) NA,1,0,1,0.0045,0.0,0.0052,0,0,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
CBS LLC AAOCRG,1,1,0,0.0045,0.033,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
DEPARTMENT STORES NATIONAL BANK,1,1,0,0.0045,0.033,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
