collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
LVNV FUNDING LLC,27,5,22,20.6%,31.3%,19.1%,0,0,0,0.0%,0.0%,0.0%,3.7%,20.0%,0.0%,33.3%,0.0%,40.9%,92.6%,60.0%,100.0%
MIDLAND CREDIT MANAGEMENT INC,22,5,17,16.8%,31.3%,14.8%,0,0,0,0.0%,0.0%,0.0%,4.5%,0.0%,5.9%,45.5%,60.0%,41.2%,100.0%,100.0%,100.0%
CAPITAL REGION MEDICAL CENTER,15,0,15,11.5%,0.0%,13.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,46.7%,0.0%,46.7%,100.0%,0.0%,100.0%
PORTFOLIO RECOVERY ASSOCIATES LLC,12,0,12,9.2%,0.0%,10.4%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,41.7%,0.0%,41.7%,100.0%,0.0%,100.0%
CAVALRY SPV I LLC,9,0,9,6.9%,0.0%,7.8%,0,0,0,0.0%,0.0%,0.0%,22.2%,0.0%,22.2%,11.1%,0.0%,11.1%,100.0%,0.0%,100.0%
PORTFOLIO RECOVERY ASSOCAITES LLC,6,0,6,4.6%,0.0%,5.2%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,33.3%,0.0%,33.3%,100.0%,0.0%,100.0%
CITIBANK NA,5,0,5,3.8%,0.0%,4.3%,0,0,0,0.0%,0.0%,0.0%,40.0%,0.0%,40.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
JEFFERSON CAPITAL SYSTEMS LLC,4,1,3,3.1%,6.3%,2.6%,0,0,0,0.0%,0.0%,0.0%,25.0%,0.0%,33.3%,25.0%,0.0%,33.3%,100.0%,100.0%,100.0%
CAPITAL ONE BANK (USA) NA - ST LOUIS,3,0,3,2.3%,0.0%,2.6%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
MOBERLY HOSPITAL COMPANY LLC,2,0,2,1.5%,0.0%,1.7%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
CONSUMER ADJUSTMENT CO INC,2,0,2,1.5%,0.0%,1.7%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
NAPLES HMA LLC D/B/A PRMC-C,2,1,1,1.5%,6.3%,0.9%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%
FOUR SEASONS LAKESITES POA INC,2,2,0,1.5%,12.5%,0.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,50.0%,50.0%,0.0%,100.0%,100.0%,0.0%
WORLD ACCEPTANCE CORP OF MO,2,0,2,1.5%,0.0%,1.7%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,50.0%,0.0%,50.0%,100.0%,0.0%,100.0%
TALLMAN COMPANY OF SEDALIA,1,0,1,0.8%,0.0%,0.9%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
LAUBERT'S AUTO SALES LLC,1,0,1,0.8%,0.0%,0.9%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%
TD BANK USA NA,1,0,1,0.8%,0.0%,0.9%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
CITIZENS BANK OF ELDON,1,0,1,0.8%,0.0%,0.9%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
KENT F WILLETT D.D.S.,1,0,1,0.8%,0.0%,0.9%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
MIDLAND FUNDING LLC,1,0,1,0.8%,0.0%,0.9%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
CONSUMER COLLECTION MANAGEMENT INC,1,0,1,0.8%,0.0%,0.9%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
CASH LINK USA LLC,1,0,1,0.8%,0.0%,0.9%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
DISCOVER BANK,1,0,1,0.8%,0.0%,0.9%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
ABSOLUTE RESOLUTIONS INVESTMENTS LLC,1,0,1,0.8%,0.0%,0.9%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%
CRMC D/B/A CRPACRMC,1,0,1,0.8%,0.0%,0.9%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
ARCAAOCRMC,1,0,1,0.8%,0.0%,0.9%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
H & H LEASING LLC,1,1,0,0.8%,6.3%,0.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,0.0%
MIDLAND CREDIT MANAGEMENT,1,1,0,0.8%,6.3%,0.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
FORD MOTOR CREDIT COMPANY,1,0,1,0.8%,0.0%,0.9%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
BANK OF AMERICA NA,1,0,1,0.8%,0.0%,0.9%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
JH MET SUBSIDIARY B LIQUIDATING TRUST,1,0,1,0.8%,0.0%,0.9%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
CAVALRY SPV I LLC-C/O PECH HUGHES & MCDONALD,1,0,1,0.8%,0.0%,0.9%,0,0,0,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%1.0%,0.1%,1.7%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,87.5%,100.0%,85.7%
CREDIT ACCEPTANCE CORP.,8,5,3,0.5%,0.6%,0.4%,35649,17103,18546,1.1%,1.2%,1.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,62.5%,60.0%,66.7%
CAVALRY SPV ILLC,8,0,8,0.5%,0.0%,1.1%,3330,0,3330,0.1%,0.0%,0.2%,25.0%,0.0%,25.0%,0.0%,0.0%,0.0%,37.5%,0.0%,37.5%
AMBULANCE MANAGEMENT SERVICES,8,8,0,0.5%,1.0%,0.0%,6478,6478,0,0.2%,0.5%,0.0%,12.5%,12.5%,0.0%,0.0%,0.0%,0.0%,37.5%,37.5%,0.0%
RAY SKILLMAN HOOSIER FORD,7,3,4,0.4%,0.4%,0.5%,19868,0,19868,0.6%,0.0%,1.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,42.9%,0.0%,75.0%
CREDITMAX INC,7,3,4,0.4%,0.4%,0.5%,13782,8301,5482,0.4%,0.6%,0.3%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,57.1%,66.7%,50.0%
TEACHERS CREDIT UNION,7,2,5,0.4%,0.2%,0.7%,62124,0,62124,1.9%,0.0%,3.3%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,85.7%,100.0%,80.0%
ABSOLUTE RESOLUTIONS INVESTMENTS LLC,7,2,5,0.4%,0.2%,0.7%,46786,0,46786,1.4%,0.0%,2.5%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,42.9%,0.0%,60.0%
FORD MOTOR CREDIT COMPANY LLC,6,5,1,0.4%,0.6%,0.1%,29042,6094,22948,0.9%,0.4%,1.2%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,50.0%,40.0%,100.0%
MIDLAND CREDIT MANAGEMENTINC,6,0,6,0.4%,0.0%,0.8%,4592,0,4592,0.1%,0.0%,0.2%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,33.3%,0.0%,33.3%
TD BANK USA NA AS SUCCESSOR IN INTEREST TO TARGET NATIONAL BANK,6,6,0,0.4%,0.7%,0.0%,9452,9452,0,0.3%,0.7%,0.0%,16.7%,16.7%,0.0%,0.0%,0.0%,0.0%,83.3%,83.3%,0.0%
GOLDMAN SACHS BANK USA,6,6,0,0.4%,0.7%,0.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
BARCLAYS BANK DELAWARE,5,0,5,0.3%,0.0%,0.7%,11484,0,11484,0.3%,0.0%,0.6%,40.0%,0.0%,40.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
CREDIT ACCEPTANCE CORPORATION,5,3,2,0.3%,0.4%,0.3%,33265,20780,12485,1.0%,1.5%,0.7%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,40.0%,33.3%,50.0%
VELOCITY INVESTMENTS LLC,5,2,3,0.3%,0.2%,0.4%,4971,0,4971,0.2%,0.0%,0.3%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,40.0%,0.0%,66.7%
