collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
lvnv funding llc,83,82,1,13.7%,14.9%,1.8%,42894,41775,1119,3.5%,5.0%,0.3%,1.2%,1.2%,0.0%,0.0%,0.0%,0.0%,39.8%,39.0%,100.0%
midland credit management inc,61,61,0,10.0%,11.1%,0.0%,78062,78062,0,6.3%,9.4%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,41.0%,41.0%,0%
capital one bank (usa) na,42,42,0,6.9%,7.6%,0.0%,67699,67699,0,5.5%,8.1%,0.0%,2.4%,2.4%,0%,0.0%,0.0%,0%,59.5%,59.5%,0%
communitywide federal credit union,32,30,2,5.3%,5.4%,3.6%,2406,0,2406,0.2%,0.0%,0.6%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,3.1%,0.0%,50.0%
portfolio recovery associates llc,31,29,2,5.1%,5.3%,3.6%,24747,24747,0,2.0%,3.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,51.6%,51.7%,50.0%
sac finance inc,27,19,8,4.4%,3.4%,14.5%,173384,110800,62584,14.0%,13.3%,15.5%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,59.3%,52.6%,75.0%
discover bank,26,26,0,4.3%,4.7%,0.0%,17070,17070,0,1.4%,2.0%,0.0%,3.8%,3.8%,0%,0.0%,0.0%,0%,19.2%,19.2%,0%
onemain financial group llc,22,20,2,3.6%,3.6%,3.6%,83210,63175,20034,6.7%,7.6%,5.0%,4.5%,5.0%,0.0%,0.0%,0.0%,0.0%,36.4%,30.0%,100.0%
jefferson capital systems llc,18,17,1,3.0%,3.1%,1.8%,6647,5902,744,0.5%,0.7%,0.2%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,27.8%,23.5%,100.0%
cavalry spv i llc,17,15,2,2.8%,2.7%,3.6%,42758,41750,1008,3.5%,5.0%,0.3%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,64.7%,60.0%,100.0%
citibank na,15,14,1,2.5%,2.5%,1.8%,23098,23098,0,1.9%,2.8%,0.0%,6.7%,7.1%,0.0%,0.0%,0.0%,0.0%,53.3%,57.1%,0.0%
bank of america na,11,11,0,1.8%,2.0%,0.0%,22522,22522,0,1.8%,2.7%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,45.5%,45.5%,0%
crown asset management llc,9,9,0,1.5%,1.6%,0.0%,13248,13248,0,1.1%,1.6%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,66.7%,66.7%,0%
credit acceptance corp.,7,6,1,1.2%,1.1%,1.8%,25344,25344,0,2.1%,3.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,42.9%,50.0%,0.0%
gateway financial solutions,7,7,0,1.2%,1.3%,0.0%,16090,16090,0,1.3%,1.9%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,42.9%,42.9%,0%
synchrony bank,7,7,0,1.2%,1.3%,0.0%,0,0,0,0.0%,0.0%,0.0%,14.3%,14.3%,0%,0.0%,0.0%,0%,14.3%,14.3%,0%
credit acceptance corporation,7,7,0,1.2%,1.3%,0.0%,13722,13722,0,1.1%,1.6%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,42.9%,42.9%,0%
glenbrook credit acceptance corporation,6,3,3,1.0%,0.5%,5.5%,37658,0,37658,3.0%,0.0%,9.3%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,33.3%,0.0%,66.7%
