collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
FREEMAN HEALTH SYSTEM,441,262,179,0.23,0.29,0.18,0,0,0,0.0,0.0,0.0,0.048,0.046,0.050,0.36,0.40,0.31,0.78,0.72,0.88
FREEMAN NEOSHO HOSPITAL,387,164,223,0.20,0.18,0.22,0,0,0,0.0,0.0,0.0,0.036,0.030,0.040,0.37,0.29,0.43,0.86,0.74,0.95
LVNV FUNDING LLC,210,142,68,0.11,0.16,0.067,0,0,0,0.0,0.0,0.0,0.038,0.042,0.029,0.38,0.39,0.35,0.90,0.87,0.96
MIDLAND CREDIT MANAGEMENT INC,158,63,95,0.082,0.069,0.094,0,0,0,0.0,0.0,0.0,0.082,0.063,0.095,0.29,0.19,0.36,0.82,0.71,0.89
FREEMAN HEALTH SYSTEMS,149,7,142,0.077,0.0077,0.14,0,0,0,0.0,0.0,0.0,0.013,0.0,0.014,0.50,0.29,0.51,1.0,1.0,1.0
PORTFOLIO RECOVERY ASSOCIATES LLC,135,31,104,0.070,0.034,0.10,0,0,0,0.0,0.0,0.0,0.089,0.032,0.11,0.28,0.19,0.31,0.93,0.84,0.96
CAPITAL ONE BANK (USA) NA,47,38,9,0.024,0.042,0.0089,0,0,0,0.0,0.0,0.0,0.17,0.21,0.0,0.30,0.29,0.33,0.83,0.79,1.0
CAVALRY SPV I LLC,44,9,35,0.023,0.0099,0.034,0,0,0,0.0,0.0,0.0,0.045,0.0,0.057,0.39,0.44,0.37,0.91,0.89,0.91
MM FINANCE LLC,42,17,25,0.022,0.019,0.025,0,0,0,0.0,0.0,0.0,0.071,0.12,0.040,0.57,0.71,0.48,0.98,0.94,1.0
CITIBANK NA,30,17,13,0.016,0.019,0.013,0,0,0,0.0,0.0,0.0,0.27,0.18,0.38,0.17,0.18,0.15,0.90,1.0,0.77
MIDLAND FUNDING LLC,27,12,15,0.014,0.013,0.015,0,0,0,0.0,0.0,0.0,0.037,0.0,0.067,0.26,0.25,0.27,0.85,0.67,1.0
JEFFERSON CAPITAL SYSTEMS LLC,22,19,3,0.011,0.021,0.0030,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.47,0.33,0.77,0.79,0.67
