collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
PORTFOLIO RECOVERY ASSOCIATES LLC,158,8,150,0.19,0.067,0.22,0,0,0,0.0,0.0,0.0,0.063,0.13,0.060,0.30,0.25,0.31,0.97,0.75,0.98
LVNV FUNDING LLC,147,42,105,0.18,0.35,0.15,0,0,0,0.0,0.0,0.0,0.034,0.024,0.038,0.43,0.38,0.45,0.81,0.71,0.85
MIDLAND CREDIT MANAGEMENT INC,99,16,83,0.12,0.13,0.12,0,0,0,0.0,0.0,0.0,0.051,0.19,0.024,0.44,0.38,0.46,0.86,0.88,0.86
CAVALRY SPV I LLC,60,6,54,0.073,0.050,0.077,0,0,0,0.0,0.0,0.0,0.067,0.0,0.074,0.38,0.33,0.39,0.87,0.50,0.91
CAPITAL ONE BANK (USA) NA,28,0,28,0.034,0.0,0.040,0,0,0,0.0,0.0,0.0,0.036,0.0,0.036,0.21,0.0,0.21,0.93,0.0,0.93
MIDLAND FUNDING LLC,27,5,22,0.033,0.042,0.032,0,0,0,0.0,0.0,0.0,0.074,0.20,0.045,0.33,0.40,0.32,0.93,0.60,1.0
MIDLAND CREDIT MGT INC,22,0,22,0.027,0.0,0.032,0,0,0,0.0,0.0,0.0,0.091,0.0,0.091,0.59,0.0,0.59,0.95,0.0,0.95
PORTFOLIO RECOVERY,19,4,15,0.023,0.033,0.022,0,0,0,0.0,0.0,0.0,0.11,0.25,0.067,0.42,0.25,0.47,1.0,1.0,1.0
JEFFERSON CAPITAL SYSTEMS LLC,17,7,10,0.021,0.058,0.014,0,0,0,0.0,0.0,0.0,0.059,0.14,0.0,0.47,0.43,0.50,0.82,0.71,0.90
BANK OF AMERICA,16,4,12,0.020,0.033,0.017,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.50,0.25,0.58,0.88,0.50,1.0
LESTER E COX MEDICAL CENTERS,15,0,15,0.018,0.0,0.022,0,0,0,0.0,0.0,0.0,0.067,0.0,0.067,0.33,0.0,0.33,0.93,0.0,0.93
BANK OF AMERICA NA,15,0,15,0.018,0.0,0.022,0,0,0,0.0,0.0,0.0,0.067,0.0,0.067,0.27,0.0,0.27,0.93,0.0,0.93
CITIBANK NA,15,4,11,0.018,0.033,0.016,0,0,0,0.0,0.0,0.0,0.13,0.50,0.0,0.27,0.25,0.27,0.80,1.0,0.73
VELOCITY INVESTMENTS LLC,9,0,9,0.011,0.0,0.013,0,0,0,0.0,0.0,0.0,0.33,0.0,0.33,0.22,0.0,0.22,0.89,0.0,0.89
TD BANK USA NA,9,6,3,0.011,0.050,0.0043,0,0,0,0.0,0.0,0.0,0.11,0.17,0.0,0.33,0.17,0.67,1.0,1.0,1.0
WAKEFIELD & ASSOCIATES INC,8,0,8,0.0098,0.0,0.011,0,0,0,0.0,0.0,0.0,0.13,0.0,0.13,0.25,0.0,0.25,1.0,0.0,1.0
J.P. MORGAN CHASE NATIONAL,8,1,7,0.0098,0.0083,0.010,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.14,0.75,0.0,0.86
JP MORGAN CHASE BANK NA,7,1,6,0.0086,0.0083,0.0086,0,0,0,0.0,0.0,0.0,0.14,1.0,0.0,0.14,0.0,0.17,0.86,0.0,1.0
CITIBANK,7,0,7,0.0086,0.0,0.010,0,0,0,0.0,0.0,0.0,0.14,0.0,0.14,0.0,0.0,0.0,1.0,0.0,1.0
MIDLANDFUNDING LLC,7,0,7,0.0086,0.0,0.010,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.14,0.86,0.0,0.86
FREEMAN HEALTH SYSTEM,5,0,5,0.0061,0.0,0.0072,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.80,0.0,0.80
ONEMAIN FINANCIAL GROUP LLC,5,2,3,0.0061,0.017,0.0043,0,0,0,0.0,0.0,0.0,0.20,0.0,0.33,0.20,0.0,0.33,0.80,1.0,0.67
M M FINANCE,5,1,4,0.0061,0.0083,0.0057,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.60,1.0,0.50,0.80,1.0,0.75
ABSOLUTE RESOLUTIONS INVESTMENTS LLC,5,0,5,0.0061,0.0,0.0072,0,0,0,0.0,0.0,0.0,0.20,0.0,0.20,0.20,0.0,0.20,0.80,0.0,0.80
CREDIT CORP SOLUTIONS INC,5,0,5,0.0061,0.0,0.0072,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.80,0.0,0.80,1.0,0.0,1.0
JP MORGAN CHASE,5,4,1,0.0061,0.033,0.0014,0,0,0,0.0,0.0,0.0,0.60,0.50,1.0,0.0,0.0,0.0,0.40,0.50,0.0
MM FINANCE LLC,4,0,4,0.0049,0.0,0.0057,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.75,0.0,0.75
ONEMAIN FINANCIAL SERVICES INC,4,0,4,0.0049,0.0,0.0057,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
NORTHWEST ARKANSAS HOSPITALS LLC,4,1,3,0.0049,0.0083,0.0043,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.50,1.0,0.33,1.0,1.0,1.0
SECOND ROUND SU B LLC,4,0,4,0.0049,0.0,0.0057,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,1.0,0.0,1.0
ONE MAIN FINANCIAL GROUP LLC,4,0,4,0.0049,0.0,0.0057,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.50,0.0,0.50,1.0,0.0,1.0
NCB MANAGEMENT SERVICES INC,4,0,4,0.0049,0.0,0.0057,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
FREEMAN HEALTH SYSTEMS,4,0,4,0.0049,0.0,0.0057,0,0,0,0.0,0.0,0.0,0.25,0.0,0.25,0.25,0.0,0.25,1.0,0.0,1.0
SECOND ROUND LP,3,0,3,0.0037,0.0,0.0043,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.33,1.0,0.0,1.0
BARCLAYS BANK DELAWARE,3,0,3,0.0037,0.0,0.0043,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.67,1.0,0.0,1.0
ABSOLUTE RESOLUTIONS CORP,3,1,2,0.0037,0.0083,0.0029,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.50,1.0,1.0,1.0
CAVALRY SPV I,3,0,3,0.0037,0.0,0.0043,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.67,1.0,0.0,1.0
JPMORGAN CHASE BANK NATIONAL ASSOCIATION,3,0,3,0.0037,0.0,0.0043,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.33,0.67,0.0,0.67
