collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
POPLAR BLUFF REGIONAL MEDICAL CENTER LLC DBA PBRMC,205,78,127,0.25,0.19,0.31,0,0,0,0.0,0.0,0.0,0.098,0.13,0.079,0.33,0.33,0.33,0.92,0.81,0.99
LVNV FUNDING LLC,136,94,42,0.17,0.23,0.10,0,0,0,0.0,0.0,0.0,0.096,0.096,0.095,0.38,0.36,0.40,0.82,0.76,0.98
MIDLAND CREDIT MANAGEMENT INC,97,55,42,0.12,0.13,0.10,0,0,0,0.0,0.0,0.0,0.072,0.055,0.095,0.31,0.27,0.36,0.81,0.69,0.98
PORTFOLIO RECOVERY ASSOCIATE LLC,59,20,39,0.072,0.049,0.095,0,0,0,0.0,0.0,0.0,0.14,0.15,0.13,0.31,0.20,0.36,0.90,0.75,0.97
PROFESSIONAL CREDIT MANAGEMENT INC,56,30,26,0.068,0.073,0.063,0,0,0,0.0,0.0,0.0,0.018,0.033,0.0,0.38,0.40,0.35,0.98,0.97,1.0
KENNETT HMA LLC,34,3,31,0.041,0.0073,0.075,0,0,0,0.0,0.0,0.0,0.12,0.0,0.13,0.35,0.67,0.32,0.97,1.0,0.97
JEFFERSON CAPITAL SYSTEM LLC,19,9,10,0.023,0.022,0.024,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.67,0.20,0.95,0.89,1.0
SOUTHEAST MISSOURI HOSPITAL ASSOCIATION,17,8,9,0.021,0.020,0.022,0,0,0,0.0,0.0,0.0,0.12,0.0,0.22,0.53,0.38,0.67,0.88,0.75,1.0
CAVALRY SPV I LLC,17,9,8,0.021,0.022,0.019,0,0,0,0.0,0.0,0.0,0.29,0.0,0.63,0.29,0.44,0.13,0.76,0.78,0.75
MIDLAND FUNDING LLC,16,5,11,0.020,0.012,0.027,0,0,0,0.0,0.0,0.0,0.13,0.0,0.18,0.56,0.60,0.55,1.0,1.0,1.0
CAPITAL ONE BANK (USA) NA,14,11,3,0.017,0.027,0.0073,0,0,0,0.0,0.0,0.0,0.071,0.091,0.0,0.36,0.27,0.67,1.0,1.0,1.0
CREDIT BUREAU SERVICES,13,8,5,0.016,0.020,0.012,0,0,0,0.0,0.0,0.0,0.077,0.13,0.0,0.54,0.38,0.80,0.85,0.75,1.0
CITIBANK NA,12,6,6,0.015,0.015,0.015,0,0,0,0.0,0.0,0.0,0.25,0.0,0.50,0.17,0.17,0.17,0.83,1.0,0.67
POPLAR BLUFF REGIONAL MEDICAL CENTER LLC,7,3,4,0.0085,0.0073,0.0097,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.33,0.50,1.0,1.0,1.0
PROFESSIONAL CREDIT MANAGEMENT INC PETITIONER,7,0,7,0.0085,0.0,0.017,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.29,1.0,0.0,1.0
CROWN ASSET MANAGEMENT LLC,7,6,1,0.0085,0.015,0.0024,0,0,0,0.0,0.0,0.0,0.43,0.50,0.0,0.0,0.0,0.0,0.43,0.33,1.0
CREDIT BUREAU SERVICES AS ASSIGNEE OF CAPE RADIOLOGY GROUP,6,1,5,0.0073,0.0024,0.012,0,0,0,0.0,0.0,0.0,0.17,0.0,0.20,0.50,1.0,0.40,0.83,1.0,0.80
ABSOLUTE RESOLUTIONS INVESTMENTS LLC,6,1,5,0.0073,0.0024,0.012,0,0,0,0.0,0.0,0.0,0.17,0.0,0.20,0.33,1.0,0.20,0.83,1.0,0.80
JP MORGAN CHASE BANK NA,6,3,3,0.0073,0.0073,0.0073,0,0,0,0.0,0.0,0.0,0.67,1.0,0.33,0.0,0.0,0.0,0.67,0.33,1.0
SECOND ROUND SUB LLC,5,1,4,0.0061,0.0024,0.0097,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.20,0.0,0.25,0.60,0.0,0.75
JEFFERSON CAPITAL SYSTEMS LLC,5,4,1,0.0061,0.0098,0.0024,0,0,0,0.0,0.0,0.0,0.40,0.25,1.0,0.20,0.25,0.0,1.0,1.0,1.0
BANK OF AMERICA NA,5,2,3,0.0061,0.0049,0.0073,0,0,0,0.0,0.0,0.0,0.40,0.50,0.33,0.20,0.0,0.33,0.80,1.0,0.67
CREDIT CORP SOLUTIONS INC,4,2,2,0.0049,0.0049,0.0049,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.50,0.50,0.0,1.0
CREDIT BUREAU SERVICES LLC ASSIGNEE OF STODDARD CO AMBULANCE,4,0,4,0.0049,0.0,0.0097,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,1.0,0.0,1.0
VELOCITY INVESTMENTS LLC,3,2,1,0.0037,0.0049,0.0024,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.50,0.0,1.0,1.0,1.0
MISSOURI DELTA MEDICAL CENTER,3,3,0,0.0037,0.0073,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.67,0.0,0.67,0.67,0.0
NCB MANAGEMENT SERVICES INC,3,3,0,0.0037,0.0073,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.67,0.0
SUN LOAN COMPANY MISSOURI INC #2,3,3,0,0.0037,0.0073,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.67,0.0,1.0,1.0,0.0
CASH LINK USA LLC D/B/A CASH LINK USA,2,1,1,0.0024,0.0024,0.0024,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.50,1.0,0.0,1.0,1.0,1.0
OZARK FEDERAL CREDIT UNION,2,1,1,0.0024,0.0024,0.0024,0,0,0,0.0,0.0,0.0,0.50,0.0,1.0,0.50,1.0,0.0,0.50,1.0,0.0
TD BANK USA NA,2,2,0,0.0024,0.0049,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
