collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
LVNV FUNDING LLC,157,111,46,16.0%,20.0%,10.8%,76337,49275,27061,4.6%,8.1%,2.6%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,36.9%,32.4%,47.8%
MIDLAND CREDIT MANAGEMENT INC,147,83,64,15.0%,15.0%,15.0%,164670,54637,110034,10.0%,9.0%,10.6%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,38.1%,21.7%,59.4%
PORTFOLIO RECOVERY ASSOCIATES LLC,118,48,70,12.0%,8.7%,16.4%,157803,42618,115185,9.6%,7.0%,11.0%,0.8%,0.0%,1.4%,0.0%,0.0%,0.0%,53.4%,39.6%,62.9%
DISCOVER BANK,55,36,19,5.6%,6.5%,4.5%,114906,23452,91454,7.0%,3.9%,8.8%,10.9%,8.3%,15.8%,0.0%,0.0%,0.0%,36.4%,22.2%,63.2%
JEFFERSON CAPITAL SYSTEMS LLC,51,10,41,5.2%,1.8%,9.6%,66762,26668,40095,4.0%,4.4%,3.8%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,47.1%,60.0%,43.9%
CAPITAL ONE BANK (USA) NA,27,20,7,2.8%,3.6%,1.6%,31146,21071,10075,1.9%,3.5%,1.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,44.4%,35.0%,71.4%
SAINT ELIZABETH MEDICAL CENTER INC,24,24,0,2.4%,4.3%,0.0%,2291,2291,0,0.1%,0.4%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,12.5%,12.5%,0.0%
MARINER FINANCE LLC,22,8,14,2.2%,1.4%,3.3%,87663,44299,43364,5.3%,7.3%,4.2%,4.5%,0.0%,7.1%,0.0%,0.0%,0.0%,77.3%,62.5%,85.7%
BANK OF AMERICA NA,20,8,12,2.0%,1.4%,2.8%,76067,25873,50195,4.6%,4.3%,4.8%,15.0%,0.0%,25.0%,0.0%,0.0%,0.0%,70.0%,62.5%,75.0%
MIDLAND FUNDING LLC,17,0,17,1.7%,0.0%,4.0%,13869,0,13869,0.8%,0.0%,1.3%,5.9%,0.0%,5.9%,0.0%,0.0%,0.0%,41.2%,0.0%,41.2%
CITIBANK NA,16,7,9,1.6%,1.3%,2.1%,31374,13483,17891,1.9%,2.2%,1.7%,18.8%,0.0%,33.3%,0.0%,0.0%,0.0%,50.0%,42.9%,55.6%
ONE ADVANTAGE LLC,12,7,5,1.2%,1.3%,1.2%,25143,0,25143,1.5%,0.0%,2.4%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,41.7%,0.0%,100.0%
GENERAL ELECTRIC CREDIT UNION,12,8,4,1.2%,1.4%,0.9%,20787,20787,0,1.3%,3.4%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,8.3%,12.5%,0.0%
UNIFUND CCR LLC,11,0,11,1.1%,0.0%,2.6%,8633,0,8633,0.5%,0.0%,0.8%,9.1%,0.0%,9.1%,0.0%,0.0%,0.0%,63.6%,0.0%,63.6%
CAVALRY SPV I LLC,10,4,6,1.0%,0.7%,1.4%,12930,7268,5662,0.8%,1.2%,0.5%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,50.0%,50.0%,50.0%
ONEMAIN FINANCIAL GROUP LLC,9,5,4,0.9%,0.9%,0.9%,23035,7010,16024,1.4%,1.2%,1.5%,11.1%,20.0%,0.0%,0.0%,0.0%,0.0%,44.4%,0.0%,100.0%
CREDIT ACCEPTANCE CORP.,9,7,2,0.9%,1.3%,0.5%,31142,17183,13959,1.9%,2.8%,1.3%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,33.3%,14.3%,100.0%
CAVALRY SPV ILLC,9,2,7,0.9%,0.4%,1.6%,30284,1434,28850,1.8%,0.2%,2.8%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,88.9%,100.0%,85.7%
TD BANK USA NA,8,7,1,0.8%,1.3%,0.2%,9193,5825,3368,0.6%,1.0%,0.3%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,37.5%,28.6%,100.0%
ABSOLUTE RESOLUTIONS,8,5,3,0.8%,0.9%,0.7%,21606,21606,0,1.3%,3.6%,0.0%,12.5%,20.0%,0.0%,0.0%,0.0%,0.0%,37.5%,60.0%,0.0%
ABSOLUTE RESOLUTIONS INVESTMENTS LLC,8,2,6,0.8%,0.4%,1.4%,18781,0,18781,1.1%,0.0%,1.8%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,50.0%,0.0%,66.7%
AMERICAN EXPRESS NATIONAL BANK,8,8,0,0.8%,1.4%,0.0%,20253,20253,0,1.2%,3.3%,0.0%,12.5%,12.5%,0.0%,0.0%,0.0%,0.0%,50.0%,50.0%,0.0%
VELOCITY INVESTMENTS LLC,8,8,0,0.8%,1.4%,0.0%,12626,12626,0,0.8%,2.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,50.0%,50.0%,0.0%
TRIHEALTH INC,8,8,0,0.8%,1.4%,0.0%,2093,2093,0,0.1%,0.3%,0.0%,12.5%,12.5%,0.0%,0.0%,0.0%,0.0%,37.5%,37.5%,0.0%
CROWN ASSET MANAGEMENT LLC,7,3,4,0.7%,0.5%,0.9%,15832,3352,12480,1.0%,0.6%,1.2%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,85.7%,66.7%,100.0%
EAGLE LOAN COMPANY OF OHIO INC,7,4,3,0.7%,0.7%,0.7%,2867,0,2867,0.2%,0.0%,0.3%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,14.3%,0.0%,33.3%
SYNCHRONY BANK,7,7,0,0.7%,1.3%,0.0%,11721,11721,0,0.7%,1.9%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,42.9%,42.9%,0.0%
U.S. BANK NATIONAL ASSOCIATION,6,4,2,0.6%,0.7%,0.5%,24850,7807,17044,1.5%,1.3%,1.6%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,50.0%,25.0%,100.0%
SECOND ROUND SUB LLC,6,1,5,0.6%,0.2%,1.2%,9921,0,9921,0.6%,0.0%,1.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%
SAC FINANCE INC,5,4,1,0.5%,0.7%,0.2%,12668,0,12668,0.8%,0.0%,1.2%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,20.0%,0.0%,100.0%
MIDLAND CREDIT MANAGEMENTINC,5,1,4,0.5%,0.2%,0.9%,18756,5197,13559,1.1%,0.9%,1.3%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,80.0%,100.0%,75.0%
CAVALRY SPV I LLC AS ASSIGNEE OF CITIBANK NA,5,3,2,0.5%,0.5%,0.5%,10342,4210,6132,0.6%,0.7%,0.6%,20.0%,0.0%,50.0%,0.0%,0.0%,0.0%,60.0%,33.3%,100.0%
CREDIT ACCEPTANCE CORPORATION,4,2,2,0.4%,0.4%,0.5%,7083,0,7083,0.4%,0.0%,0.7%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,25.0%,0.0%,50.0%
BARCLAYS BANK DELAWARE,4,0,4,0.4%,0.0%,0.9%,17137,0,17137,1.0%,0.0%,1.6%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,75.0%,0.0%,75.0%
PRESTIGE FINANCIAL SERVICES,4,3,1,0.4%,0.5%,0.2%,19784,0,19784,1.2%,0.0%,1.9%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,25.0%,0.0%,100.0%
GATEWAY FINANCIAL SOLUTIONS,4,2,2,0.4%,0.4%,0.5%,31890,5230,26660,1.9%,0.9%,2.6%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,50.0%,50.0%,50.0%
