collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
FREEMAN HEALTH SYSTEM,1041,168,873,41.9%,42.1%,41.9%,0,0,0,0.0%,0.0%,0.0%,5.5%,6.0%,5.4%,37.9%,29.2%,39.6%,94.8%,85.1%,96.7%
LVNV FUNDING LLC,261,50,211,10.5%,12.5%,10.1%,0,0,0,0.0%,0.0%,0.0%,8.0%,4.0%,9.0%,42.1%,42.0%,42.2%,97.7%,92.0%,99.1%
MIDLAND CREDIT MANAGEMENT INC,223,43,180,9.0%,10.8%,8.6%,0,0,0,0.0%,0.0%,0.0%,12.6%,11.6%,12.8%,41.3%,32.6%,43.3%,92.4%,79.1%,95.6%
PORTFOLIO RECOVERY ASSOCIATES LLC,198,40,158,8.0%,10.0%,7.6%,0,0,0,0.0%,0.0%,0.0%,8.6%,5.0%,9.5%,31.3%,22.5%,33.5%,96.0%,92.5%,96.8%
PORTFOLIO RECOVERY ASSOCIATES LLC A LIMITED LIABILITY CO,93,0,93,3.7%,0.0%,4.5%,0,0,0,0.0%,0.0%,0.0%,16.1%,0.0%,16.1%,31.2%,0.0%,31.2%,98.9%,0.0%,98.9%
MIDLAND FUNDING LLC,87,2,85,3.5%,0.5%,4.1%,0,0,0,0.0%,0.0%,0.0%,2.3%,0.0%,2.4%,36.8%,50.0%,36.5%,97.7%,50.0%,98.8%
MM FINANCE LLC,82,4,78,3.3%,1.0%,3.7%,0,0,0,0.0%,0.0%,0.0%,4.9%,0.0%,5.1%,51.2%,50.0%,51.3%,98.8%,100.0%,98.7%
CAVALRY SPV I LLC,68,14,54,2.7%,3.5%,2.6%,0,0,0,0.0%,0.0%,0.0%,17.6%,14.3%,18.5%,33.8%,42.9%,31.5%,92.6%,71.4%,98.1%
CITIBANK NA,36,5,31,1.4%,1.3%,1.5%,0,0,0,0.0%,0.0%,0.0%,22.2%,20.0%,22.6%,13.9%,0.0%,16.1%,94.4%,80.0%,96.8%
FREEMAN NEOSHO HOSPITAL,33,2,31,1.3%,0.5%,1.5%,0,0,0,0.0%,0.0%,0.0%,3.0%,0.0%,3.2%,48.5%,100.0%,45.2%,97.0%,100.0%,96.8%
FREEMAN HEALTH SYSTEMS,32,1,31,1.3%,0.3%,1.5%,0,0,0,0.0%,0.0%,0.0%,3.1%,0.0%,3.2%,53.1%,0.0%,54.8%,100.0%,100.0%,100.0%
JEFFERSON CAPITAL SYSTEMS LLC,27,5,22,1.1%,1.3%,1.1%,0,0,0,0.0%,0.0%,0.0%,22.2%,20.0%,22.7%,37.0%,40.0%,36.4%,88.9%,60.0%,95.5%
CAPITAL ONE BANK (USA) NA,21,0,21,0.8%,0.0%,1.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,14.3%,0.0%,14.3%,100.0%,0.0%,100.0%
ONEMAIN FINANCIAL GROUP LLC,15,1,14,0.6%,0.3%,0.7%,0,0,0,0.0%,0.0%,0.0%,20.0%,0.0%,21.4%,40.0%,0.0%,42.9%,100.0%,100.0%,100.0%
CONSUMER ADJUSTMENT COMPANY INC,15,0,15,0.6%,0.0%,0.7%,0,0,0,0.0%,0.0%,0.0%,6.7%,0.0%,6.7%,33.3%,0.0%,33.3%,100.0%,0.0%,100.0%
ABSOLUTE RESOLUTIONS INVESTMENTS LLC,15,1,14,0.6%,0.3%,0.7%,0,0,0,0.0%,0.0%,0.0%,13.3%,0.0%,14.3%,13.3%,0.0%,14.3%,80.0%,0.0%,85.7%
MIDLAND CREDIT MANAGEMENT INC A CORPORATION,15,12,3,0.6%,3.0%,0.1%,0,0,0,0.0%,0.0%,0.0%,6.7%,8.3%,0.0%,33.3%,33.3%,33.3%,86.7%,83.3%,100.0%
TD BANK USA NA,14,8,6,0.6%,2.0%,0.3%,0,0,0,0.0%,0.0%,0.0%,14.3%,12.5%,16.7%,35.7%,50.0%,16.7%,85.7%,75.0%,100.0%
BANK OF AMERICA,12,1,11,0.5%,0.3%,0.5%,0,0,0,0.0%,0.0%,0.0%,16.7%,0.0%,18.2%,33.3%,0.0%,36.4%,100.0%,100.0%,100.0%
JP MORGAN CHASE BANK NA,11,4,7,0.4%,1.0%,0.3%,0,0,0,0.0%,0.0%,0.0%,36.4%,50.0%,28.6%,18.2%,0.0%,28.6%,81.8%,75.0%,85.7%
FREEMAN AMBULANCE SERVICES,11,10,1,0.4%,2.5%,0.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,63.6%,70.0%,0.0%,90.9%,90.0%,100.0%
JOPLIN METRO CREDIT UNION,9,4,5,0.4%,1.0%,0.2%,0,0,0,0.0%,0.0%,0.0%,11.1%,0.0%,20.0%,22.2%,50.0%,0.0%,100.0%,100.0%,100.0%
SECOND ROUND SUB LLC,8,1,7,0.3%,0.3%,0.3%,0,0,0,0.0%,0.0%,0.0%,25.0%,0.0%,28.6%,50.0%,100.0%,42.9%,100.0%,100.0%,100.0%
CASH LINK USA LLC,8,0,8,0.3%,0.0%,0.4%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,50.0%,0.0%,50.0%,100.0%,0.0%,100.0%
