collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
LVNV FUNDING LLC,63,46,17,0.19,0.25,0.12,0,0,0,0.0,0.0,0.0,0.016,0.0,0.059,0.43,0.41,0.47,0.79,0.72,1.0
MIDLAND CREDIT MANAGEMENT INC,51,26,25,0.16,0.14,0.17,0,0,0,0.0,0.0,0.0,0.078,0.077,0.080,0.37,0.31,0.44,0.80,0.73,0.88
PORTFOLIO RECOVERY ASSOCIATES LLC,34,9,25,0.10,0.049,0.17,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.67,0.16,0.94,0.89,0.96
CAPITAL ONE BANK (USA) NA,16,11,5,0.049,0.060,0.035,0,0,0,0.0,0.0,0.0,0.25,0.18,0.40,0.31,0.45,0.0,0.81,0.73,1.0
HANNIBAL REGIONAL HOSPITAL,13,9,4,0.040,0.049,0.028,0,0,0,0.0,0.0,0.0,0.077,0.11,0.0,0.31,0.22,0.50,0.92,0.89,1.0
JEFFERSON CAPITAL SYSTEMS LLC,11,7,4,0.034,0.038,0.028,0,0,0,0.0,0.0,0.0,0.091,0.0,0.25,0.55,0.57,0.50,1.0,1.0,1.0
CAVALRY SPV I LLC,9,3,6,0.028,0.016,0.042,0,0,0,0.0,0.0,0.0,0.22,0.0,0.33,0.22,0.33,0.17,0.89,1.0,0.83
MIDLAND FUNDING LLC,8,1,7,0.025,0.0055,0.049,0,0,0,0.0,0.0,0.0,0.13,0.0,0.14,0.50,1.0,0.43,1.0,1.0,1.0
MOBERLY HOSPITAL CO LLC,6,1,5,0.018,0.0055,0.035,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,1.0,0.0,1.0,1.0,1.0
CITIBANK NA,6,4,2,0.018,0.022,0.014,0,0,0,0.0,0.0,0.0,0.50,0.75,0.0,0.33,0.25,0.50,0.83,0.75,1.0
WAKEFIELD & ASSOCIATES INC,5,0,5,0.015,0.0,0.035,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.40,0.0,0.40,1.0,0.0,1.0
TD BANK USA NA,5,4,1,0.015,0.022,0.0069,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.60,0.50,1.0
PIKE COUNTY MEMORIAL HOSPITAL,5,5,0,0.015,0.027,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.20,0.20,0.0,0.20,0.20,0.0
HANNIBAL CLINIC OPERATIONS LLC,5,5,0,0.015,0.027,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.20,0.20,0.0,0.80,0.80,0.0
VELOCITY INVESTMENTS LLC,4,1,3,0.012,0.0055,0.021,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.33,1.0,1.0,1.0
COURTESY LOANS OF MISSOURI INC,4,4,0,0.012,0.022,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CREDIT CORP SOLUTIONS INC,3,1,2,0.0092,0.0055,0.014,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.50,1.0,1.0,1.0
LA CROSSE LUMBER COMPANY / MAIN,3,0,3,0.0092,0.0,0.021,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
MOBERLY HOSPITAL COMPANY LLC D/B/A MOBERLY REGIONAL MED,3,2,1,0.0092,0.011,0.0069,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
BANK OF AMERICA NA,3,1,2,0.0092,0.0055,0.014,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
CURL HARK & HOLLIDAY LLC,2,0,2,0.0061,0.0,0.014,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
JP MORGAN CHASE BANK NA,2,1,1,0.0061,0.0055,0.0069,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.50,1.0,0.0,1.0,1.0,1.0
NCB MANAGEMENT SERVICES INC,2,1,1,0.0061,0.0055,0.0069,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.50,0.0,1.0
JH MET SUBSIDIARY B LIQUIDATING TRUST,2,1,1,0.0061,0.0055,0.0069,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
MOBERLY HOSPITAL COMPANY LLC,2,1,1,0.0061,0.0055,0.0069,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.50,0.0,1.0
THE HANNIBAL CLINIC INC,2,1,1,0.0061,0.0055,0.0069,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.50,1.0,0.0,1.0,1.0,1.0
ABSOLUTE RESOLUTIONS INVESTMENTS LLC,2,1,1,0.0061,0.0055,0.0069,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.50,0.0,1.0,0.50,0.0,1.0
CITY OF LADDONIA,2,1,1,0.0061,0.0055,0.0069,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.50,0.0,1.0
JPMORGAN CHASE BANK NA,2,2,0,0.0061,0.011,0.0,0,0,0,0.0,0.0,0.0,0.50,0.50,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SUN LOAN COMPANY MO NO 2 INC,2,2,0,0.0061,0.011,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
BRIGHT SIDE LOANS LLC,2,2,0,0.0061,0.011,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
CROWN ASSET MANAGEMENT LLC,2,2,0,0.0061,0.011,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.50,0.50,0.0,1.0,1.0,0.0
EASY CASH ASAP LLC,2,2,0,0.0061,0.011,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NORTHEAST MISSOURI AMBULATORY SURGERY CENTER LLC,2,2,0,0.0061,0.011,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.50,0.50,0.0,1.0,1.0,0.0
LAUBERT'S AUTO SALES LLC,1,0,1,0.0031,0.0,0.0069,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
THE FERMAN LAW GROUP LLC,1,0,1,0.0031,0.0,0.0069,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
SUN LOAN COMPANY MISSOURI NO 2 INC A CORPORATION,1,0,1,0.0031,0.0,0.0069,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
BARCLAYS BANK DELAWARE,1,0,1,0.0031,0.0,0.0069,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
MOBERLY REGIONAL MEDICAL CENTER,1,0,1,0.0031,0.0,0.0069,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
SAINT LOUIS UNIVERSITY D/B/A SLUCARE,1,0,1,0.0031,0.0,0.0069,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
VELOCITY INVESTMENTS,1,0,1,0.0031,0.0,0.0069,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
FIRST FINANCIAL INVESTMENT FUND III LLC,1,0,1,0.0031,0.0,0.0069,0,0,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
THE CENTRAL TRUST BANK,1,0,1,0.0031,0.0,0.0069,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
KIRKSVILLE MISSOURI HOSPITAL COMPANY LLC,1,0,1,0.0031,0.0,0.0069,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
PIKE COUNTY R-III SCHOOL DISTRICT,1,0,1,0.0031,0.0,0.0069,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
CASH LINK USA LLC,1,0,1,0.0031,0.0,0.0069,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
PEAK FARMS,1,0,1,0.0031,0.0,0.0069,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
CREDIT ONE LLC,1,0,1,0.0031,0.0,0.0069,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
CAPITAL REGION MEDICAL CENTER D/B/A CAPITAL REGION PHYSICIAN,1,0,1,0.0031,0.0,0.0069,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
MEXICO CARDIOVASCULAR ASSOCIATES LLC,1,0,1,0.0031,0.0,0.0069,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
CONSUMER ADJUSTMENT COMPANY INC,1,0,1,0.0031,0.0,0.0069,0,0,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
MHC LLC D/B/A MRMC,1,0,1,0.0031,0.0,0.0069,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
JOHN J COYNE AND TERRANCE HAMILTON,1,1,0,0.0031,0.0055,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
