collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
LVNV FUNDING LLC,39,24,15,13.3%,14.3%,12.0%,16341,8848,7493,2.8%,3.9%,2.1%,2.6%,4.2%,0.0%,0.0%,0.0%,0.0%,35.9%,25.0%,53.3%
MIDLAND CREDIT MANAGEMENT INC,33,20,13,11.3%,11.9%,10.4%,34863,8374,26489,6.0%,3.7%,7.6%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,24.2%,15.0%,38.5%
PORTFOLIO RECOVERY ASSOCIATES LLC,21,10,11,7.2%,6.0%,8.8%,42014,33014,9000,7.3%,14.4%,2.6%,4.8%,0.0%,9.1%,0.0%,0.0%,0.0%,66.7%,70.0%,63.6%
DISCOVER BANK,15,12,3,5.1%,7.1%,2.4%,17481,17481,0,3.0%,7.6%,0.0%,20.0%,8.3%,66.7%,0.0%,0.0%,0.0%,46.7%,58.3%,0.0%
CAPITAL ONE BANK (USA) NA,13,11,2,4.4%,6.5%,1.6%,17799,17799,0,3.1%,7.8%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,38.5%,45.5%,0.0%
CROWN ASSET MANAGEMENT LLC,10,6,4,3.4%,3.6%,3.2%,5766,4863,903,1.0%,2.1%,0.3%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,50.0%,16.7%,100.0%
NEW WORLD COLLECTIONS INC,9,2,7,3.1%,1.2%,5.6%,10273,843,9430,1.8%,0.4%,2.7%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,66.7%,50.0%,71.4%
MARINER FINANCE LLC SUCCESSOR IN INTEREST TO PERSONAL FINANCE COMPANY LLC,9,4,5,3.1%,2.4%,4.0%,30218,19146,11072,5.2%,8.4%,3.2%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,44.4%,50.0%,40.0%
CITIBANK NA,9,8,1,3.1%,4.8%,0.8%,6020,3692,2329,1.0%,1.6%,0.7%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,33.3%,25.0%,100.0%
MIDLAND FUNDING LLC,8,0,8,2.7%,0.0%,6.4%,755,0,755,0.1%,0.0%,0.2%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,25.0%,0.0%,25.0%
TD BANK USA NA,8,8,0,2.7%,4.8%,0.0%,2139,2139,0,0.4%,0.9%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,37.5%,37.5%,0.0%
JEFFERSON CAPITAL SYSTEMS LLC,7,2,5,2.4%,1.2%,4.0%,1958,1227,731,0.3%,0.5%,0.2%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,42.9%,50.0%,40.0%
ONEMAIN FINANCIAL GROUP LLC,7,3,4,2.4%,1.8%,3.2%,50918,14439,36479,8.8%,6.3%,10.4%,14.3%,33.3%,0.0%,0.0%,0.0%,0.0%,57.1%,66.7%,50.0%
SYNCHRONY BANK,6,6,0,2.0%,3.6%,0.0%,9018,9018,0,1.6%,3.9%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,50.0%,50.0%,0.0%
BANK OF AMERICA NA,5,1,4,1.7%,0.6%,3.2%,0,0,0,0.0%,0.0%,0.0%,40.0%,0.0%,50.0%,0.0%,0.0%,0.0%,20.0%,0.0%,25.0%
SECOND ROUND SUB LLC,5,0,5,1.7%,0.0%,4.0%,3372,0,3372,0.6%,0.0%,1.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,60.0%,0.0%,60.0%
CAVALRY SPV I LLC,4,2,2,1.4%,1.2%,1.6%,2018,0,2018,0.3%,0.0%,0.6%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,50.0%,0.0%,100.0%
DNF ASSOCIATES LLC,4,4,0,1.4%,2.4%,0.0%,1600,1600,0,0.3%,0.7%,0.0%,25.0%,25.0%,0.0%,0.0%,0.0%,0.0%,50.0%,50.0%,0.0%
TD BANK USA NA AS SUCCESSOR IN INTEREST TO TARGET NATIONAL BANK,4,4,0,1.4%,2.4%,0.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,25.0%,25.0%,0.0%
NO PLAINTIFF FOUND,3,0,3,1.0%,0.0%,2.4%,0,0,0,0.0%,0.0%,0.0%,33.3%,0.0%,33.3%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
FORD MOTOR CREDIT COMPANY LLC,3,1,2,1.0%,0.6%,1.6%,2119,0,2119,0.4%,0.0%,0.6%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,66.7%,0.0%,100.0%
ABSOLUTE RESOLUTIONS INVESTMENTS LLC,3,2,1,1.0%,1.2%,0.8%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
MIDLAND CREDIT MANAGEMENTINC,3,1,2,1.0%,0.6%,1.6%,6149,0,6149,1.1%,0.0%,1.8%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,33.3%,0.0%,50.0%
PROFESSIONAL FINANCIAL SERVICES OF INDIANA LLC,3,3,0,1.0%,1.8%,0.0%,2669,2669,0,0.5%,1.2%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,33.3%,33.3%,0.0%
GOLDMAN SACHS BANK USA,3,3,0,1.0%,1.8%,0.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
FORUM CREDIT UNION,2,1,1,0.7%,0.6%,0.8%,10130,0,10130,1.8%,0.0%,2.9%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
MILLER'S HEALTH SYSTEMS INC,2,0,2,0.7%,0.0%,1.6%,67902,0,67902,11.7%,0.0%,19.4%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,50.0%,0.0%,50.0%
DRIVE NOW AUTO CREDIT COMPANY INC,2,2,0,0.7%,1.2%,0.0%,10803,10803,0,1.9%,4.7%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,50.0%,50.0%,0.0%
PRESTIGE FINANCIAL SERVICES,2,2,0,0.7%,1.2%,0.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
COMMUNITYWIDE FCU,2,2,0,0.7%,1.2%,0.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
ROSS EDUCATION LLC,1,0,1,0.3%,0.0%,0.8%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
SOLIDARITY COMMUNITY FEDERAL CREDIT UNION,1,0,1,0.3%,0.0%,0.8%,17238,0,17238,3.0%,0.0%,4.9%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
BARCLAYS BANK DELAWARE,1,0,1,0.3%,0.0%,0.8%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
TIPTON BUILDING SUPPLIES LLC,1,0,1,0.3%,0.0%,0.8%,12995,0,12995,2.2%,0.0%,3.7%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
