collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
lvnv funding llc,44,5,39,19.6%,16.7%,20.1%,0,0,0,0%,0%,0%,2.3%,0.0%,2.6%,40.9%,40.0%,41.0%,86.4%,60.0%,89.7%
southeast missouri hospital association,21,5,16,9.4%,16.7%,8.2%,0,0,0,0%,0%,0%,14.3%,0.0%,18.8%,23.8%,20.0%,25.0%,81.0%,60.0%,87.5%
portfolio recovery associates llc,20,2,18,8.9%,6.7%,9.3%,0,0,0,0%,0%,0%,5.0%,50.0%,0.0%,30.0%,50.0%,27.8%,100.0%,100.0%,100.0%
midland credit management inc,18,1,17,8.0%,3.3%,8.8%,0,0,0,0%,0%,0%,0.0%,0.0%,0.0%,50.0%,100.0%,47.1%,77.8%,100.0%,76.5%
midland funding llc,17,5,12,7.6%,16.7%,6.2%,0,0,0,0%,0%,0%,5.9%,0.0%,8.3%,47.1%,60.0%,41.7%,100.0%,100.0%,100.0%
citibank na,7,1,6,3.1%,3.3%,3.1%,0,0,0,0%,0%,0%,14.3%,0.0%,16.7%,28.6%,0.0%,33.3%,100.0%,100.0%,100.0%
kennett hma llc,6,0,6,2.7%,0.0%,3.1%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,16.7%,0%,16.7%,83.3%,0%,83.3%
poplar bluff regional medical center llc,6,1,5,2.7%,3.3%,2.6%,0,0,0,0%,0%,0%,0.0%,0.0%,0.0%,16.7%,0.0%,20.0%,83.3%,100.0%,80.0%
cavalry spv i llc,6,0,6,2.7%,0.0%,3.1%,0,0,0,0%,0%,0%,33.3%,0%,33.3%,50.0%,0%,50.0%,100.0%,0%,100.0%
lvnv funding,4,0,4,1.8%,0.0%,2.1%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,50.0%,0%,50.0%,100.0%,0%,100.0%
poplar bluff regional medical center,4,1,3,1.8%,3.3%,1.5%,0,0,0,0%,0%,0%,0.0%,0.0%,0.0%,50.0%,0.0%,66.7%,100.0%,100.0%,100.0%
poplar bluff regional medical center llc d/b/a poplar bluff,4,0,4,1.8%,0.0%,2.1%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,50.0%,0%,50.0%,100.0%,0%,100.0%
