collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
LVNV FUNDING LLC,989,516,473,0.30,0.42,0.23,85857,1467,84390,0.20,0.11,0.20,0.0010,0.0019,0.0,0.64,0.56,0.72,0.83,0.73,0.93
PORTFOLIO RECOVERY ASSOCIATES LLC,545,77,468,0.17,0.063,0.23,116725,0,116725,0.27,0.0,0.28,0.0018,0.0,0.0021,0.72,0.47,0.76,0.92,0.65,0.97
MIDLAND FUNDING LLC,359,5,354,0.11,0.0041,0.17,51711,0,51711,0.12,0.0,0.12,0.0,0.0,0.0,0.83,0.80,0.83,0.99,1.0,0.99
MIDLAND CREDIT MANAGEMENT INC,307,230,77,0.094,0.19,0.038,19459,0,19459,0.045,0.0,0.047,0.0,0.0,0.0,0.66,0.60,0.84,0.81,0.75,0.99
CAVALRY SPV I LLC,282,93,189,0.087,0.076,0.093,58842,0,58842,0.14,0.0,0.14,0.0,0.0,0.0,0.68,0.59,0.73,0.90,0.74,0.98
JEFFERSON CAPITAL SYSTEMS LLC,212,60,152,0.065,0.049,0.075,28854,0,28854,0.067,0.0,0.069,0.0,0.0,0.0,0.70,0.48,0.78,0.90,0.73,0.97
CROWN ASSET MANAGEMENT LLC,61,57,4,0.019,0.047,0.0020,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.53,0.75,0.72,0.70,1.0
UNIFUND CORPORATION,47,5,42,0.014,0.0041,0.021,29447,0,29447,0.069,0.0,0.071,0.0,0.0,0.0,0.68,0.80,0.67,0.96,0.80,0.98
CREDIT MANAGEMENT CORPORATION,44,23,21,0.014,0.019,0.010,720,0,720,0.0017,0.0,0.0017,0.0,0.0,0.0,0.61,0.57,0.67,0.77,0.57,1.0
SECOND ROUND SUB LLC ASSIGNEE OF COMENITY BANK,27,0,27,0.0083,0.0,0.013,3434,0,3434,0.0080,0.0,0.0083,0.037,0.0,0.037,0.63,0.0,0.63,0.81,0.0,0.81
SECOND ROUND SUB LLC ASSIGNEE OF COMENITY CAPITAL BANK,23,0,23,0.0071,0.0,0.011,1182,0,1182,0.0027,0.0,0.0028,0.0,0.0,0.0,0.78,0.0,0.78,0.91,0.0,0.91
DNF ASSOCIATES LLC,23,23,0,0.0071,0.019,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.35,0.0,0.48,0.48,0.0
ABSOLUTE RESOLUTIONS INVESTMENTS LLC,22,7,15,0.0068,0.0057,0.0074,2577,0,2577,0.0060,0.0,0.0062,0.0,0.0,0.0,0.55,0.43,0.60,0.86,0.57,1.0
UNIFUND CORP.,21,4,17,0.0064,0.0033,0.0084,824,0,824,0.0019,0.0,0.0020,0.0,0.0,0.0,0.86,0.75,0.88,1.0,1.0,1.0
SECOND ROUND SUB LLC,20,15,5,0.0061,0.012,0.0025,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.80,0.73,1.0,0.85,0.80,1.0
JH CX LIQUIDATING TRUST ASSIGNEE OF JH PORTFOLIO DEBT EQUITIES LLC,20,20,0,0.0061,0.016,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.50,0.50,0.0,0.70,0.70,0.0
CREDIT CORP SOLUTIONS INC,17,16,1,0.0052,0.013,0.00049,0,0,0,0.0,0.0,0.0,0.059,0.0,1.0,0.41,0.44,0.0,0.65,0.63,1.0
SECOND ROUND SUB LLC ASSIGNEE OF SYNCHRONY BANK,16,0,16,0.0049,0.0,0.0079,3842,0,3842,0.0089,0.0,0.0092,0.0,0.0,0.0,0.56,0.0,0.56,0.75,0.0,0.75
JH MET SUBSIDIARY B LIQUIDATING TRUST ASSIGNEE OF JH PORTFOLIO DEBT EQUITIES LLC,15,14,1,0.0046,0.011,0.00049,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.60,0.57,1.0,0.80,0.79,1.0
CREDIT CORP SOLUTIONS INC ASSIGNEE OF SYNCHRONY BANK,13,4,9,0.0040,0.0033,0.0044,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.69,0.50,0.78,0.92,0.75,1.0
DISCOVER BANK,13,3,10,0.0040,0.0025,0.0049,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.0,0.60,0.54,0.0,0.70
CROWN ASSET MANAGEMENT LLC ASSIGNEE OF SYNCHRONY BANK,12,0,12,0.0037,0.0,0.0059,1061,0,1061,0.0025,0.0,0.0026,0.0,0.0,0.0,0.58,0.0,0.58,0.92,0.0,0.92
CROWN ASSET MANAGEMENT LLC ASSIGNEE OF COMENITY BANK,12,0,12,0.0037,0.0,0.0059,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.67,0.83,0.0,0.83
LAUREL WREATH ACQUISITIONS LLC,11,2,9,0.0034,0.0016,0.0044,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,1.0,0.44,1.0,1.0,1.0
