collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
LVNV FUNDING LLC,104,68,36,16.3%,18.6%,13.2%,22415,19208,3207,1.4%,3.0%,0.3%,5.8%,7.4%,2.8%,0.0%,0.0%,0.0%,12.5%,13.2%,11.1%
MIDLAND CREDIT MANAGEMENT INC,61,40,21,9.5%,10.9%,7.7%,37883,27359,10524,2.3%,4.3%,1.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,27.9%,27.5%,28.6%
PORTFOLIO RECOVERY ASSOCIATES LLC,55,19,36,8.6%,5.2%,13.2%,47564,3522,44042,2.9%,0.6%,4.4%,1.8%,5.3%,0.0%,0.0%,0.0%,0.0%,36.4%,10.5%,50.0%
DISCOVER BANK,36,25,11,5.6%,6.8%,4.0%,66336,26476,39861,4.0%,4.2%,4.0%,8.3%,8.0%,9.1%,0.0%,0.0%,0.0%,27.8%,16.0%,54.5%
CAPITAL ONE BANK (USA) NA,33,25,8,5.2%,6.8%,2.9%,28280,22612,5669,1.7%,3.6%,0.6%,12.1%,16.0%,0.0%,0.0%,0.0%,0.0%,48.5%,52.0%,37.5%
NEW WORLD COLLECTIONS INC,24,5,19,3.8%,1.4%,7.0%,29603,3695,25908,1.8%,0.6%,2.6%,12.5%,60.0%,0.0%,0.0%,0.0%,0.0%,54.2%,20.0%,63.2%
JEFFERSON CAPITAL SYSTEMS LLC,24,13,11,3.8%,3.6%,4.0%,20894,11916,8979,1.3%,1.9%,0.9%,8.3%,15.4%,0.0%,0.0%,0.0%,0.0%,41.7%,23.1%,63.6%
SAC FINANCE INC,24,20,4,3.8%,5.5%,1.5%,63550,36421,27129,3.9%,5.7%,2.7%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,25.0%,15.0%,75.0%
CONNERSVILLE CREDIT BUREAU,20,12,8,3.1%,3.3%,2.9%,94971,58735,36236,5.8%,9.2%,3.6%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,65.0%,50.0%,87.5%
MARINER FINANCE LLC,18,11,7,2.8%,3.0%,2.6%,58404,30431,27972,3.6%,4.8%,2.8%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,50.0%,45.5%,57.1%
CITIBANK NA,17,5,12,2.7%,1.4%,4.4%,29145,5223,23922,1.8%,0.8%,2.4%,11.8%,40.0%,0.0%,0.0%,0.0%,0.0%,52.9%,60.0%,50.0%
CROWN ASSET MANAGEMENT LLC,16,6,10,2.5%,1.6%,3.7%,18624,3253,15371,1.1%,0.5%,1.5%,12.5%,33.3%,0.0%,0.0%,0.0%,0.0%,75.0%,50.0%,90.0%
