collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
LVNV FUNDING LLC,63,48,15,0.11,0.14,0.076,55214,23531,31683,0.034,0.034,0.034,0.048,0.042,0.067,0.0,0.0,0.0,0.60,0.50,0.93
WOODLAWN HOSPITAL,59,42,17,0.11,0.12,0.086,183185,95190,87995,0.11,0.14,0.094,0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.38,0.94
MIDLAND CREDIT MANAGEMENT INC,53,36,17,0.096,0.10,0.086,72035,31542,40493,0.044,0.046,0.043,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.25,0.76
PORTFOLIO RECOVERY ASSOCIATES LLC,37,22,15,0.067,0.062,0.076,24828,11189,13639,0.015,0.016,0.015,0.027,0.0,0.067,0.0,0.0,0.0,0.54,0.32,0.87
CAPITAL ONE BANK (USA) NA,30,19,11,0.054,0.054,0.056,80874,49597,31278,0.050,0.072,0.034,0.0,0.0,0.0,0.0,0.0,0.0,0.80,0.79,0.82
COMMUNITYWIDE FEDERAL CREDIT UNION,29,18,11,0.053,0.051,0.056,104876,424,104452,0.065,0.00061,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.82
JEFFERSON CAPITAL SYSTEMS LLC,22,13,9,0.040,0.037,0.046,27566,692,26874,0.017,0.0010,0.029,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.15,0.89
DISCOVER BANK,21,16,5,0.038,0.045,0.025,96087,61111,34976,0.059,0.089,0.037,0.095,0.063,0.20,0.0,0.0,0.0,0.62,0.50,1.0
SAC FINANCE INC,15,9,6,0.027,0.025,0.030,77463,11319,66144,0.048,0.016,0.071,0.0,0.0,0.0,0.0,0.0,0.0,0.60,0.33,1.0
CROWN ASSET MANAGEMENT LLC,13,11,2,0.024,0.031,0.010,4167,1489,2678,0.0026,0.0022,0.0029,0.077,0.0,0.50,0.0,0.0,0.0,0.54,0.45,1.0
CITIBANK NA,11,9,2,0.020,0.025,0.010,33198,28240,4959,0.020,0.041,0.0053,0.18,0.22,0.0,0.0,0.0,0.0,0.73,0.67,1.0
ONEMAIN FINANCIAL GROUP LLC,10,6,4,0.018,0.017,0.020,54105,36273,17832,0.033,0.053,0.019,0.0,0.0,0.0,0.0,0.0,0.0,0.80,0.67,1.0
MIDLAND FUNDING LLC,8,0,8,0.014,0.0,0.041,12414,0,12414,0.0076,0.0,0.013,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
WOODLAWN HOSPITAL & WOODLAWN MEDICAL PROFESSIONALS,8,2,6,0.014,0.0056,0.030,87391,30800,56591,0.054,0.045,0.061,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
CREDIT ACCEPTANCE CORP.,7,6,1,0.013,0.017,0.0051,7352,0,7352,0.0045,0.0,0.0079,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,1.0
UNIFUND CCR LLC,6,3,3,0.011,0.0085,0.015,3971,0,3971,0.0024,0.0,0.0043,0.0,0.0,0.0,0.0,0.0,0.0,0.50,0.33,0.67
DRIVE NOW AUTO CREDIT COMPANY INC,6,5,1,0.011,0.014,0.0051,39917,30680,9237,0.025,0.044,0.0099,0.17,0.20,0.0,0.0,0.0,0.0,0.83,0.80,1.0
CAVALRY SPV I LLC,6,4,2,0.011,0.011,0.010,1746,1746,0,0.0011,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.25,0.50
PULASKI MEMORIAL HOSPITAL,5,2,3,0.0091,0.0056,0.015,37207,24344,12863,0.023,0.035,0.014,0.0,0.0,0.0,0.0,0.0,0.0,0.60,0.50,0.67
ORBIT LEASING INC,5,4,1,0.0091,0.011,0.0051,22772,14022,8751,0.014,0.020,0.0094,0.0,0.0,0.0,0.0,0.0,0.0,0.60,0.50,1.0
BANK OF AMERICA NA,5,5,0,0.0091,0.014,0.0,16005,16005,0,0.0099,0.023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40,0.40,0.0
MARINER FINANCE LLC SUCCESSOR IN INTEREST TO PERSONAL FINANCE COMPANY LLC,4,2,2,0.0072,0.0056,0.010,10590,4117,6473,0.0065,0.0060,0.0069,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.50,1.0
