collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
LVNV FUNDING LLC,18,13,5,0.11,0.14,0.078,7371,4361,3010,0.022,0.024,0.020,0.11,0.0,0.40,0.0,0.0,0.0,0.44,0.38,0.60
PORTFOLIO RECOVERY ASSOCIATES LLC,15,8,7,0.094,0.084,0.11,11123,3724,7399,0.034,0.021,0.049,0.0,0.0,0.0,0.0,0.0,0.0,0.60,0.25,1.0
MIDLAND CREDIT MANAGEMENT INC,11,8,3,0.069,0.084,0.047,5130,1887,3243,0.015,0.011,0.021,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.38,1.0
JEFFERSON CAPITAL SYSTEMS LLC,10,3,7,0.063,0.032,0.11,19420,991,18428,0.059,0.0055,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.80,0.67,0.86
DISCOVER BANK,10,7,3,0.063,0.074,0.047,26544,3141,23403,0.080,0.018,0.15,0.10,0.0,0.33,0.0,0.0,0.0,0.40,0.14,1.0
CAPITAL ONE BANK (USA) NA,8,4,4,0.050,0.042,0.063,36536,6578,29958,0.11,0.037,0.20,0.13,0.25,0.0,0.0,0.0,0.0,0.88,1.0,0.75
ONE ADVANTAGE LLC,6,3,3,0.038,0.032,0.047,8121,3881,4240,0.025,0.022,0.028,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.33,1.0
CITIBANK NA,5,2,3,0.031,0.021,0.047,11731,0,11731,0.035,0.0,0.077,0.20,0.50,0.0,0.0,0.0,0.0,0.80,0.50,1.0
UNIFUND CCR LLC,5,1,4,0.031,0.011,0.063,10093,0,10093,0.030,0.0,0.066,0.0,0.0,0.0,0.0,0.0,0.0,0.80,0.0,1.0
TRIHEALTH INC,4,3,1,0.025,0.032,0.016,1389,0,1389,0.0042,0.0,0.0091,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,1.0
SAC FINANCE INC,4,3,1,0.025,0.032,0.016,13738,10251,3487,0.042,0.057,0.023,0.0,0.0,0.0,0.0,0.0,0.0,0.50,0.33,1.0
ONEMAIN FINANCIAL GROUP LLC,4,3,1,0.025,0.032,0.016,13851,13851,0,0.042,0.077,0.0,0.25,0.33,0.0,0.0,0.0,0.0,0.75,1.0,0.0
AUTOVEST LLC OF INDIANA,3,3,0,0.019,0.032,0.0,15719,15719,0,0.047,0.088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
TD BANK USA NA,3,2,1,0.019,0.021,0.016,1294,0,1294,0.0039,0.0,0.0085,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.50,1.0
CAVALRY SPV I LLC,3,2,1,0.019,0.021,0.016,4213,0,4213,0.013,0.0,0.028,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.50,0.0
SYNCHRONY BANK,2,1,1,0.013,0.011,0.016,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.50,0.0,1.0
MARINER FINANCE LLC,2,1,1,0.013,0.011,0.016,2639,0,2639,0.0080,0.0,0.017,0.0,0.0,0.0,0.0,0.0,0.0,0.50,0.0,1.0
VANDERBILT MORTGAGE & FINANCE INC,2,1,1,0.013,0.011,0.016,0,0,0,0.0,0.0,0.0,0.50,1.0,0.0,0.0,0.0,0.0,0.50,0.0,1.0
MIDLAND FUNDING LLC,2,0,2,0.013,0.0,0.031,2702,0,2702,0.0082,0.0,0.018,0.0,0.0,0.0,0.0,0.0,0.0,0.50,0.0,0.50
CROWN ASSET MANAGEMENT LLC,2,1,1,0.013,0.011,0.016,0,0,0,0.0,0.0,0.0,0.50,0.0,1.0,0.0,0.0,0.0,0.50,0.0,1.0
SECOND ROUND SUB LLC,2,1,1,0.013,0.011,0.016,1604,0,1604,0.0048,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.50,0.0,1.0
VELOCITY INVESTMENTS LLC ASSIGNEE OF PROSPER FUNDING LLC ASSIGNEE OF WEBBANK,2,2,0,0.013,0.021,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.50,0.50,0.0
DNF ASSOCIATES LLC,2,2,0,0.013,0.021,0.0,1450,1450,0,0.0044,0.0081,0.0,0.50,0.50,0.0,0.0,0.0,0.0,0.50,0.50,0.0
CREDIT CORP SOLUTIONS INC,2,1,1,0.013,0.011,0.016,3358,1420,1938,0.010,0.0079,0.013,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
CREDITMAX INC,1,0,1,0.0063,0.0,0.016,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
CAVALRY SPV I LLC AS ASSIGNEE OF SYNCHRONY BANK,1,0,1,0.0063,0.0,0.016,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
CREDIT ACCEPTANCE CORP.,1,0,1,0.0063,0.0,0.016,8039,0,8039,0.024,0.0,0.053,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
BARCLAYS BANK DELAWARE,1,0,1,0.0063,0.0,0.016,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
CAVALRY SPV ILLC,1,0,1,0.0063,0.0,0.016,1510,0,1510,0.0046,0.0,0.0099,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
BANK OF AMERICA NA,1,0,1,0.0063,0.0,0.016,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
CAVALRY SPV I LLC AS ASSIGNEE OF CITIBANK NA,1,0,1,0.0063,0.0,0.016,1923,0,1923,0.0058,0.0,0.013,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
FINANCE SYSTEM OF RICHMOND INC,1,1,0,0.0063,0.011,0.0,9337,9337,0,0.028,0.052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
FORUM CREDIT UNION,1,1,0,0.0063,0.011,0.0,10200,10200,0,0.031,0.057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
CAPITAL ASSET MANAGEMENT INC,1,1,0,0.0063,0.011,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
WHITEWATER REGIONAL FEDERAL CREDIT UNION,1,1,0,0.0063,0.011,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
THREE RIVERS FEDERAL CREDIT UNION,1,1,0,0.0063,0.011,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNAP-ON CREDIT LLC,1,1,0,0.0063,0.011,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U.S. BANK NATIONAL ASSOCIATION,1,1,0,0.0063,0.011,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AMERICAN EXPRESS NATIONAL BANK,1,1,0,0.0063,0.011,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUTOVEST L.L.C OF INDIANA,1,1,0,0.0063,0.011,0.0,5990,5990,0,0.018,0.034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
EAGLE LOAN COMPANY OF OHIO,1,1,0,0.0063,0.011,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TD BANK USA NA AS SUCCESSOR IN INTEREST TO TARGET NATIONAL BANK,1,1,0,0.0063,0.011,0.0,2154,2154,0,0.0065,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
CKS PRIME INVESTMENTS LLC,1,1,0,0.0063,0.011,0.0,6856,6856,0,0.021,0.038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
GALAXY INTERNATIONAL PURCHASING LLC,1,1,0,0.0063,0.011,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RENT TO OWN RENTALS LLC,1,1,0,0.0063,0.011,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WELLS FARGO BANK NA,1,0,1,0.0063,0.0,0.016,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SAC FINANCE,1,0,1,0.0063,0.0,0.016,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
CONNERSVILLE CREDIT BUREAU,1,0,1,0.0063,0.0,0.016,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VELOCITY INVESTMENTS LLC,1,1,0,0.0063,0.011,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
