collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
midland credit management inc,14,4,10,18.2%,44.4%,14.7%,0,0,0,0%,0%,0%,7.1%,25.0%,0.0%,28.6%,0.0%,40.0%,100.0%,100.0%,100.0%
professional credit management inc,12,0,12,15.6%,0.0%,17.6%,0,0,0,0%,0%,0%,8.3%,0%,8.3%,33.3%,0%,33.3%,100.0%,0%,100.0%
lvnv funding llc,12,2,10,15.6%,22.2%,14.7%,0,0,0,0%,0%,0%,0.0%,0.0%,0.0%,25.0%,50.0%,20.0%,75.0%,50.0%,80.0%
portfolio recovery associates llc,8,1,7,10.4%,11.1%,10.3%,0,0,0,0%,0%,0%,0.0%,0.0%,0.0%,25.0%,0.0%,28.6%,100.0%,100.0%,100.0%
portfolio recovery assoc.,7,0,7,9.1%,0.0%,10.3%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,57.1%,0%,57.1%,100.0%,0%,100.0%
capital one bank (usa) na,3,0,3,3.9%,0.0%,4.4%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,33.3%,0%,33.3%,100.0%,0%,100.0%
heights finance corporation,3,2,1,3.9%,22.2%,1.5%,0,0,0,0%,0%,0%,0.0%,0.0%,0.0%,33.3%,0.0%,100.0%,66.7%,50.0%,100.0%
midland funding llc,2,0,2,2.6%,0.0%,2.9%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
professional credit management inc petitioner,2,0,2,2.6%,0.0%,2.9%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
jefferson capital systems llc,2,0,2,2.6%,0.0%,2.9%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
cavalry spv i llc,2,0,2,2.6%,0.0%,2.9%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
citibank na,2,0,2,2.6%,0.0%,2.9%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
jp morgan chase bank na,2,0,2,2.6%,0.0%,2.9%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,0.0%,0%,0.0%,50.0%,0%,50.0%
midland funding,2,0,2,2.6%,0.0%,2.9%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
onemain financial group llc,1,0,1,1.3%,0.0%,1.5%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,100.0%,0%,100.0%,100.0%,0%,100.0%
cach llc,1,0,1,1.3%,0.0%,1.5%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
bank of america st louis,1,0,1,1.3%,0.0%,1.5%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
weber industries inc,1,0,1,1.3%,0.0%,1.5%,0,0,0,0%,0%,0%,100.0%,0%,100.0%,0.0%,0%,0.0%,0.0%,0%,0.0%
