collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
LVNV FUNDING LLC,1156,780,376,0.24,0.28,0.18,0,0,0,0.0,0.0,0.0,0.032,0.035,0.027,0.33,0.30,0.37,0.86,0.79,1.0
MIDLAND CREDIT MANAGEMENT INC,724,395,329,0.15,0.14,0.16,0,0,0,0.0,0.0,0.0,0.051,0.043,0.061,0.36,0.28,0.46,0.86,0.76,0.98
PORTFOLIO RECOVERY ASSOCIATES LLC,614,232,382,0.13,0.084,0.18,0,0,0,0.0,0.0,0.0,0.064,0.069,0.060,0.28,0.22,0.31,0.92,0.81,0.99
CAVALRY SPV I LLC,234,111,123,0.049,0.040,0.060,0,0,0,0.0,0.0,0.0,0.077,0.081,0.073,0.30,0.28,0.32,0.92,0.84,0.99
CAPITAL ONE BANK USA NA,192,151,41,0.040,0.055,0.020,0,0,0,0.0,0.0,0.0,0.063,0.066,0.049,0.34,0.36,0.29,0.78,0.72,1.0
MIDLAND FUNDING LLC,166,36,130,0.034,0.013,0.063,0,0,0,0.0,0.0,0.0,0.072,0.056,0.077,0.30,0.19,0.33,0.97,0.92,0.98
BANK OF AMERICA NA,159,80,79,0.033,0.029,0.038,0,0,0,0.0,0.0,0.0,0.094,0.087,0.10,0.38,0.36,0.39,0.92,0.85,0.99
JEFFERSON CAPITAL SYSTEMS LLC,157,127,30,0.033,0.046,0.015,0,0,0,0.0,0.0,0.0,0.038,0.024,0.10,0.37,0.37,0.37,0.87,0.84,1.0
CITIBANK NA,144,88,56,0.030,0.032,0.027,0,0,0,0.0,0.0,0.0,0.14,0.10,0.20,0.24,0.26,0.20,0.88,0.81,0.98
MM FINANCE LLC,142,76,66,0.030,0.028,0.032,0,0,0,0.0,0.0,0.0,0.021,0.026,0.015,0.38,0.30,0.47,0.87,0.76,0.98
JP MORGAN CHASE BANK NA,66,34,32,0.014,0.012,0.015,0,0,0,0.0,0.0,0.0,0.15,0.18,0.13,0.27,0.24,0.31,0.89,0.82,0.97
TD BANK USA NA,64,56,8,0.013,0.020,0.0039,0,0,0,0.0,0.0,0.0,0.11,0.13,0.0,0.30,0.32,0.13,0.89,0.88,1.0
ABSOLUTE RESOLUTIONS INVESTMENTS LLC,57,24,33,0.012,0.0087,0.016,0,0,0,0.0,0.0,0.0,0.088,0.13,0.061,0.39,0.38,0.39,0.89,0.79,0.97
WAKEFIELD AND ASSOCIATES INC,54,18,36,0.011,0.0066,0.017,0,0,0,0.0,0.0,0.0,0.019,0.0,0.028,0.43,0.28,0.50,0.83,0.50,1.0
CASH LINK USA LLC,51,31,20,0.011,0.011,0.0097,0,0,0,0.0,0.0,0.0,0.020,0.032,0.0,0.39,0.32,0.50,0.84,0.74,1.0
