collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
LVNV FUNDING LLC,254,159,95,0.17,0.19,0.14,0,0,0,0.0,0.0,0.0,0.0079,0.0063,0.011,0.24,0.16,0.38,0.61,0.39,0.99
MIDLAND CREDIT MANAGEMENT INC,156,94,62,0.11,0.11,0.094,0,0,0,0.0,0.0,0.0,0.0064,0.011,0.0,0.26,0.20,0.35,0.69,0.50,0.97
CAPITAL ONE BANK (USA) NA,86,56,30,0.058,0.068,0.045,0,0,0,0.0,0.0,0.0,0.023,0.036,0.0,0.29,0.27,0.33,0.73,0.63,0.93
PORTFOLIO RECOVERY ASSOCIATES LLC,85,23,62,0.057,0.028,0.094,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.37,0.81,0.30,1.0
CAVALRY SPV I LLC,62,40,22,0.042,0.049,0.033,0,0,0,0.0,0.0,0.0,0.032,0.025,0.045,0.27,0.25,0.32,0.60,0.40,0.95
WAKEFIELD & ASSOCIATES INC,56,23,33,0.038,0.028,0.050,0,0,0,0.0,0.0,0.0,0.036,0.0,0.061,0.21,0.13,0.27,0.73,0.35,1.0
MIDLAND FUNDING LLC,55,5,50,0.037,0.0061,0.075,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.40,0.93,0.40,0.98
CLEAR RECOVERY INC,54,28,26,0.036,0.034,0.039,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.25,0.38,0.76,0.57,0.96
CITIBANK NA,50,33,17,0.034,0.040,0.026,0,0,0,0.0,0.0,0.0,0.080,0.030,0.18,0.16,0.091,0.29,0.58,0.36,1.0
BANK OF AMERICA NA,41,25,16,0.028,0.031,0.024,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.16,0.31,0.54,0.28,0.94
PORTFOLIO RECOVERRY ASSOCIATES LLC,34,24,10,0.023,0.029,0.015,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.21,0.10,0.85,0.79,1.0
DISCOVER BANK,34,28,6,0.023,0.034,0.0090,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.18,0.33,0.74,0.68,1.0
JP MORGAN CHASE BANK NA,30,15,15,0.020,0.018,0.023,0,0,0,0.0,0.0,0.0,0.10,0.067,0.13,0.30,0.27,0.33,0.80,0.67,0.93
PORTFOLIO RECOVERY,27,6,21,0.018,0.0073,0.032,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.14,0.89,0.50,1.0
MIDWESTERN HEALTH MANAGEMENT,24,17,7,0.016,0.021,0.011,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.059,0.57,0.63,0.47,1.0
JEFFERSON CAPITAL SYSTEMS LLC,24,20,4,0.016,0.024,0.0060,0,0,0,0.0,0.0,0.0,0.042,0.0,0.25,0.50,0.45,0.75,0.67,0.60,1.0
TD BANK USA NA,22,20,2,0.015,0.024,0.0030,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.091,0.10,0.0,0.32,0.25,1.0
METRO EMERGENCY PHYSICIANS LLC,22,0,22,0.015,0.0,0.033,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.0,0.41,1.0,0.0,1.0
THE BOARD OF TRUSTEES OF NKC HOSPITAL,18,14,4,0.012,0.017,0.0060,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.29,1.0,0.83,0.79,1.0
CASH LINK USA LLC,16,10,6,0.011,0.012,0.0090,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.20,0.50,0.56,0.30,1.0
MIDLAND CREDIT MANAG,16,16,0,0.011,0.020,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.13,0.0,0.19,0.19,0.0
THE BOARD OF TRUSTEES OF NORTH KANSAS CITY HOSPITAL,16,16,0,0.011,0.020,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.063,0.063,0.0,0.31,0.31,0.0
BANK OF AMERICA,15,6,9,0.010,0.0073,0.014,0,0,0,0.0,0.0,0.0,0.067,0.0,0.11,0.33,0.33,0.33,0.80,0.83,0.78
VELOCITY INVESTMENTS LLC,14,8,6,0.0095,0.0098,0.0090,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.13,0.33,0.71,0.50,1.0
ABSOLUTE RESOLUTIONS INVESTMENTS LLC,14,9,5,0.0095,0.011,0.0075,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.11,0.20,0.79,0.78,0.80
CITY OF KANSAS CITY MISSOURI,12,7,5,0.0081,0.0086,0.0075,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.43,0.40,0.83,0.71,1.0
CASH LINK USA LLC DBA CASH LINK USA,10,6,4,0.0068,0.0073,0.0060,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.50,0.67,0.25,0.90,0.83,1.0
JPMORGAN CHASE BANK NA,9,9,0,0.0061,0.011,0.0,0,0,0,0.0,0.0,0.0,0.11,0.11,0.0,0.11,0.11,0.0,0.78,0.78,0.0
GENESIS HEALTH CLUBS LLC,8,0,8,0.0054,0.0,0.012,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.13,1.0,0.0,1.0
THE ETHANS APARTMENT MANAGEMENT LLC,8,3,5,0.0054,0.0037,0.0075,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,1.0,0.80
MM FINANCE LLC,7,3,4,0.0047,0.0037,0.0060,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.67,0.25,1.0,1.0,1.0
THE BOARD OF NORTH KANSAS CITY HOSPITAL,6,0,6,0.0041,0.0,0.0090,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.83,0.0,0.83,1.0,0.0,1.0
JEFFERSON CAPITAL SYSTEMS LLC (CHICAGO),6,0,6,0.0041,0.0,0.0090,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.50,0.0,0.50,1.0,0.0,1.0
CROWN ASSET MANAGEMENT LLC,6,5,1,0.0041,0.0061,0.0015,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.60,1.0
MIDWESTERN HEALTH MANAGEMENT INC,5,0,5,0.0034,0.0,0.0075,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
UNIVERSITY OF KANSAS HOSPITAL,5,4,1,0.0034,0.0049,0.0015,0,0,0,0.0,0.0,0.0,0.20,0.25,0.0,0.20,0.0,1.0,1.0,1.0,1.0
SIGNATURE BEHAVIORAL HOSPITAL OPERATIONS LLC,5,2,3,0.0034,0.0024,0.0045,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.40,0.50,0.33,1.0,1.0,1.0
UNIVERSITY OF KANSAS HOSPITAL AUTHORITY,5,5,0,0.0034,0.0061,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.20,0.20,0.0,0.20,0.20,0.0
BARCLAYS BANK DELAWARE,4,0,4,0.0027,0.0,0.0060,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,1.0,0.0,1.0
SECOND ROUND SUB LLC,4,0,4,0.0027,0.0,0.0060,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.50,0.0,0.50,1.0,0.0,1.0
JH MET SUBSIDIARY B LIQUIDATING TRUST,4,3,1,0.0027,0.0037,0.0015,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,1.0,0.75,0.67,1.0
CAPITAL ONE NA,4,4,0,0.0027,0.0049,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,1.0,1.0,0.0
FOX CREEK HOMES ASSOCIATION,3,0,3,0.0020,0.0,0.0045,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.67,1.0,0.0,1.0
CKS PRIME INVESTMENTS LLC,3,2,1,0.0020,0.0024,0.0015,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,1.0
WORLD ACCEPTANCE CORPORATION,3,2,1,0.0020,0.0024,0.0015,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,1.0
CVI SGP-CO ACQUISITION TRUST,3,2,1,0.0020,0.0024,0.0015,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.50,0.0,1.0,1.0,1.0
BY THE BLADE,3,1,2,0.0020,0.0012,0.0030,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.0,1.0
NCB MANAGEMENT SERVICES,3,1,2,0.0020,0.0012,0.0030,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.50,1.0,1.0,1.0
CITIBANKNA,3,1,2,0.0020,0.0012,0.0030,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,1.0,0.50,1.0,1.0,1.0
DENTISTRY FOR CHILDREN,3,2,1,0.0020,0.0024,0.0015,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,1.0,1.0,1.0,1.0
US BANK NATIONAL ASSOCIATION,3,2,1,0.0020,0.0024,0.0015,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,1.0,0.33,0.0,1.0
DEPARTMENT STORES NATIONAL BANK,3,3,0,0.0020,0.0037,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.67,0.0
JH MET SUBSIDAIRY B,3,3,0,0.0020,0.0037,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NATIONAL COLLEGIATE STUDENT LOAN TRUST 2006-2,2,1,1,0.0014,0.0012,0.0015,0,0,0,0.0,0.0,0.0,0.50,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
CACH LLC,2,0,2,0.0014,0.0,0.0030,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
SECOND ROUND LP,2,0,2,0.0014,0.0,0.0030,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
UNIVERSITY OF KANSAS HEALTH SYSTEM,2,0,2,0.0014,0.0,0.0030,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
CITY OF K.C. MO. DEPT OF CODES ADMINS. ET AL,2,0,2,0.0014,0.0,0.0030,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.50,0.0,0.50,1.0,0.0,1.0
UHG I LLC,2,1,1,0.0014,0.0012,0.0015,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.50,1.0,0.0,1.0,1.0,1.0
GENESIS HEALTH CLUBS,2,0,2,0.0014,0.0,0.0030,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
MIDLAND CREDIT MGT,2,1,1,0.0014,0.0012,0.0015,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
CREDIT CORP SOLUTIONS,2,0,2,0.0014,0.0,0.0030,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
BROOKWOOD LOANS OF MISSOURI LLC,2,1,1,0.0014,0.0012,0.0015,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.50,1.0,0.0,1.0,1.0,1.0
TIMBER RIDGE HOMEOWNERS ASSOCIATION INC,2,1,1,0.0014,0.0012,0.0015,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.50,0.0,1.0,1.0,1.0,1.0
JUST SAY CASH LLC,2,0,2,0.0014,0.0,0.0030,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.50,0.0,0.50,0.50,0.0,0.50
CVI SGP ACQUISITION TRUST,2,0,2,0.0014,0.0,0.0030,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
NORTH OAK FINANCIAL SERVICES INC,2,0,2,0.0014,0.0,0.0030,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
CREDIT CORP SOLUTIONS INC,2,1,1,0.0014,0.0012,0.0015,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.50,0.0,1.0
WORLD ACCEPTANCE CORP,2,2,0,0.0014,0.0024,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EVERGY INC,2,2,0,0.0014,0.0024,0.0,0,0,0,0.0,0.0,0.0,0.50,0.50,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SECURITY CREDIT SERVICES LLC,2,2,0,0.0014,0.0024,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.50,0.50,0.0
EASY CASH ASAP LLC,2,2,0,0.0014,0.0024,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
