collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
LVNV FUNDING LLC,127,77,50,0.17,0.19,0.15,101104,51982,49122,0.031,0.062,0.021,0.055,0.078,0.020,0.0,0.0,0.0,0.65,0.49,0.90
PORTFOLIO RECOVERY ASSOCIATES LLC,69,34,35,0.093,0.083,0.11,81278,42829,38449,0.025,0.051,0.016,0.12,0.21,0.029,0.0,0.0,0.0,0.59,0.44,0.74
MIDLAND CREDIT MANAGEMENT INC,68,37,31,0.092,0.090,0.095,87167,36922,50245,0.027,0.044,0.021,0.10,0.081,0.13,0.0,0.0,0.0,0.72,0.51,0.97
DISCOVER BANK,38,30,8,0.051,0.073,0.024,130833,88989,41844,0.041,0.11,0.018,0.29,0.30,0.25,0.0,0.0,0.0,0.55,0.43,1.0
CAPITAL ONE BANK (USA) NA,35,29,6,0.047,0.070,0.018,59222,46641,12581,0.018,0.056,0.0053,0.029,0.034,0.0,0.0,0.0,0.0,0.71,0.66,1.0
JEFFERSON CAPITAL SYSTEMS LLC,28,8,20,0.038,0.019,0.061,43911,6474,37437,0.014,0.0077,0.016,0.071,0.0,0.10,0.0,0.0,0.0,0.71,0.25,0.90
ONEMAIN FINANCIAL GROUP LLC,23,12,11,0.031,0.029,0.034,141476,67222,74254,0.044,0.080,0.031,0.22,0.42,0.0,0.0,0.0,0.0,0.83,0.67,1.0
COMMUNITYWIDE FEDERAL CREDIT UNION,23,10,13,0.031,0.024,0.040,1176539,0,1176539,0.37,0.0,0.50,0.087,0.10,0.077,0.0,0.0,0.0,0.39,0.0,0.69
CROWN ASSET MANAGEMENT LLC,18,12,6,0.024,0.029,0.018,31474,17879,13595,0.0098,0.021,0.0057,0.11,0.0,0.33,0.0,0.0,0.0,0.78,0.75,0.83
SYNCHRONY BANK,15,13,2,0.020,0.032,0.0061,19600,19600,0,0.0061,0.023,0.0,0.13,0.15,0.0,0.0,0.0,0.0,0.40,0.31,1.0
CITIBANK NA,14,8,6,0.019,0.019,0.018,27014,9406,17608,0.0084,0.011,0.0074,0.29,0.25,0.33,0.0,0.0,0.0,0.64,0.50,0.83
BANK OF AMERICA NA,14,8,6,0.019,0.019,0.018,97536,21561,75975,0.030,0.026,0.032,0.29,0.38,0.17,0.0,0.0,0.0,0.57,0.25,1.0
MIDLAND FUNDING LLC,11,0,11,0.015,0.0,0.034,17744,0,17744,0.0055,0.0,0.0075,0.091,0.0,0.091,0.0,0.0,0.0,0.91,0.0,0.91
MIDLAND CREDIT MANAGEMENTINC,10,2,8,0.014,0.0049,0.024,10688,1654,9034,0.0033,0.0020,0.0038,0.40,1.0,0.25,0.0,0.0,0.0,0.80,1.0,0.75
SAC FINANCE INC,10,7,3,0.014,0.017,0.0091,109842,73988,35854,0.034,0.088,0.015,0.20,0.29,0.0,0.0,0.0,0.0,0.90,0.86,1.0
UNIFUND CCR LLC,10,1,9,0.014,0.0024,0.027,17097,0,17097,0.0053,0.0,0.0072,0.30,1.0,0.22,0.0,0.0,0.0,0.90,0.0,1.0
GLENBROOK CREDIT ACCEPTANCE CORPORATION,9,4,5,0.012,0.0097,0.015,107563,27854,79709,0.033,0.033,0.034,0.0,0.0,0.0,0.0,0.0,0.0,0.78,0.50,1.0
ABSOLUTE RESOLUTIONS INVESTMENTS LLC,9,3,6,0.012,0.0073,0.018,46862,25809,21054,0.015,0.031,0.0089,0.11,0.0,0.17,0.0,0.0,0.0,0.89,0.67,1.0
CAVALRY SPV I LLC,9,5,4,0.012,0.012,0.012,33281,16464,16817,0.010,0.020,0.0071,0.22,0.20,0.25,0.0,0.0,0.0,0.89,0.80,1.0
WELLS FARGO BANK NA,8,6,2,0.011,0.015,0.0061,8328,8328,0,0.0026,0.0099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.17,1.0
