collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
midland credit management inc,13,1,12,20.0%,16.7%,20.3%,0,0,0,0%,0%,0%,0.0%,0.0%,0.0%,53.8%,100.0%,50.0%,100.0%,100.0%,100.0%
lvnv funding llc,8,1,7,12.3%,16.7%,11.9%,0,0,0,0%,0%,0%,0.0%,0.0%,0.0%,37.5%,0.0%,42.9%,75.0%,0.0%,85.7%
portfolio recovery associates llc,6,1,5,9.2%,16.7%,8.5%,0,0,0,0%,0%,0%,16.7%,0.0%,20.0%,33.3%,100.0%,20.0%,100.0%,100.0%,100.0%
midland funding llc,4,1,3,6.2%,16.7%,5.1%,0,0,0,0%,0%,0%,0.0%,0.0%,0.0%,50.0%,100.0%,33.3%,100.0%,100.0%,100.0%
city of winona,4,0,4,6.2%,0.0%,6.8%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,50.0%,0%,50.0%,100.0%,0%,100.0%
citibank na,4,0,4,6.2%,0.0%,6.8%,0,0,0,0%,0%,0%,50.0%,0%,50.0%,25.0%,0%,25.0%,100.0%,0%,100.0%
poplar bluff regional medical center,3,0,3,4.6%,0.0%,5.1%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
consumer adjustment company inc,2,0,2,3.1%,0.0%,3.4%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,100.0%,0%,100.0%,100.0%,0%,100.0%
cavalry spv i llc,2,0,2,3.1%,0.0%,3.4%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,50.0%,0%,50.0%,100.0%,0%,100.0%
professional credit management inc,2,0,2,3.1%,0.0%,3.4%,0,0,0,0%,0%,0%,50.0%,0%,50.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
simmons 1st bank,2,0,2,3.1%,0.0%,3.4%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,0.0%,0%,0.0%,50.0%,0%,50.0%
consumer adjustment co inc,1,0,1,1.5%,0.0%,1.7%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,100.0%,0%,100.0%,100.0%,0%,100.0%
lester e cox medical centers,1,0,1,1.5%,0.0%,1.7%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
neal david g,1,0,1,1.5%,0.0%,1.7%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,100.0%,0%,100.0%,100.0%,0%,100.0%
heights finance corporation,1,0,1,1.5%,0.0%,1.7%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
wakefield & associates inc,1,0,1,1.5%,0.0%,1.7%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
portfolio recovery assoc.,1,0,1,1.5%,0.0%,1.7%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
cach llc,1,0,1,1.5%,0.0%,1.7%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,100.0%,0%,100.0%,100.0%,0%,100.0%
freeman neosho hospital,1,0,1,1.5%,0.0%,1.7%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
bank of america na,1,0,1,1.5%,0.0%,1.7%,0,0,0,0%,0%,0%,100.0%,0%,100.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
bank of america na petitioner,1,0,1,1.5%,0.0%,1.7%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
pbrmc inc d/b/a pbrmc,1,0,1,1.5%,0.0%,1.7%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
st louis university d/b/a slucare,1,0,1,1.5%,0.0%,1.7%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
brown oil,1,1,0,1.5%,16.7%,0.0%,0,0,0,0%,0%,0%,0.0%,0.0%,0%,0.0%,0.0%,0%,100.0%,100.0%,0%
credit corp solutions inc,1,0,1,1.5%,0.0%,1.7%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,100.0%,0%,100.0%,100.0%,0%,100.0%
simmons bank,1,1,0,1.5%,16.7%,0.0%,0,0,0,0%,0%,0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%,0.0%,0%
