collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
KIRKSVILLE MISSOURI HOSPITAL COMPANY,25,0,25,0.34,0.0,0.56,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.20,0.0,0.20,1.0,0.0,1.0
KIRKSVILLE MO HOSPITAL COMPANY LLC D/B/A NORTHEAST REGIONAL,11,11,0,0.15,0.39,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.18,0.0,0.82,0.82,0.0
BANK OF AMERICA NA,7,3,4,0.096,0.11,0.089,0,0,0,0.0,0.0,0.0,0.43,0.0,0.75,0.14,0.0,0.25,0.57,0.0,1.0
PORTFOLIO RECOVERY ASSOCIATES LLC,6,1,5,0.082,0.036,0.11,0,0,0,0.0,0.0,0.0,0.17,0.0,0.20,0.0,0.0,0.0,0.83,0.0,1.0
LVNV FUNDING LLC,5,4,1,0.068,0.14,0.022,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.40,0.25,1.0,0.40,0.25,1.0
MIDLAND CREDIT MANGEMENT,3,0,3,0.041,0.0,0.067,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.33,1.0,0.0,1.0
MIDLAND CREDIT MANAGEMENT INC,2,1,1,0.027,0.036,0.022,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.50,1.0,0.0,1.0,1.0,1.0
MIDLAND FUNDING LLC,2,1,1,0.027,0.036,0.022,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.50,0.0,1.0,0.50,0.0,1.0
KIRKSVILLE MISSOURI HOSPITAL COMPANY L.L.C,2,2,0,0.027,0.071,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.50,0.50,0.0,1.0,1.0,0.0
CITIBANK NA,2,2,0,0.027,0.071,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.50,0.50,0.0
CITY OF HOBART,1,1,0,0.014,0.036,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
JEFFERSON CAPITAL SYSTEMS LLC,1,0,1,0.014,0.0,0.022,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
CAVALRY SPV I LLC,1,0,1,0.014,0.0,0.022,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
KIRKSVILLE MISSOURI HOSPITAL COMPANY PETITIONER,1,0,1,0.014,0.0,0.022,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
WAKEFIELD & ASSOCIATES INC,1,0,1,0.014,0.0,0.022,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
KIRKSVILLE MISSOURI HOSPITAL COMPANY LLC D/B/A NORTHEAST,1,0,1,0.014,0.0,0.022,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
CREDIT CORP SOLUTIONS INC,1,1,0,0.014,0.036,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CREDIT BUREAU SERVICES OF IOWA INC AS ASSINGEE,1,1,0,0.014,0.036,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
