collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
MIDWESTERN HEALTH MANAGEMENT INC,50,22,28,0.24,0.20,0.28,0,0,0,0.0,0.0,0.0,0.10,0.0,0.18,0.18,0.091,0.25,0.90,0.82,0.96
LVNV FUNDING LLC,33,25,8,0.16,0.23,0.079,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.36,0.63,0.73,0.64,1.0
WAKEFIELD & ASSOCIATES INC,27,9,18,0.13,0.081,0.18,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.11,0.33,0.85,0.67,0.94
MIDLAND CREDIT MANAGEMENT INC,23,10,13,0.11,0.090,0.13,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.30,0.20,0.38,0.87,0.70,1.0
CAPITAL ONE BANK (USA) NA,14,10,4,0.066,0.090,0.040,0,0,0,0.0,0.0,0.0,0.14,0.20,0.0,0.071,0.10,0.0,0.79,0.70,1.0
PORTFOLIO RECOVERY ASSOCIATES LLC,11,4,7,0.052,0.036,0.069,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.091,0.25,0.0,0.82,0.75,0.86
MIDLAND FUNDING LLC,6,1,5,0.028,0.0090,0.050,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.20,0.83,1.0,0.80
CAVALRY SPV I LLC,6,5,1,0.028,0.045,0.0099,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.40,0.0,0.83,0.80,1.0
CITIBANK NA,5,3,2,0.024,0.027,0.020,0,0,0,0.0,0.0,0.0,0.40,0.33,0.50,0.20,0.33,0.0,1.0,1.0,1.0
RAY COUNTY MEMORIAL HOSPITAL,5,1,4,0.024,0.0090,0.040,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.60,1.0,0.50,1.0,1.0,1.0
TD BANK USA NA,4,2,2,0.019,0.018,0.020,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.50,0.50,0.50,1.0,1.0,1.0
MIDLAND FUNDING LLC - 50265,3,0,3,0.014,0.0,0.030,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.33,0.67,0.0,0.67
CLEAR RECOVERY INC,3,2,1,0.014,0.018,0.0099,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.50,0.0,1.0,1.0,1.0
JEFFERSON CAPITAL SYSTEMS LLC,3,2,1,0.014,0.018,0.0099,0,0,0,0.0,0.0,0.0,0.33,0.0,1.0,0.33,0.50,0.0,1.0,1.0,1.0
VELOCITY INVESTMENTS LLC,2,2,0,0.0094,0.018,0.0,0,0,0,0.0,0.0,0.0,0.50,0.50,0.0,0.50,0.50,0.0,1.0,1.0,0.0
BANK OF AMERICA NA,2,1,1,0.0094,0.0090,0.0099,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.50,0.0,1.0,1.0,1.0,1.0
CONSUMERS OIL AND SUPPLY CO - BRAYMER,2,2,0,0.0094,0.018,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.50,0.50,0.0,1.0,1.0,0.0
CAPITAL ONE BANK NA,1,0,1,0.0047,0.0,0.0099,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
MM FINANCE LLC,1,0,1,0.0047,0.0,0.0099,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
RENFRO VETERINARY SERVICES INC,1,1,0,0.0047,0.0090,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
NORTHWEST HOSPITAL LLC,1,1,0,0.0047,0.0090,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
ANDY'S LAWN AND LANDSCAPE LLC,1,0,1,0.0047,0.0,0.0099,0,0,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
CASH LINK USA,1,1,0,0.0047,0.0090,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
SEXTONBENDERMAHER HILL & STEINMAN PC,1,1,0,0.0047,0.0090,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CKS PRIME INVESTMENTS LLC,1,1,0,0.0047,0.0090,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
CENTERPOINT ENERGY,1,1,0,0.0047,0.0090,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
CITIBANK NA - MORGAN & ASSOC.,1,1,0,0.0047,0.0090,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
FOURSIGHT CAPITAL LLC,1,1,0,0.0047,0.0090,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PROFESSIONAL ANESTHETIC CARE LLC A LIMITED LIABILITY COMPANY,1,1,0,0.0047,0.0090,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EQUIPMENTSHARE.COM INC,1,1,0,0.0047,0.0090,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
