collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
LVNV FUNDING LLC,26,6,20,0.18,0.30,0.16,0,0,0,0.0,0.0,0.0,0.038,0.0,0.050,0.35,0.50,0.30,0.88,0.67,0.95
HANNIBAL REGIONAL HOSPITAL,16,3,13,0.11,0.15,0.10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.33,0.23,1.0,1.0,1.0
PORTFOLIO RECOVERY ASSOCIATES LLC,16,2,14,0.11,0.10,0.11,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.50,1.0,0.43,1.0,1.0,1.0
MIDLAND CREDIT MANAGEMENT INC,16,3,13,0.11,0.15,0.10,0,0,0,0.0,0.0,0.0,0.063,0.0,0.077,0.31,0.33,0.31,0.94,1.0,0.92
NORTHEAST MISSOURI AMBULATORY SURGERY CENTER LLC,9,1,8,0.061,0.050,0.063,0,0,0,0.0,0.0,0.0,0.11,0.0,0.13,0.44,1.0,0.38,0.89,1.0,0.88
HANNIBAL CLINIC OPERATIONS LLC,8,1,7,0.054,0.050,0.055,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.50,1.0,0.43,1.0,1.0,1.0
MIDLAND FUNDING LLC,5,0,5,0.034,0.0,0.039,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.80,0.0,0.80,1.0,0.0,1.0
CAVALRY SPV 1 LLC,5,0,5,0.034,0.0,0.039,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
CITIBANK NA,4,1,3,0.027,0.050,0.023,0,0,0,0.0,0.0,0.0,0.75,1.0,0.67,0.25,0.0,0.33,1.0,1.0,1.0
CONSUMER ADJUSTMENT COMPANY INC,4,0,4,0.027,0.0,0.031,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.50,0.0,0.50,1.0,0.0,1.0
NORTHEAST MO AMBULATORY SURGERY CENTER LLC,3,0,3,0.020,0.0,0.023,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.67,1.0,0.0,1.0
BANK OF AMERICA NA,3,1,2,0.020,0.050,0.016,0,0,0,0.0,0.0,0.0,0.67,0.0,1.0,0.33,1.0,0.0,1.0,1.0,1.0
JEFFERSON CAPITAL SYSTEMS LLC,3,2,1,0.020,0.10,0.0078,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.50,1.0,1.0,1.0,1.0
KIRKSVILLE MISSOURI HOSPITAL CO LLC,2,0,2,0.014,0.0,0.016,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
JEFFERSON CAPITAL SYSTEMS,2,0,2,0.014,0.0,0.016,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.50,0.0,0.50,1.0,0.0,1.0
SAINT LOUIS UNIVERSITY,2,0,2,0.014,0.0,0.016,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.50,0.0,0.50,1.0,0.0,1.0
WCP LABORATORIES INC,2,0,2,0.014,0.0,0.016,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
CREDIT CORP SOLUTIONS INC,2,0,2,0.014,0.0,0.016,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.50,0.0,0.50,1.0,0.0,1.0
CURL HARK & HOLLIDAY LLC,1,0,1,0.0068,0.0,0.0078,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
HANNIBAL ANESTHESIA ASSOCIATES LLC,1,0,1,0.0068,0.0,0.0078,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
THE HANNIBAL CLINIC INC,1,0,1,0.0068,0.0,0.0078,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
WASINGER PARHAM LC,1,0,1,0.0068,0.0,0.0078,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
PRAIRIELAND FS INC,1,0,1,0.0068,0.0,0.0078,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
CAPITAL ONE BANK USA NA,1,0,1,0.0068,0.0,0.0078,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
PIKE COUNTY R-III SCHOOL,1,0,1,0.0068,0.0,0.0078,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
MM FINANCE LLC,1,0,1,0.0068,0.0,0.0078,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
CACH LLC,1,0,1,0.0068,0.0,0.0078,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
EQUABLE ASCENT FINANCIAL LLC,1,0,1,0.0068,0.0,0.0078,0,0,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
FIRST PORTFOLIO VENTURES I LLC,1,0,1,0.0068,0.0,0.0078,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
WORLD ACCEPTANCE CORP OF MO DBA WORLD FINANCE CORP,1,0,1,0.0068,0.0,0.0078,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
CASH LINK USA,1,0,1,0.0068,0.0,0.0078,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
NCB MANAGEMENT SERVICES INC,1,0,1,0.0068,0.0,0.0078,0,0,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
RECTAL DIAGNOSTIC AND TREATMENT CENTER INC,1,0,1,0.0068,0.0,0.0078,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
CITITBANK NA,1,0,1,0.0068,0.0,0.0078,0,0,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
CVI SGP ACQUISTION TRUST,1,0,1,0.0068,0.0,0.0078,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
SANDIA RESOLUTION CO,1,0,1,0.0068,0.0,0.0078,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
JP MORGAN CHASE BANK NA,1,0,1,0.0068,0.0,0.0078,0,0,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
PIKE COUNTY R-111 SCHOOL DISTRICT,1,0,1,0.0068,0.0,0.0078,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
