collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
LVNV FUNDING LLC,44,14,30,21.5%,35.9%,18.1%,0,0,0,0.0%,0.0%,0.0%,2.3%,0.0%,3.3%,25.0%,35.7%,20.0%,90.9%,85.7%,93.3%
MIDLAND CREDIT MANAGEMENT INC,30,3,27,14.6%,7.7%,16.3%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,13.3%,0.0%,14.8%,90.0%,33.3%,96.3%
PORTFOLIO RECOVERY ASSOCIATES LLC,20,2,18,9.8%,5.1%,10.8%,0,0,0,0.0%,0.0%,0.0%,5.0%,0.0%,5.6%,10.0%,0.0%,11.1%,95.0%,100.0%,94.4%
FREEMAN HEALTH SYSTEMS,19,0,19,9.3%,0.0%,11.4%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,47.4%,0.0%,47.4%,100.0%,0.0%,100.0%
FREEMAN HEALTH SYSTEM,19,4,15,9.3%,10.3%,9.0%,0,0,0,0.0%,0.0%,0.0%,10.5%,0.0%,13.3%,42.1%,50.0%,40.0%,89.5%,75.0%,93.3%
MIDLAND FUNDING LLC,10,3,7,4.9%,7.7%,4.2%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,40.0%,33.3%,42.9%,90.0%,66.7%,100.0%
CAVALRY SPV I LLC,7,1,6,3.4%,2.6%,3.6%,0,0,0,0.0%,0.0%,0.0%,28.6%,0.0%,33.3%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%
CONSUMER ADJUSTMENT COMPANY INC,5,0,5,2.4%,0.0%,3.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,20.0%,0.0%,20.0%,100.0%,0.0%,100.0%
JEFFERSON CAPITAL SYSTEM LLC,5,2,3,2.4%,5.1%,1.8%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,40.0%,0.0%,66.7%,80.0%,50.0%,100.0%
CAPITAL ONE BANK (USA) NA,4,0,4,2.0%,0.0%,2.4%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
CARDINAL LOANS LLC D/B/A CASH N GO,4,3,1,2.0%,7.7%,0.6%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,25.0%,33.3%,0.0%,100.0%,100.0%,100.0%
CEDAR COUNTY MEMORIAL HOSPITAL,3,0,3,1.5%,0.0%,1.8%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,66.7%,0.0%,66.7%,100.0%,0.0%,100.0%
BANK OF AMERICA NA,3,0,3,1.5%,0.0%,1.8%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,66.7%,0.0%,66.7%
JP MORGAN CHASE BANK NA,2,1,1,1.0%,2.6%,0.6%,0,0,0,0.0%,0.0%,0.0%,50.0%,0.0%,100.0%,50.0%,100.0%,0.0%,100.0%,100.0%,100.0%
TD BANK USA NA,2,1,1,1.0%,2.6%,0.6%,0,0,0,0.0%,0.0%,0.0%,50.0%,0.0%,100.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%
SECOND ROUND SUB LLC,2,0,2,1.0%,0.0%,1.2%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
FREEMAN SURGICAL CENTER LLC,2,1,1,1.0%,2.6%,0.6%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,50.0%,0.0%,100.0%,100.0%,100.0%,100.0%
CASH LINK USA,2,0,2,1.0%,0.0%,1.2%,0,0,0,0.0%,0.0%,0.0%,50.0%,0.0%,50.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
ABSOLUTE RESOLUTIONS INVESTMENTS LLC,2,0,2,1.0%,0.0%,1.2%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
NEVADA MEDICAL CLINIC LLC,2,0,2,1.0%,0.0%,1.2%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
ABSOLUTE RESOLUTIONS CORPORATION,2,0,2,1.0%,0.0%,1.2%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
CLEAR RECOVERY INC,2,1,1,1.0%,2.6%,0.6%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%
BARCLAYS BANK DELAWARE,1,0,1,0.5%,0.0%,0.6%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%
SOUTHEAST KANSAS ORTHOPEDIC CLINIC,1,0,1,0.5%,0.0%,0.6%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%
COMMUNITY BANK OF EL DORADO SPRINGS,1,0,1,0.5%,0.0%,0.6%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%
JP MORGAN CHASE BANK NA  CHICAGO IL,1,0,1,0.5%,0.0%,0.6%,0,0,0,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
VELOCITY INVESTMENTS LLC,1,0,1,0.5%,0.0%,0.6%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
METROPOLITAN ST LOUIS SEWER DISTRICT,1,0,1,0.5%,0.0%,0.6%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
MM FINANCE LLC,1,0,1,0.5%,0.0%,0.6%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
NORTHWEST ARKANSAS HOSPITAL LLC,1,0,1,0.5%,0.0%,0.6%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
CREDIT CORP SOLUTIONS INC,1,1,0,0.5%,2.6%,0.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,0.0%
UNIVERSITY OF KANSAS HOSPITAL,1,1,0,0.5%,2.6%,0.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,0.0%
MEEKS LUMBER YARD INC,1,0,1,0.5%,0.0%,0.6%,0,0,0,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
WORLD ACCEPTANCE CORP,1,0,1,0.5%,0.0%,0.6%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
JAMIE PAUL DMD MS LLC,1,0,1,0.5%,0.0%,0.6%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
OZARK TRI-COUNTY HEALTH CARE CONSORTIUM,1,1,0,0.5%,2.6%,0.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%
