collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
lvnv funding llc,81,16,65,18.4%,21.3%,17.8%,0,0,0,0%,0%,0%,3.7%,6.3%,3.1%,39.5%,25.0%,43.1%,93.8%,68.8%,100.0%
wakefield & associates inc,80,13,67,18.2%,17.3%,18.4%,0,0,0,0%,0%,0%,1.3%,0.0%,1.5%,32.5%,30.8%,32.8%,100.0%,100.0%,100.0%
midland credit management inc,52,11,41,11.8%,14.7%,11.2%,0,0,0,0%,0%,0%,9.6%,0.0%,12.2%,44.2%,27.3%,48.8%,90.4%,63.6%,97.6%
portfolio recovery associates llc,40,4,36,9.1%,5.3%,9.9%,0,0,0,0%,0%,0%,2.5%,0.0%,2.8%,45.0%,25.0%,47.2%,97.5%,100.0%,97.2%
midland funding llc,30,0,30,6.8%,0.0%,8.2%,0,0,0,0%,0%,0%,10.0%,0%,10.0%,53.3%,0%,53.3%,100.0%,0%,100.0%
phelps health fka phelps county regional medical center,24,1,23,5.5%,1.3%,6.3%,0,0,0,0%,0%,0%,0.0%,0.0%,0.0%,54.2%,0.0%,56.5%,100.0%,100.0%,100.0%
phelps health,21,0,21,4.8%,0.0%,5.8%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,66.7%,0%,66.7%,100.0%,0%,100.0%
phelps county regional medical center,13,12,1,3.0%,16.0%,0.3%,0,0,0,0%,0%,0%,0.0%,0.0%,0.0%,53.8%,50.0%,100.0%,100.0%,100.0%,100.0%
cavalry spv i llc,11,1,10,2.5%,1.3%,2.7%,0,0,0,0%,0%,0%,9.1%,0.0%,10.0%,36.4%,0.0%,40.0%,100.0%,100.0%,100.0%
jefferson capital systems llc,8,2,6,1.8%,2.7%,1.6%,0,0,0,0%,0%,0%,12.5%,0.0%,16.7%,25.0%,50.0%,16.7%,87.5%,100.0%,83.3%
j p morgan chase bank,6,3,3,1.4%,4.0%,0.8%,0,0,0,0%,0%,0%,0.0%,0.0%,0.0%,16.7%,0.0%,33.3%,83.3%,66.7%,100.0%
onemain financial group llc,5,1,4,1.1%,1.3%,1.1%,0,0,0,0%,0%,0%,0.0%,0.0%,0.0%,20.0%,0.0%,25.0%,80.0%,0.0%,100.0%
capital region medical center,5,0,5,1.1%,0.0%,1.4%,0,0,0,0%,0%,0%,20.0%,0%,20.0%,40.0%,0%,40.0%,100.0%,0%,100.0%
absolute resolutions investments llc,3,0,3,0.7%,0.0%,0.8%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,33.3%,0%,33.3%,100.0%,0%,100.0%
credit corp solutions inc,3,1,2,0.7%,1.3%,0.5%,0,0,0,0%,0%,0%,33.3%,100.0%,0.0%,0.0%,0.0%,0.0%,66.7%,0.0%,100.0%
citibank na,3,0,3,0.7%,0.0%,0.8%,0,0,0,0%,0%,0%,66.7%,0%,66.7%,0.0%,0%,0.0%,100.0%,0%,100.0%
phelps health fka phelps county regional medical center petitioner,3,3,0,0.7%,4.0%,0.0%,0,0,0,0%,0%,0%,0.0%,0.0%,0%,0.0%,0.0%,0%,100.0%,100.0%,0%
cavalry spv illc,2,0,2,0.5%,0.0%,0.5%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
consumer adjustment company inc,2,1,1,0.5%,1.3%,0.3%,0,0,0,0%,0%,0%,0.0%,0.0%,0.0%,50.0%,0.0%,100.0%,100.0%,100.0%,100.0%
