collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
LVNV FUNDING LLC,111,77,34,12.5%,15.8%,8.4%,40497,25519,14977,1.8%,4.1%,0.9%,0.9%,1.3%,0.0%,0.0%,0.0%,0.0%,28.8%,28.6%,29.4%
MIDLAND CREDIT MANAGEMENT INC,86,40,46,9.7%,8.2%,11.4%,105171,28053,77118,4.8%,4.6%,4.9%,1.2%,2.5%,0.0%,0.0%,0.0%,0.0%,41.9%,20.0%,60.9%
PORTFOLIO RECOVERY ASSOCIATES LLC,67,25,42,7.5%,5.1%,10.4%,106577,18740,87837,4.9%,3.0%,5.6%,3.0%,0.0%,4.8%,0.0%,0.0%,0.0%,53.7%,32.0%,66.7%
PROFESSIONAL & BUSINESS COLLECTIONS LLC,53,40,13,5.9%,8.2%,3.2%,158322,85025,73297,7.2%,13.8%,4.6%,1.9%,2.5%,0.0%,0.0%,0.0%,0.0%,49.1%,40.0%,76.9%
JEFFERSON CAPITAL SYSTEMS LLC,49,15,34,5.5%,3.1%,8.4%,46103,16557,29546,2.1%,2.7%,1.9%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,53.1%,40.0%,58.8%
MARINER FINANCE LLC SUCCESSOR IN INTEREST TO PERSONAL FINANCE COMPANY LLC,47,18,29,5.3%,3.7%,7.2%,184350,51695,132655,8.4%,8.4%,8.4%,4.3%,11.1%,0.0%,0.0%,0.0%,0.0%,83.0%,61.1%,96.6%
CROWN ASSET MANAGEMENT LLC,41,20,21,4.6%,4.1%,5.2%,36810,13029,23781,1.7%,2.1%,1.5%,2.4%,0.0%,4.8%,0.0%,0.0%,0.0%,70.7%,60.0%,81.0%
SAC FINANCE INC,40,23,17,4.5%,4.7%,4.2%,191168,73720,117448,8.7%,12.0%,7.4%,2.5%,4.3%,0.0%,0.0%,0.0%,0.0%,57.5%,39.1%,82.4%
CAPITAL ONE BANK (USA) NA,39,33,6,4.4%,6.8%,1.5%,55179,41809,13370,2.5%,6.8%,0.8%,7.7%,6.1%,16.7%,0.0%,0.0%,0.0%,51.3%,45.5%,83.3%
MEDICAL & PROFESSIONAL COLLECTION SERVICES INC,31,20,11,3.5%,4.1%,2.7%,60997,0,60997,2.8%,0.0%,3.9%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,12.9%,0.0%,36.4%
