collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
LVNV FUNDING LLC,118,67,51,17.5%,19.5%,15.5%,58131,34405,23726,2.1%,5.6%,1.1%,4.2%,6.0%,2.0%,0.0%,0.0%,0.0%,39.8%,35.8%,45.1%
PORTFOLIO RECOVERY ASSOCIATES LLC,65,30,35,9.7%,8.7%,10.6%,76510,40191,36319,2.7%,6.5%,1.7%,10.8%,23.3%,0.0%,0.0%,0.0%,0.0%,56.9%,43.3%,68.6%
MIDLAND CREDIT MANAGEMENT INC,64,33,31,9.5%,9.6%,9.4%,71268,25809,45459,2.5%,4.2%,2.1%,6.3%,3.0%,9.7%,0.0%,0.0%,0.0%,59.4%,39.4%,80.6%
DISCOVER BANK,33,25,8,4.9%,7.3%,2.4%,103462,61618,41844,3.7%,10.0%,1.9%,27.3%,28.0%,25.0%,0.0%,0.0%,0.0%,54.5%,40.0%,100.0%
CAPITAL ONE BANK (USA) NA,30,26,4,4.5%,7.6%,1.2%,51474,46641,4833,1.8%,7.6%,0.2%,3.3%,3.8%,0.0%,0.0%,0.0%,0.0%,70.0%,69.2%,75.0%
JEFFERSON CAPITAL SYSTEMS LLC,25,5,20,3.7%,1.5%,6.1%,26129,6474,19655,0.9%,1.0%,0.9%,4.0%,0.0%,5.0%,0.0%,0.0%,0.0%,60.0%,40.0%,65.0%
ONEMAIN FINANCIAL GROUP LLC,23,12,11,3.4%,3.5%,3.3%,121425,47171,74254,4.3%,7.6%,3.4%,8.7%,16.7%,0.0%,0.0%,0.0%,0.0%,65.2%,33.3%,100.0%
COMMUNITYWIDE FEDERAL CREDIT UNION,20,8,12,3.0%,2.3%,3.6%,1157237,0,1157237,41.4%,0.0%,53.1%,10.0%,12.5%,8.3%,0.0%,0.0%,0.0%,40.0%,0.0%,66.7%
CROWN ASSET MANAGEMENT LLC,15,9,6,2.2%,2.6%,1.8%,22902,17879,5024,0.8%,2.9%,0.2%,13.3%,0.0%,33.3%,0.0%,0.0%,0.0%,80.0%,100.0%,50.0%
CITIBANK NA,12,6,6,1.8%,1.7%,1.8%,22349,4741,17608,0.8%,0.8%,0.8%,33.3%,33.3%,33.3%,0.0%,0.0%,0.0%,66.7%,50.0%,83.3%
