collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
lvnv funding llc,1455,397,1058,16.9%,21.0%,15.8%,0,0,0,0%,0%,0%,6.9%,6.5%,7.0%,33.6%,33.0%,33.8%,91.1%,70.8%,98.7%
midland credit management inc,1089,170,919,12.7%,9.0%,13.7%,0,0,0,0%,0%,0%,8.3%,8.8%,8.2%,36.0%,32.4%,36.7%,86.0%,67.6%,89.3%
metropolitan st louis sewer district,1087,450,637,12.6%,23.8%,9.5%,0,0,0,0%,0%,0%,1.1%,1.1%,1.1%,33.9%,41.6%,28.6%,96.4%,92.7%,99.1%
portfolio recovery associates llc,1050,91,959,12.2%,4.8%,14.3%,0,0,0,0%,0%,0%,7.9%,6.6%,8.0%,22.9%,15.4%,23.6%,98.2%,90.1%,99.0%
cavalry spv i llc,372,66,306,4.3%,3.5%,4.6%,0,0,0,0%,0%,0%,10.5%,9.1%,10.8%,32.0%,33.3%,31.7%,93.3%,80.3%,96.1%
midland funding llc,277,16,261,3.2%,0.8%,3.9%,0,0,0,0%,0%,0%,7.9%,12.5%,7.7%,24.2%,12.5%,24.9%,92.8%,68.8%,94.3%
capital one bank (usa) na,257,63,194,3.0%,3.3%,2.9%,0,0,0,0%,0%,0%,8.2%,4.8%,9.3%,26.5%,30.2%,25.3%,91.8%,73.0%,97.9%
bank of america na,239,27,212,2.8%,1.4%,3.2%,0,0,0,0%,0%,0%,18.8%,22.2%,18.4%,27.2%,14.8%,28.8%,90.0%,74.1%,92.0%
citibank na,215,39,176,2.5%,2.1%,2.6%,0,0,0,0%,0%,0%,14.4%,10.3%,15.3%,21.4%,15.4%,22.7%,94.9%,89.7%,96.0%
jefferson capital systems llc,157,26,131,1.8%,1.4%,2.0%,0,0,0,0%,0%,0%,3.8%,3.8%,3.8%,36.9%,42.3%,35.9%,92.4%,69.2%,96.9%
absolute resolutions investments llc,126,16,110,1.5%,0.8%,1.6%,0,0,0,0%,0%,0%,15.1%,12.5%,15.5%,31.7%,12.5%,34.5%,96.8%,87.5%,98.2%
cash link usa llc,124,38,86,1.4%,2.0%,1.3%,0,0,0,0%,0%,0%,4.8%,2.6%,5.8%,49.2%,73.7%,38.4%,92.7%,84.2%,96.5%
st louis university,108,2,106,1.3%,0.1%,1.6%,0,0,0,0%,0%,0%,0.9%,0.0%,0.9%,34.3%,50.0%,34.0%,100.0%,100.0%,100.0%
jp morgan chase bank na,106,46,60,1.2%,2.4%,0.9%,0,0,0,0%,0%,0%,17.0%,21.7%,13.3%,26.4%,30.4%,23.3%,81.1%,60.9%,96.7%
saint louis university,102,15,87,1.2%,0.8%,1.3%,0,0,0,0%,0%,0%,3.9%,0.0%,4.6%,56.9%,66.7%,55.2%,99.0%,100.0%,98.9%
discover bank,93,43,50,1.1%,2.3%,0.7%,0,0,0,0%,0%,0%,11.8%,9.3%,14.0%,48.4%,41.9%,54.0%,75.3%,65.1%,84.0%
td bank usa na,73,39,34,0.8%,2.1%,0.5%,0,0,0,0%,0%,0%,2.7%,2.6%,2.9%,28.8%,33.3%,23.5%,91.8%,84.6%,100.0%
onemain financial group llc,69,20,49,0.8%,1.1%,0.7%,0,0,0,0%,0%,0%,4.3%,10.0%,2.0%,34.8%,20.0%,40.8%,91.3%,70.0%,100.0%
american multispecialty group inc,68,2,66,0.8%,0.1%,1.0%,0,0,0,0%,0%,0%,1.5%,0.0%,1.5%,35.3%,0.0%,36.4%,94.1%,50.0%,95.5%
midland credit management inc a corporation,61,58,3,0.7%,3.1%,0.0%,0,0,0,0%,0%,0%,6.6%,6.9%,0.0%,41.0%,41.4%,33.3%,85.2%,84.5%,100.0%
washington university physician network,55,0,55,0.6%,0.0%,0.8%,0,0,0,0%,0%,0%,1.8%,0%,1.8%,60.0%,0%,60.0%,100.0%,0%,100.0%
