collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
FREEMAN HEALTH SYSTEM,25,6,19,0.20,0.27,0.19,0,0,0,0.0,0.0,0.0,0.080,0.0,0.11,0.28,0.0,0.37,0.80,0.83,0.79
LVNV FUNDING LLC,21,6,15,0.17,0.27,0.15,0,0,0,0.0,0.0,0.0,0.048,0.17,0.0,0.52,0.33,0.60,0.86,0.67,0.93
MIDLAND CREDIT MANAGEMENT INC,18,3,15,0.15,0.14,0.15,0,0,0,0.0,0.0,0.0,0.056,0.0,0.067,0.39,0.33,0.40,0.89,0.67,0.93
PORTFOLIO RECOVERY ASSOCIATES LLC,13,1,12,0.10,0.045,0.12,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.33,0.85,0.0,0.92
FREEMAN HEALTH SYSTEMS,9,0,9,0.073,0.0,0.088,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.67,1.0,0.0,1.0
CITIBANK NA,4,0,4,0.032,0.0,0.039,0,0,0,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,1.0,0.0,1.0
CAVALRY SPV I LLC,4,0,4,0.032,0.0,0.039,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,1.0,0.0,1.0
OZARK TRI-COUNTY HEALTH CARE CONSORTIUM,2,0,2,0.016,0.0,0.020,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
BARCLAYS BANK DELAWARE,2,0,2,0.016,0.0,0.020,0,0,0,0.0,0.0,0.0,0.50,0.0,0.50,0.0,0.0,0.0,1.0,0.0,1.0
MIDLAND FUNDING LLC,2,1,1,0.016,0.045,0.0098,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.50,0.0,1.0
CAPITAL ONE BANK (USA) NA,2,1,1,0.016,0.045,0.0098,0,0,0,0.0,0.0,0.0,0.50,0.0,1.0,0.0,0.0,0.0,0.50,0.0,1.0
MM FINANCE LLC,2,0,2,0.016,0.0,0.020,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.50,0.0,0.50,1.0,0.0,1.0
JEFFERSON CAPITAL SYSTEM LLC,2,0,2,0.016,0.0,0.020,0,0,0,0.0,0.0,0.0,0.50,0.0,0.50,0.50,0.0,0.50,1.0,0.0,1.0
ONEMAIN FINANCIAL GROUP LLC,2,2,0,0.016,0.091,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.50,0.50,0.0
MM FINANCE LLC PETITIONER,1,0,1,0.0081,0.0,0.0098,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
BANK OF AMERICA NA,1,0,1,0.0081,0.0,0.0098,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
JEFFERSON CAPITAL SYSTEMS LLC,1,0,1,0.0081,0.0,0.0098,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
TD BANK USA NA,1,0,1,0.0081,0.0,0.0098,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
WAKEFIELD & ASSOCIATES INC,1,0,1,0.0081,0.0,0.0098,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
CROWN ASSET MANAGEMENT LLC,1,0,1,0.0081,0.0,0.0098,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
ABSOLUTE RESOLUTIONS INVESTMENTS LLC,1,0,1,0.0081,0.0,0.0098,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
CAVALRY SPV I LLC PETITIONER,1,0,1,0.0081,0.0,0.0098,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
FREEMAN SURGICAL CENTER LLC,1,0,1,0.0081,0.0,0.0098,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
ABSOLUTE RESOLUTIONS CORPORATION,1,0,1,0.0081,0.0,0.0098,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
FREEMAN NEOSHO HOSPITAL,1,0,1,0.0081,0.0,0.0098,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
CASH LINK USA,1,0,1,0.0081,0.0,0.0098,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
