collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
midland credit management inc,152,20,132,16.7%,13.4%,17.4%,0,0,0,0%,0%,0%,9.2%,0.0%,10.6%,35.5%,55.0%,32.6%,92.1%,75.0%,94.7%
lvnv funding llc,148,43,105,16.3%,28.9%,13.8%,0,0,0,0%,0%,0%,1.4%,0.0%,1.9%,32.4%,30.2%,33.3%,93.2%,76.7%,100.0%
portfolio recovery associates llc,118,7,111,13.0%,4.7%,14.6%,0,0,0,0%,0%,0%,1.7%,0.0%,1.8%,28.8%,57.1%,27.0%,97.5%,85.7%,98.2%
cavalry spv i llc,52,10,42,5.7%,6.7%,5.5%,0,0,0,0%,0%,0%,1.9%,0.0%,2.4%,13.5%,10.0%,14.3%,96.2%,90.0%,97.6%
midland funding llc,47,1,46,5.2%,0.7%,6.1%,0,0,0,0%,0%,0%,4.3%,0.0%,4.3%,31.9%,0.0%,32.6%,91.5%,0.0%,93.5%
bank of america na,36,10,26,4.0%,6.7%,3.4%,0,0,0,0%,0%,0%,16.7%,20.0%,15.4%,33.3%,20.0%,38.5%,86.1%,60.0%,96.2%
citibank na,34,4,30,3.7%,2.7%,3.9%,0,0,0,0%,0%,0%,11.8%,0.0%,13.3%,20.6%,25.0%,20.0%,100.0%,100.0%,100.0%
cass regional medical center,24,0,24,2.6%,0.0%,3.2%,0,0,0,0%,0%,0%,4.2%,0%,4.2%,37.5%,0%,37.5%,100.0%,0%,100.0%
capital one bank (usa) na,20,0,20,2.2%,0.0%,2.6%,0,0,0,0%,0%,0%,5.0%,0%,5.0%,25.0%,0%,25.0%,100.0%,0%,100.0%
jp morgan chase bank na,17,2,15,1.9%,1.3%,2.0%,0,0,0,0%,0%,0%,17.6%,0.0%,20.0%,23.5%,0.0%,26.7%,82.4%,100.0%,80.0%
clear recovery inc,16,0,16,1.8%,0.0%,2.1%,0,0,0,0%,0%,0%,6.3%,0%,6.3%,31.3%,0%,31.3%,100.0%,0%,100.0%
td bank usa na,15,9,6,1.7%,6.0%,0.8%,0,0,0,0%,0%,0%,13.3%,11.1%,16.7%,20.0%,33.3%,0.0%,100.0%,100.0%,100.0%
metro emergency physicians llc,13,0,13,1.4%,0.0%,1.7%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,23.1%,0%,23.1%,100.0%,0%,100.0%
velocity investments llc,10,1,9,1.1%,0.7%,1.2%,0,0,0,0%,0%,0%,10.0%,0.0%,11.1%,20.0%,0.0%,22.2%,100.0%,100.0%,100.0%
jefferson capital systems llc,10,1,9,1.1%,0.7%,1.2%,0,0,0,0%,0%,0%,0.0%,0.0%,0.0%,40.0%,100.0%,33.3%,100.0%,100.0%,100.0%
discover bank,10,6,4,1.1%,4.0%,0.5%,0,0,0,0%,0%,0%,0.0%,0.0%,0.0%,40.0%,33.3%,50.0%,90.0%,83.3%,100.0%
wakefield & associates inc,9,2,7,1.0%,1.3%,0.9%,0,0,0,0%,0%,0%,11.1%,0.0%,14.3%,33.3%,0.0%,42.9%,100.0%,100.0%,100.0%
absolute resolutions investments llc,9,2,7,1.0%,1.3%,0.9%,0,0,0,0%,0%,0%,0.0%,0.0%,0.0%,44.4%,50.0%,42.9%,100.0%,100.0%,100.0%
credit corp solutions inc,9,0,9,1.0%,0.0%,1.2%,0,0,0,0%,0%,0%,11.1%,0%,11.1%,11.1%,0%,11.1%,100.0%,0%,100.0%
