collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
POPLAR BLUFF REGIONAL MEDICAL CENTER LLC,618,59,559,0.55,0.42,0.57,0,0,0,0.0,0.0,0.0,0.11,0.085,0.11,0.32,0.31,0.32,0.99,0.97,0.99
PORTFOLIO RECOVERY ASSOCIATES LLC,88,5,83,0.079,0.036,0.085,0,0,0,0.0,0.0,0.0,0.19,0.0,0.20,0.40,0.20,0.41,1.0,1.0,1.0
MIDLAND CREDIT MANAGEMENT INC,85,15,70,0.076,0.11,0.072,0,0,0,0.0,0.0,0.0,0.26,0.13,0.29,0.46,0.40,0.47,0.92,0.87,0.93
LVNV FUNDING LLC,72,14,58,0.065,0.10,0.059,0,0,0,0.0,0.0,0.0,0.18,0.29,0.16,0.36,0.071,0.43,0.93,0.71,0.98
MIDLAND FUNDING LLC,22,0,22,0.020,0.0,0.023,0,0,0,0.0,0.0,0.0,0.045,0.0,0.045,0.41,0.0,0.41,1.0,0.0,1.0
CAVALRY SPV I LLC,21,4,17,0.019,0.029,0.017,0,0,0,0.0,0.0,0.0,0.43,0.0,0.53,0.38,0.25,0.41,0.95,0.75,1.0
JEFFERSON CAPITAL SYSTEMS LLC,17,4,13,0.015,0.029,0.013,0,0,0,0.0,0.0,0.0,0.18,0.25,0.15,0.24,0.25,0.23,0.88,0.75,0.92
POPLAR BLUFF REGIONAL MEDICAL CENTER INC,16,0,16,0.014,0.0,0.016,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.31,1.0,0.0,1.0
POPLAR BLUFF REGIONAL MEDICAL CENTER,15,1,14,0.013,0.0071,0.014,0,0,0,0.0,0.0,0.0,0.20,0.0,0.21,0.13,0.0,0.14,0.87,1.0,0.86
CITIBANK NA,13,3,10,0.012,0.021,0.010,0,0,0,0.0,0.0,0.0,0.38,0.33,0.40,0.23,0.0,0.30,1.0,1.0,1.0
CAPITAL ONE BANK,11,2,9,0.0099,0.014,0.0092,0,0,0,0.0,0.0,0.0,0.27,0.0,0.33,0.091,0.0,0.11,0.82,1.0,0.78
BANK OF AMERICA,11,1,10,0.0099,0.0071,0.010,0,0,0,0.0,0.0,0.0,0.18,0.0,0.20,0.091,0.0,0.10,0.91,1.0,0.90
JP MORGAN CHASE BANK NA,10,6,4,0.0090,0.043,0.0041,0,0,0,0.0,0.0,0.0,0.40,0.17,0.75,0.30,0.33,0.25,0.80,0.83,0.75
CREDIT BUREAU SERVICES LLC,10,2,8,0.0090,0.014,0.0082,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.30,0.50,0.25,1.0,1.0,1.0
ONEMAIN FINANCIAL,8,0,8,0.0072,0.0,0.0082,0,0,0,0.0,0.0,0.0,0.38,0.0,0.38,0.38,0.0,0.38,1.0,0.0,1.0
SOUTHEAST MISSOURI HOSPITAL ASSOCIATION,7,3,4,0.0063,0.021,0.0041,0,0,0,0.0,0.0,0.0,0.14,0.0,0.25,0.43,0.67,0.25,0.86,1.0,0.75
OZARK FEDERAL CREDIT UNION,6,4,2,0.0054,0.029,0.0021,0,0,0,0.0,0.0,0.0,0.33,0.25,0.50,0.33,0.25,0.50,0.67,0.50,1.0
CBS LLC AAOCRG,6,3,3,0.0054,0.021,0.0031,0,0,0,0.0,0.0,0.0,0.33,0.33,0.33,0.50,0.33,0.67,0.83,0.67,1.0
WASHINGTON UNIVERSITY PHYSICIAN NETWORK,4,0,4,0.0036,0.0,0.0041,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.50,0.0,0.50,1.0,0.0,1.0
ABSOLUTE RESOLUTIONS INVESTMENTS LLC,4,1,3,0.0036,0.0071,0.0031,0,0,0,0.0,0.0,0.0,0.25,1.0,0.0,0.75,0.0,1.0,0.75,0.0,1.0
VELOCITY INVESTMENTS LLC,4,1,3,0.0036,0.0071,0.0031,0,0,0,0.0,0.0,0.0,0.25,1.0,0.0,0.25,0.0,0.33,0.75,0.0,1.0
PORTFOLIO RECOVERY ASSOCIATES LLC PETITIONER,4,0,4,0.0036,0.0,0.0041,0,0,0,0.0,0.0,0.0,0.50,0.0,0.50,0.50,0.0,0.50,1.0,0.0,1.0
CROWN ASSET MANAGEMENT LLC,4,2,2,0.0036,0.014,0.0021,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.50,1.0
CAPITAL REGION MEDICAL CENTER,3,0,3,0.0027,0.0,0.0031,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.67,1.0,0.0,1.0
POPLAR BLUFF REGIONAL MEDICAL CENTER LLC D/B/A POPLAR BLUFF,2,0,2,0.0018,0.0,0.0021,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.50,0.0,0.50,1.0,0.0,1.0
MOBERLY HOSPITAL COMPANY LLC D/B/A MOBERLY REGIONAL MED,2,0,2,0.0018,0.0,0.0021,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
MADISON MEDICAL CENTER,2,1,1,0.0018,0.0071,0.0010,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.50,1.0,0.0,1.0,1.0,1.0
TD BANK USA NA,2,1,1,0.0018,0.0071,0.0010,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
MOBERLY HOSPITAL COMPANY LLC,2,0,2,0.0018,0.0,0.0021,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.50,0.0,0.50,1.0,0.0,1.0
PBRMCLLC D/B/A POPLAR BL. REG MED CNTR,2,0,2,0.0018,0.0,0.0021,0,0,0,0.0,0.0,0.0,0.50,0.0,0.50,0.0,0.0,0.0,1.0,0.0,1.0
ST LOUIS UNIVERSITY,2,0,2,0.0018,0.0,0.0021,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
AMERICAN MULTISPECIALTY GROUP INC,2,0,2,0.0018,0.0,0.0021,0,0,0,0.0,0.0,0.0,0.50,0.0,0.50,0.50,0.0,0.50,1.0,0.0,1.0
FIRST MIDWEST BANK,2,0,2,0.0018,0.0,0.0021,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.50,0.0,0.50,1.0,0.0,1.0
CREDIT CORP SOLUTIONS INC,2,0,2,0.0018,0.0,0.0021,0,0,0,0.0,0.0,0.0,0.50,0.0,0.50,0.50,0.0,0.50,1.0,0.0,1.0
CASH LINK USA LLC,2,0,2,0.0018,0.0,0.0021,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.50,0.0,0.50,1.0,0.0,1.0
BANK OF AMERICA NA,2,0,2,0.0018,0.0,0.0021,0,0,0,0.0,0.0,0.0,0.50,0.0,0.50,0.0,0.0,0.0,0.50,0.0,0.50
CAPITAL ONE BANK (USA) NA,2,2,0,0.0018,0.014,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
COMMERCE BANK A MO BANKING CORP,2,0,2,0.0018,0.0,0.0021,0,0,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
SPECIALTY FOODS DISTRIBUTION INC,1,0,1,0.00090,0.0,0.0010,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
PORTFOLIO RECOVERY ASSOCIATES LLC - TREENA ST SAN DIEGO CA,1,0,1,0.00090,0.0,0.0010,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
KENNETT HMA LLC,1,0,1,0.00090,0.0,0.0010,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
DECOTA ELECTRICAL SUPPLY - SIKESTON MO,1,0,1,0.00090,0.0,0.0010,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
POPLAR BLUFF REGIONAL MEDICAL CENTER LLC PETITIONER,1,0,1,0.00090,0.0,0.0010,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
CEDARGATE HEALTHCARE CENTER,1,0,1,0.00090,0.0,0.0010,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
CAVALRY SPV I LLC PETITIONER,1,0,1,0.00090,0.0,0.0010,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
CDL TRAINING SERVICE OF MISSOURI LLC,1,0,1,0.00090,0.0,0.0010,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
CACH LLC,1,0,1,0.00090,0.0,0.0010,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
CAPE RADIOLOGY GROUP PC,1,0,1,0.00090,0.0,0.0010,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
WASHINGTON UNIVERSITY PHYSICIANS,1,0,1,0.00090,0.0,0.0010,0,0,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
WORLD FINANCE,1,0,1,0.00090,0.0,0.0010,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
NORTHWEST ARKANSAS HOSPITALS LLC,1,0,1,0.00090,0.0,0.0010,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
NCB MANAGEMENT SERVICES,1,0,1,0.00090,0.0,0.0010,0,0,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
SECURITY CREDIT SERVICES LLC,1,0,1,0.00090,0.0,0.0010,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
CREDIT ONE LLC,1,0,1,0.00090,0.0,0.0010,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
ST LOUIS UNIVERSITY D/B/A SLUCARE,1,0,1,0.00090,0.0,0.0010,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
