collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
lvnv funding llc,514,247,267,29.4%,44.7%,22.3%,84436,0,84436,18.5%,0%,18.5%,0.2%,0.0%,0.4%,26.8%,17.4%,35.6%,95.5%,91.5%,99.3%
portfolio recovery associates llc,349,48,301,19.9%,8.7%,25.1%,137265,0,137265,30.0%,0%,30.0%,0.6%,0.0%,0.7%,40.7%,18.8%,44.2%,97.4%,91.7%,98.3%
midland funding llc,197,6,191,11.3%,1.1%,15.9%,66561,0,66561,14.6%,0%,14.6%,0.5%,0.0%,0.5%,75.1%,0.0%,77.5%,100.0%,100.0%,100.0%
midland credit management inc,143,97,46,8.2%,17.6%,3.8%,37372,0,37372,8.2%,0%,8.2%,0.0%,0.0%,0.0%,23.8%,23.7%,23.9%,96.5%,94.8%,100.0%
cavalry spv i llc,140,27,113,8.0%,4.9%,9.4%,34022,0,34022,7.4%,0%,7.4%,0.0%,0.0%,0.0%,56.4%,48.1%,58.4%,99.3%,100.0%,99.1%
jefferson capital systems llc,112,30,82,6.4%,5.4%,6.8%,30458,0,30458,6.7%,0%,6.7%,0.0%,0.0%,0.0%,36.6%,13.3%,45.1%,96.4%,86.7%,100.0%
unifund corporation,27,1,26,1.5%,0.2%,2.2%,15000,0,15000,3.3%,0%,3.3%,0.0%,0.0%,0.0%,44.4%,0.0%,46.2%,100.0%,100.0%,100.0%
crown asset management llc,27,23,4,1.5%,4.2%,0.3%,0,0,0,0.0%,0%,0.0%,0.0%,0.0%,0.0%,29.6%,30.4%,25.0%,96.3%,95.7%,100.0%
absolute resolutions investments llc,20,5,15,1.1%,0.9%,1.3%,6450,0,6450,1.4%,0%,1.4%,0.0%,0.0%,0.0%,30.0%,20.0%,33.3%,100.0%,100.0%,100.0%
credit corp solutions inc assignee of synchrony bank,20,0,20,1.1%,0.0%,1.7%,1123,0,1123,0.2%,0%,0.2%,0.0%,0%,0.0%,40.0%,0%,40.0%,90.0%,0%,90.0%
credit management corporation,17,4,13,1.0%,0.7%,1.1%,0,0,0,0.0%,0%,0.0%,0.0%,0.0%,0.0%,58.8%,25.0%,69.2%,100.0%,100.0%,100.0%
crown asset management llc assignee of comenity bank,14,1,13,0.8%,0.2%,1.1%,3168,0,3168,0.7%,0%,0.7%,0.0%,0.0%,0.0%,14.3%,0.0%,15.4%,100.0%,100.0%,100.0%
jh met subsidiary b liquidating trust assignee of jh portfolio debt equities llc,13,13,0,0.7%,2.4%,0.0%,0,0,0,0.0%,0%,0.0%,0.0%,0.0%,0%,23.1%,23.1%,0%,100.0%,100.0%,0%
unifund corp.,12,2,10,0.7%,0.4%,0.8%,7349,0,7349,1.6%,0%,1.6%,0.0%,0.0%,0.0%,25.0%,50.0%,20.0%,91.7%,100.0%,90.0%
second round sub llc assignee of comenity bank,11,0,11,0.6%,0.0%,0.9%,0,0,0,0.0%,0%,0.0%,0.0%,0%,0.0%,27.3%,0%,27.3%,100.0%,0%,100.0%
dnf associates llc,10,9,1,0.6%,1.6%,0.1%,4965,0,4965,1.1%,0%,1.1%,0.0%,0.0%,0.0%,40.0%,44.4%,0.0%,100.0%,100.0%,100.0%
credit corp solutions inc,10,10,0,0.6%,1.8%,0.0%,0,0,0,0.0%,0%,0.0%,0.0%,0.0%,0%,20.0%,20.0%,0%,90.0%,90.0%,0%
crown asset management llc assignee of synchrony bank,8,0,8,0.5%,0.0%,0.7%,0,0,0,0.0%,0%,0.0%,0.0%,0%,0.0%,37.5%,0%,37.5%,100.0%,0%,100.0%
second round sub llc,8,7,1,0.5%,1.3%,0.1%,0,0,0,0.0%,0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%
second round sub llc assignee of comenity capital bank,8,0,8,0.5%,0.0%,0.7%,0,0,0,0.0%,0%,0.0%,0.0%,0%,0.0%,87.5%,0%,87.5%,100.0%,0%,100.0%
discover bank,6,0,6,0.3%,0.0%,0.5%,0,0,0,0.0%,0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
jh cx liquidating trust assignee of jh portfolio debt equities llc,6,6,0,0.3%,1.1%,0.0%,0,0,0,0.0%,0%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,100.0%,100.0%,0%
laurel wreath acquisitions llc,5,1,4,0.3%,0.2%,0.3%,6927,0,6927,1.5%,0%,1.5%,0.0%,0.0%,0.0%,80.0%,100.0%,75.0%,100.0%,100.0%,100.0%
second round lp assignee of comenity bank,4,1,3,0.2%,0.2%,0.3%,0,0,0,0.0%,0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%
crown asset management llc assignee of citibank na,4,0,4,0.2%,0.0%,0.3%,0,0,0,0.0%,0%,0.0%,0.0%,0%,0.0%,25.0%,0%,25.0%,100.0%,0%,100.0%
bailco llc,3,0,3,0.2%,0.0%,0.3%,265,0,265,0.1%,0%,0.1%,0.0%,0%,0.0%,33.3%,0%,33.3%,100.0%,0%,100.0%
second round sub llc assignee of synchrony bank,3,0,3,0.2%,0.0%,0.3%,3564,0,3564,0.8%,0%,0.8%,0.0%,0%,0.0%,33.3%,0%,33.3%,100.0%,0%,100.0%
crown asset management llc assignee of comenity capital bank,3,0,3,0.2%,0.0%,0.3%,3020,0,3020,0.7%,0%,0.7%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
