collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
lvnv funding llc,12,7,5,27.9%,26.9%,29.4%,0,0,0,0%,0%,0%,0.0%,0.0%,0.0%,41.7%,57.1%,20.0%,100.0%,100.0%,100.0%
harrison county community hospital,7,5,2,16.3%,19.2%,11.8%,0,0,0,0%,0%,0%,0.0%,0.0%,0.0%,28.6%,20.0%,50.0%,57.1%,40.0%,100.0%
midland credit management inc,6,3,3,14.0%,11.5%,17.6%,0,0,0,0%,0%,0%,0.0%,0.0%,0.0%,33.3%,33.3%,33.3%,83.3%,66.7%,100.0%
portfolio recovery associates llc,3,1,2,7.0%,3.8%,11.8%,0,0,0,0%,0%,0%,0.0%,0.0%,0.0%,66.7%,100.0%,50.0%,100.0%,100.0%,100.0%
kirksville missouri hospital company llc,2,1,1,4.7%,3.8%,5.9%,0,0,0,0%,0%,0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%
jp morgan chase bank na,1,0,1,2.3%,0.0%,5.9%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
capital one bank (usa) na,1,0,1,2.3%,0.0%,5.9%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
midland funding llc,1,0,1,2.3%,0.0%,5.9%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
citibank na,1,0,1,2.3%,0.0%,5.9%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
kirksville missouri hospital company l.l.c,1,1,0,2.3%,3.8%,0.0%,0,0,0,0%,0%,0%,0.0%,0.0%,0%,0.0%,0.0%,0%,100.0%,100.0%,0%
cavalry spv i llc,1,1,0,2.3%,3.8%,0.0%,0,0,0,0%,0%,0%,0.0%,0.0%,0%,100.0%,100.0%,0%,100.0%,100.0%,0%
pca acquisitions v llc,1,1,0,2.3%,3.8%,0.0%,0,0,0,0%,0%,0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%,0.0%,0%
wakefield & associates inc,1,1,0,2.3%,3.8%,0.0%,0,0,0,0%,0%,0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%,0.0%,0%
capital one na,1,1,0,2.3%,3.8%,0.0%,0,0,0,0%,0%,0%,0.0%,0.0%,0%,0.0%,0.0%,0%,100.0%,100.0%,0%
jefferson capital systems llc,1,1,0,2.3%,3.8%,0.0%,0,0,0,0%,0%,0%,0.0%,0.0%,0%,0.0%,0.0%,0%,100.0%,100.0%,0%
easy cash asap llc,1,1,0,2.3%,3.8%,0.0%,0,0,0,0%,0%,0%,0.0%,0.0%,0%,100.0%,100.0%,0%,100.0%,100.0%,0%
novus ag llc,1,1,0,2.3%,3.8%,0.0%,0,0,0,0%,0%,0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%,0.0%,0%
gfg inland elevator & grain llc,1,1,0,2.3%,3.8%,0.0%,0,0,0,0%,0%,0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%,0.0%,0%
