collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
MIDWESTERN HEALTH MANAGEMENT INC,1337,602,735,52.5%,48.3%,56.5%,0,0,0,0.0%,0.0%,0.0%,2.1%,2.3%,1.9%,41.4%,31.6%,49.4%,81.9%,61.0%,99.0%
LVNV FUNDING LLC,295,188,107,11.6%,15.1%,8.2%,0,0,0,0.0%,0.0%,0.0%,0.3%,0.5%,0.0%,38.6%,33.5%,47.7%,72.2%,58.5%,96.3%
MIDLAND CREDIT MANAGEMENT INC,150,78,72,5.9%,6.3%,5.5%,0,0,0,0.0%,0.0%,0.0%,0.7%,0.0%,1.4%,36.7%,29.5%,44.4%,68.7%,46.2%,93.1%
PORTFOLIO RECOVERY ASSOCIATES LLC,109,41,68,4.3%,3.3%,5.2%,0,0,0,0.0%,0.0%,0.0%,2.8%,0.0%,4.4%,33.0%,34.1%,32.4%,81.7%,51.2%,100.0%
MM FINANCE LLC,84,35,49,3.3%,2.8%,3.8%,0,0,0,0.0%,0.0%,0.0%,1.2%,0.0%,2.0%,44.0%,22.9%,59.2%,81.0%,54.3%,100.0%
CAVALRY SPV I LLC,66,34,32,2.6%,2.7%,2.5%,0,0,0,0.0%,0.0%,0.0%,1.5%,0.0%,3.1%,30.3%,20.6%,40.6%,78.8%,58.8%,100.0%
MIDLAND FUNDING LLC,57,8,49,2.2%,0.6%,3.8%,0,0,0,0.0%,0.0%,0.0%,7.0%,0.0%,8.2%,43.9%,12.5%,49.0%,86.0%,50.0%,91.8%
JEFFERSON CAPITAL SYSTEMS LLC,49,29,20,1.9%,2.3%,1.5%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,42.9%,51.7%,30.0%,83.7%,72.4%,100.0%
CLEAR RECOVERY INC,36,24,12,1.4%,1.9%,0.9%,0,0,0,0.0%,0.0%,0.0%,2.8%,4.2%,0.0%,47.2%,37.5%,66.7%,83.3%,75.0%,100.0%
CAPITAL ONE BANK (USA) NA,28,19,9,1.1%,1.5%,0.7%,0,0,0,0.0%,0.0%,0.0%,3.6%,5.3%,0.0%,17.9%,21.1%,11.1%,75.0%,63.2%,100.0%
